	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
25	19	17	31	13	22	44	10	21	19	15	14	21	8	16	46	4	4	9	5	17	2	1	0	0	0	0	0	0	0	0	0	0	0	0
26	56	33	112	51	91	92	28	34	74	34	43	77	47	28	70	49	2	24	22	10	6	0	0	1	0	1	0	0	0	0	0	0	0	0
27	178	111	124	162	93	129	93	70	135	207	99	133	131	80	113	123	29	12	71	26	4	3	1	0	3	2	3	1	0	0	0	0	0	0
28	273	2817	365	244	2581	377	158	1541	306	305	3444	275	250	1859	379	185	211	159	78	67	17	21	20	15	6	8	16	8	8	0	0	0	0	0
29	837	5451	7791	701	5717	10348	498	4484	7685	961	7103	7352	686	4806	8902	695	449	3654	645	151	73	110	97	89	70	65	79	130	59	53	0	0	0	0
30	8619	3552	9204	8220	3981	11430	5685	1791	9782	10598	3763	8997	8120	2362	11583	7584	602	5150	7616	673	160	143	162	168	160	128	98	183	159	87	105	0	0	0
31	7608	3325	4433	6981	3864	4969	4812	2496	3496	9831	3973	3690	7338	3340	4149	7836	2301	2135	8799	5676	324	67	91	148	103	99	91	92	124	147	46	84	0	0
32	1645	1192	381	2454	1620	260	1364	870	258	2462	1390	287	2292	1760	318	2187	1126	211	2443	4174	566	24	35	36	43	28	24	28	36	37	36	15	21	0
33	28	142	10	58	280	27	20	99	14	53	201	15	37	344	19	48	241	32	64	508	163	5	3	3	2	3	0	0	3	5	3	2	0	0
