length	frame0	rpfs0	frame1	rpfs1	frame2	rpfs2	p_site	rpfs	periodicity	ribo
25	8	7056	9	6735	7	5345	12	19136	36.87	first
26	9	14600	10	9069	8	12125	13	35794	40.79	first
27	9	39096	10	24688	11	21299	13	85083	45.95	first
28	12	422022	13	81693	14	87495	13	591210	71.38	first
29	12	2284770	13	1447313	14	275708	13	4007791	57.01	first
30	15	3225503	13	3170977	14	966237	13	7362717	43.81	first
31	13	2733828	14	1248753	15	1298958	14	5281539	51.76	first
32	14	713020	15	94788	16	427308	15	1235116	57.73	first
33	14	59187	15	13910	16	5844	15	78941	74.98	first
