length	frame0	rpfs0	frame1	rpfs1	frame2	rpfs2	p_site	rpfs	periodicity	ribo
25	7	1368	8	680	9	898	8	2946	46.44	first
26	8	1759	9	976	10	1664	9	4399	39.99	first
27	9	3711	10	1842	11	3004	10	8557	43.37	first
28	9	6945	10	5324	11	2993	10	15262	45.51	first
29	12	23029	13	22325	14	10089	13	55443	41.54	first
30	12	68653	13	61937	14	23558	13	154148	44.54	first
31	13	145299	14	40681	15	78258	14	264238	54.99	first
32	13	145469	14	78919	15	30250	14	254638	57.13	first
33	14	46939	15	16130	16	14280	15	77349	60.68	first
