	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
25	15	26	21	19	37	30	8	25	34	22	40	23	16	25	42	18	7	11	16	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0
26	53	19	57	33	70	69	28	33	66	38	34	47	34	20	61	64	2	24	35	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0
27	116	54	80	101	48	87	78	45	74	139	59	77	93	52	66	70	12	17	67	16	2	0	0	1	4	0	1	4	0	0	0	0	0	0
28	161	1207	227	176	827	182	106	608	199	211	1175	200	204	722	203	123	111	94	57	48	6	2	3	3	5	4	2	2	4	0	0	0	0	0
29	674	6103	8664	651	5650	10620	399	5354	8643	802	7319	8019	607	5569	10851	636	283	3581	534	115	58	73	50	52	43	60	42	105	68	52	0	0	0	0
30	9068	3883	10525	8682	3762	13153	5576	2017	11969	11868	3774	10603	8881	2606	14826	8773	450	5260	7703	655	103	133	156	125	128	103	68	125	174	98	87	0	0	0
31	8109	3315	4929	7222	3793	5407	5165	2326	4322	11105	3959	4068	7982	3267	4784	8925	2307	2192	8586	5238	196	73	77	108	79	82	65	73	103	144	60	73	0	0
32	1828	1351	438	2707	1731	289	1625	885	278	2906	1345	306	2533	1780	359	2746	973	221	2634	3768	410	27	11	24	25	8	18	18	21	61	34	9	12	0
33	37	181	13	82	373	29	36	114	14	39	274	17	66	417	6	55	246	31	70	589	177	1	1	1	2	0	1	5	2	3	4	5	0	2
