length	frame0	rpfs0	frame1	rpfs1	frame2	rpfs2	p_site	rpfs	periodicity	ribo
25	9	10736	7	5994	8	4962	10	21692	49.49	first
26	8	11703	9	8556	10	11008	12	31267	37.43	first
27	9	33112	10	13331	11	24009	13	70452	47.0	first
28	9	73879	10	42601	11	25388	13	141868	52.08	first
29	12	370313	13	218526	14	97853	13	686692	53.93	first
30	12	1016624	13	783526	14	277457	13	2077607	48.93	first
31	13	1721692	14	572836	15	1354939	14	3649467	47.18	first
32	13	1809548	14	1042064	15	415186	14	3266798	55.39	first
33	14	718903	15	165975	16	181228	15	1066106	67.43	first
