transcript_id	wt_mrna_YPD1.genes.results	wt_mrna_YPD2.genes.results	wt_mrna_YPD3.genes.results	ncs2d_mrna_YPD1.genes.results	ncs2d_mrna_YPD2.genes.results	ncs2d_mrna_YPD3.genes.results	elp6d_mrna_YPD1.genes.results	elp6d_mrna_YPD2.genes.results	elp6d_mrna_YPD3.genes.results	ncs2d_elp6d_mrna_YPD1.genes.results	ncs2d_elp6d_mrna_YPD2.genes.results	ncs2d_elp6d_mrna_YPD3.genes.results
YEL011W	269.0	228.0	377.0	411.0	364.0	583.0	304.0	832.0	654.0	716.0	832.0	1348.0
YEL012W	127.0	144.0	210.0	195.0	232.0	380.0	172.0	459.0	385.0	337.0	343.0	650.0
YEL013W	1030.0	943.0	1402.0	1293.0	1204.0	1880.0	891.0	2337.0	1983.0	1457.0	1359.0	2668.0
YEL014C	45.0	53.0	76.0	60.0	80.0	124.0	49.0	123.0	137.0	111.0	91.0	186.0
YEL015W	1028.0	867.0	1566.0	1078.0	1426.0	2152.0	895.0	2524.0	2071.0	1585.0	1119.0	3163.0
YEL016C	498.0	570.0	706.0	587.0	573.0	818.0	451.0	1211.0	923.0	589.0	576.0	1207.0
YEL017C-A	1765.0	1352.0	2178.0	1689.0	1746.0	3103.0	1329.0	3785.14	3031.0	1674.0	1887.0	3095.0
YEL017W	572.0	641.0	800.0	734.0	647.0	1122.0	561.0	1503.0	1264.0	900.0	1021.0	1866.0
YEL018W	246.0	231.0	387.0	239.0	314.0	542.0	197.0	441.0	461.0	367.0	229.0	622.0
YEL019C	82.0	95.0	126.0	92.0	71.0	84.0	75.0	176.0	139.0	95.0	83.0	155.0
YEL020C	357.0	343.0	416.0	352.0	343.0	558.0	264.0	716.0	568.0	341.0	368.0	655.0
YEL020W-A	205.0	179.0	280.0	164.0	245.0	458.0	179.0	489.0	457.0	297.0	170.0	557.0
YEL021W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
YEL022W	993.0	865.0	1687.0	1261.0	1235.0	1974.0	985.0	2534.0	2346.0	1586.0	1230.0	3151.0
YEL023C	192.0	183.0	232.0	213.0	242.0	402.0	124.0	438.0	400.0	299.0	278.0	561.0
YEL024W	268.0	328.0	331.0	333.0	374.0	610.0	300.0	672.0	704.0	520.0	417.0	1041.0
YEL025C	753.0	822.0	1053.0	985.0	866.0	1055.0	664.0	1828.0	1469.0	1187.0	1206.0	2029.0
YEL026W	2283.0	2306.0	3879.0	2587.0	2032.0	4763.0	2139.0	4896.0	4690.0	2296.0	3285.0	5431.0
YEL027W	5569.0	6145.0	7778.0	6405.0	5516.0	10691.0	4953.0	12560.0	10966.0	6043.0	6465.0	12412.0
YEL028W	70.0	42.0	99.0	71.0	78.0	117.0	47.0	210.0	139.0	92.0	78.0	185.0
YEL029C	374.0	376.0	542.0	498.0	485.0	845.0	449.0	1027.0	887.0	617.0	556.0	1222.0
YEL030W	150.0	152.0	181.0	152.0	190.0	265.0	126.0	363.0	291.0	233.0	210.0	374.0
YEL031W	3843.0	4665.0	6391.0	6448.0	5045.0	7730.0	4262.0	11399.0	9485.0	6324.0	9022.0	12423.0
YEL032W	890.0	927.0	1270.0	1306.0	1108.0	1554.0	904.0	2709.0	2026.0	1332.0	1708.0	2809.0
YEL033W	2494.0	2540.0	2841.0	2154.0	2272.0	3699.0	1756.0	5368.0	4754.0	2755.0	3510.0	4886.0
YEL034W	8302.0	9126.83	11238.0	8565.0	7433.0	13364.0	6956.0	20540.99	15869.95	8501.98	10946.0	18653.0
YEL035C	3.0	4.0	7.0	4.0	4.0	8.0	8.0	7.0	9.0	11.0	6.0	10.0
YEL036C	1099.0	1247.0	1277.0	1447.0	1355.0	1922.0	1047.0	3234.0	2458.0	1709.0	1856.0	3418.0
YEL037C	1543.0	1679.0	1825.0	1836.0	1836.0	3003.0	1495.0	3865.0	3364.0	2512.0	2507.0	5176.0
YEL038W	625.0	652.0	847.0	714.0	714.0	1313.0	649.0	1916.0	1447.0	936.0	1058.0	2031.0
YEL039C	13.0	6.0	19.0	20.0	25.0	43.0	20.0	43.0	39.0	79.0	43.0	139.0
YEL040W	4993.0	4580.0	6311.0	6022.0	5948.0	9786.0	5274.0	13770.0	12716.0	8697.0	7317.0	17113.0
YEL041W	106.0	102.0	161.0	143.0	111.0	221.0	91.0	257.0	227.0	161.0	155.0	290.0
YEL042W	1334.0	1638.0	2100.0	1736.0	1276.0	2507.0	1226.0	3104.0	2909.0	1753.0	2484.0	3852.0
YEL043W	752.0	700.0	1067.0	964.0	803.0	1107.0	697.0	2078.0	1676.0	1053.0	1383.0	2271.0
YEL044W	453.0	403.0	596.0	465.0	540.0	887.0	514.0	1135.0	1072.0	709.0	694.0	1399.0
YEL046C	4387.0	4626.0	5361.0	5677.0	4762.0	6923.0	4402.0	12812.0	9830.0	6333.0	7830.0	12319.0
YEL047C	1197.0	1244.0	1762.0	1355.0	1108.0	2070.0	975.0	2501.0	2109.0	1215.0	1528.0	2648.0
YEL048C	295.0	341.0	453.0	387.0	401.0	590.0	249.0	649.0	617.0	386.0	365.0	799.0
YEL049W	12.0	13.0	23.0	14.0	13.0	30.0	15.0	24.0	30.0	15.0	20.0	50.0
YEL050C	563.0	598.0	591.0	634.0	601.0	982.0	479.0	1204.0	970.0	669.0	631.0	1233.0
YEL051W	2193.0	2070.0	3432.0	2103.0	2342.0	4544.0	1896.0	4730.0	3971.0	2560.0	2050.0	5260.0
YEL052W	683.0	692.0	955.0	864.0	846.0	1384.0	709.0	2043.0	1584.0	1036.0	1210.0	2171.0
YEL053C	480.0	412.0	729.0	510.0	512.0	777.0	440.0	1047.0	994.0	681.0	552.0	1255.0
YEL054C	9736.45	10554.39	12742.23	8904.8	8551.52	16626.23	7369.42	20204.36	17019.03	9306.31	10331.72	19797.51
YEL055C	1168.0	1352.0	2116.0	1608.0	1414.0	2460.0	1294.0	2995.0	2614.0	1874.0	1683.0	3460.0
YEL056W	608.0	602.0	894.0	800.0	862.0	1466.0	711.0	1874.0	1559.0	1150.0	1204.0	2310.0
YEL057C	37.0	49.0	78.0	58.0	57.0	78.0	49.0	148.0	94.0	89.0	112.0	146.0
YEL058W	1794.0	1876.0	2451.0	2366.0	2249.0	3776.0	2073.0	5514.0	4595.0	3256.0	3590.0	6485.0
YEL059C-A	29.0	30.0	49.0	51.0	47.0	99.0	53.0	207.0	129.0	102.0	127.0	217.0
YEL059W	9.0	9.0	14.0	24.0	23.0	20.0	20.0	55.0	32.0	39.0	35.0	66.0
YEL060C	643.0	792.0	948.0	1172.0	924.0	1651.0	905.0	2599.0	1965.0	1843.0	2411.0	3339.0
YEL061C	287.0	169.0	548.0	292.0	329.0	752.0	237.0	785.0	736.0	624.0	236.0	1136.0
YEL062W	299.0	199.0	388.0	401.0	325.0	523.0	277.0	725.0	703.0	457.0	409.0	866.0
YEL063C	905.0	941.0	1076.0	1326.0	1074.0	1528.0	952.0	2644.0	2348.0	1842.0	2409.0	3763.0
YEL064C	223.0	200.0	267.0	247.0	227.0	381.0	166.0	586.0	410.0	358.0	393.0	621.0
YEL065W	4486.0	3667.0	4742.0	4959.0	4722.0	6627.0	3416.0	10075.0	7811.0	5673.0	6195.0	10935.0
YEL066W	236.69	248.74	370.25	223.01	210.14	493.27	253.46	661.38	539.01	307.03	397.66	763.21
YEL067C	61.31	59.26	52.75	62.99	53.86	78.73	58.54	125.62	132.99	103.97	112.34	193.79
YEL068C	126.0	121.0	191.0	133.0	122.0	329.0	134.0	295.0	311.0	167.0	173.0	441.0
YEL069C	14.57	15.52	13.63	7.76	13.87	26.13	16.95	28.54	14.55	26.88	28.83	61.73
YEL070W	19.09	7.89	18.46	16.52	0.0	16.71	16.33	30.69	25.83	29.61	40.22	23.26
YEL071W	4119.0	4250.0	5244.0	3986.0	3774.0	5698.0	2634.0	6960.0	5786.0	3088.0	3225.0	6009.0
YEL072W	115.0	98.0	178.0	113.0	149.0	162.0	93.0	191.0	226.0	148.0	92.0	267.0
YEL073C	21.0	19.0	28.0	24.0	14.0	32.0	20.0	32.0	65.0	42.0	33.0	62.0
YEL075C	3.95	3.42	0.0	6.43	1.45	1.5	1.3	9.8	10.32	7.76	8.27	0.0
YEL076C	9.59	10.88	23.82	15.19	14.03	10.59	11.38	38.76	24.25	17.77	19.68	42.62
YEL076C-A	0.17	0.33	0.54	1.45	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.0
YEL077C	84.1	89.03	165.92	133.36	93.82	183.23	107.35	176.3	205.83	139.12	197.59	331.15
YER001W	1089.0	1001.0	1618.0	1486.0	1457.0	2038.0	1150.0	3186.0	2612.0	1694.0	1631.0	3282.0
YER002W	437.0	440.0	863.0	384.0	676.0	1196.0	379.0	824.0	811.0	877.0	537.0	1681.0
YER003C	2429.0	2884.0	3680.0	2965.0	2658.0	4658.0	2368.0	6012.0	5016.0	3212.0	4026.0	7105.0
YER004W	938.0	1116.0	1321.0	1322.0	1291.0	2154.0	1144.0	2995.0	2314.0	1733.0	1947.0	3328.0
YER005W	779.0	704.0	1126.0	967.0	900.0	1388.0	718.0	2026.0	1587.0	1057.0	1234.0	2121.0
YER006W	2095.0	2093.0	3229.0	2279.0	2369.0	3933.0	1914.0	4942.0	4186.0	2588.0	2639.0	5306.0
YER007C-A	803.0	815.0	1106.0	799.0	843.0	1473.0	667.0	1438.0	1567.0	1114.0	766.0	2188.0
YER007W	247.0	213.0	324.0	242.0	292.0	437.0	161.0	486.0	397.0	291.0	231.0	570.0
YER008C	659.0	551.0	1038.0	816.0	833.0	1311.0	614.0	1596.0	1565.0	1201.0	959.0	2257.0
YER009W	3488.0	3255.0	5091.0	3238.0	3158.0	6303.0	2531.0	6569.0	6270.0	2972.0	3308.0	6430.0
YER010C	408.0	371.0	538.0	461.0	512.0	914.0	393.0	932.0	846.0	641.0	590.0	1289.0
YER011W	695.0	796.97	1004.0	201.0	149.0	319.0	125.0	394.0	323.0	82.0	106.0	169.0
YER012W	1025.0	811.0	1606.0	1245.0	1340.0	2431.0	1014.0	2616.0	2438.0	1923.0	2084.0	3779.0
YER013W	454.0	337.0	598.0	505.0	569.0	873.0	411.0	1007.0	1000.0	845.0	654.0	1623.0
YER014C-A	33.57	33.22	5.23	2.44	2.85	19.94	10.45	146.91	67.38	8.87	46.66	16.54
YER014W	370.43	395.78	626.77	443.56	428.15	676.06	291.55	714.09	624.57	470.27	399.8	877.46
YER015W	168.0	150.0	199.0	193.0	160.0	240.0	155.0	395.0	353.05	264.86	259.54	491.0
YER016W	558.0	518.0	793.0	598.0	799.0	1246.0	492.0	1158.0	1184.0	964.0	688.0	1975.0
YER017C	776.0	794.0	1119.0	1221.0	1024.0	1661.0	954.0	2425.0	1925.0	1610.0	1913.0	3322.0
YER018C	314.0	328.0	385.0	298.0	243.0	563.0	262.0	706.0	645.0	365.0	390.0	709.0
YER019C-A	1314.0	1041.0	1647.0	1280.0	1294.0	2786.0	1105.0	3070.0	2865.0	1704.0	1825.0	3482.0
YER019W	783.0	812.0	1072.0	999.0	935.0	1668.0	815.0	2373.0	1954.0	1177.0	1420.0	2576.0
YER020W	378.0	397.0	510.0	518.0	458.0	698.0	328.0	949.0	872.0	717.0	761.0	1440.0
YER021W	2656.0	2573.0	3765.0	3916.0	4276.0	6228.0	2967.0	7849.0	6499.0	5685.0	4914.0	10312.0
YER022W	459.0	303.0	616.0	391.0	612.0	987.0	483.0	1000.0	1011.0	838.0	443.0	1551.0
YER023W	2198.0	2423.0	3400.0	2269.0	2182.0	4013.0	1897.0	4945.0	3951.0	2703.0	3015.0	5483.0
YER024W	286.0	288.0	389.0	357.0	370.0	504.0	267.0	808.0	653.0	405.0	357.0	733.0
YER025W	3497.0	3896.0	5005.0	3877.0	3853.0	5897.0	2848.0	7773.0	6419.0	4045.0	4581.0	8066.0
