transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001179793.1	643.0	582.0	903.0	560.0	660.0	1111.0
NM_001179794.3	253.0	241.0	323.0	254.0	286.0	402.0
NM_001179795.1	39.0	49.0	72.0	47.0	45.0	94.0
NM_001179796.3	431.0	399.0	557.0	481.0	481.0	931.0
NM_001179797.1	228.0	203.0	307.0	234.0	277.0	503.0
NM_001179798.4	722.0	681.0	1080.0	835.0	886.0	1343.0
NM_001179799.1	225.0	251.0	264.0	253.0	226.0	409.0
NM_001179800.3	373.0	375.0	617.0	441.0	502.0	675.0
NM_001179801.1	359.0	333.0	527.0	380.0	466.0	764.0
NM_001179803.3	2103.0	2155.0	3142.0	3057.0	2835.0	4709.0
NM_001179804.1	704.0	640.0	1024.0	638.0	825.0	1300.0
NM_001179805.3	196.0	187.0	218.0	222.0	254.0	233.0
NM_001179806.1	349.0	315.0	535.0	312.0	408.0	728.0
NM_001179807.3	182.0	213.0	223.0	204.0	243.0	327.0
NM_001179808.1	1219.0	1405.0	1884.0	2162.0	1708.0	2949.0
NM_001179809.3	156.0	164.0	275.0	248.0	206.0	409.0
NM_001179810.1	103.0	86.0	164.0	101.0	131.0	205.0
NM_001179811.4	531.0	378.0	639.0	597.0	550.0	699.0
NM_001179812.1	260.0	209.0	476.0	207.0	332.0	604.0
NM_001179813.3	197.0	130.0	275.0	179.0	233.0	489.0
NM_001179814.1	610.0	518.0	788.0	686.0	857.0	1183.0
NM_001179815.3	671.0	658.0	1041.0	803.0	818.0	1541.0
NM_001179816.1	895.0	730.0	1075.0	863.0	1005.0	1504.0
NM_001179817.3	634.0	614.0	921.0	825.0	810.0	1264.0
NM_001179818.2	1097.0	1124.0	1691.0	1424.0	1428.0	2215.0
NM_001179819.3	273.0	195.0	426.0	268.0	344.0	581.0
NM_001179820.1	416.0	324.0	462.0	519.0	561.0	847.0
NM_001179821.3	343.0	356.0	690.0	517.0	494.0	910.0
NM_001348851.1	1.0	0.0	0.0	0.0	1.0	1.0
NM_001179824.1	6.0	2.0	2.0	5.0	4.0	4.0
NM_001184309.3	326.0	254.0	506.0	258.0	406.0	675.0
NM_001179826.2	521.0	462.0	686.0	604.0	640.0	962.0
NM_001179827.3	303.0	299.0	410.0	275.0	302.0	461.0
NM_001179828.1	992.0	981.0	1303.0	1259.0	1300.0	2142.0
NM_001179829.3	196.0	190.0	238.0	234.0	238.0	326.0
NM_001179831.1	36.0	32.0	56.0	36.0	46.0	42.0
NM_001179832.3	10986.0	14801.0	12271.0	14824.0	12967.0	18820.0
NM_001179833.1	1817.0	1947.0	2444.0	2094.0	2048.0	3450.0
NM_001179834.3	576.0	515.0	834.0	694.0	682.0	1021.0
NM_001179835.1	125.0	141.0	165.0	137.0	122.0	200.0
NM_001179836.3	875.0	1001.0	1067.0	917.0	847.0	1369.0
