transcript_id	wt_mrna_YPD1.genes.results	wt_mrna_YPD2.genes.results	wt_mrna_YPD3.genes.results	ncs2d_mrna_YPD1.genes.results	ncs2d_mrna_YPD2.genes.results	ncs2d_mrna_YPD3.genes.results	elp6d_mrna_YPD1.genes.results	elp6d_mrna_YPD2.genes.results	elp6d_mrna_YPD3.genes.results	ncs2d_elp6d_mrna_YPD1.genes.results	ncs2d_elp6d_mrna_YPD2.genes.results	ncs2d_elp6d_mrna_YPD3.genes.results
YGL002W	81.67	77.53	76.43	84.89	87.31	90.09	77.92	78.74	78.65	87.8	71.64	79.92
YGL003C	19.64	19.35	20.84	29.19	25.25	23.77	22.44	25.5	24.25	27.49	29.35	28.53
YGL004C	31.38	19.99	29.23	27.57	31.49	28.41	23.92	27.46	29.64	32.74	26.95	31.49
YGL005C	39.51	36.84	42.9	32.53	43.56	46.98	31.64	32.21	36.79	36.82	22.05	36.23
YGL006W	20.45	18.89	24.76	26.96	26.6	26.83	27.7	26.43	29.36	35.33	29.33	35.71
YGL006W-A	9.73	7.25	3.04	3.93	6.18	6.49	3.72	5.63	5.51	13.33	2.56	9.07
YGL007C-A	6.73	3.87	1.89	4.89	8.98	12.5	7.72	2.34	4.11	7.75	5.32	3.23
YGL007W	3.39	3.57	1.43	1.85	2.26	3.52	3.89	2.35	6.04	3.07	4.56	2.03
YGL008C	1732.57	2076.15	1741.96	1831.94	1810.44	1380.26	1799.45	2045.87	1783.02	1736.02	1944.84	1572.36
YGL009C	332.17	323.72	291.82	378.5	405.5	330.19	442.49	485.06	485.65	548.3	512.95	544.8
YGL010W	47.73	40.33	35.27	59.02	67.28	46.63	56.44	53.27	53.9	67.97	77.4	63.71
YGL011C	244.04	220.83	250.31	327.12	340.9	368.39	322.19	312.18	318.91	428.81	482.61	446.35
YGL012W	403.34	396.82	412.94	380.14	365.21	344.12	409.47	441.82	385.34	358.9	394.11	344.83
YGL013C	28.81	28.36	32.05	39.73	41.0	29.79	35.16	34.89	38.19	51.39	43.67	46.75
YGL014W	48.95	45.93	55.09	58.57	52.46	49.2	56.94	53.14	58.05	53.12	58.89	55.85
YGL015C	4.57	4.07	5.28	4.45	6.84	8.91	3.37	6.94	5.99	8.05	9.03	8.61
YGL016W	37.09	33.89	40.11	46.1	43.32	37.33	49.88	49.47	48.76	53.7	50.47	49.66
YGL017W	31.17	35.28	32.25	37.77	37.29	34.34	28.41	29.79	27.09	34.1	36.34	30.69
YGL018C	19.8	22.11	25.7	27.1	21.98	28.0	22.18	25.17	22.79	24.33	34.26	24.02
YGL019W	124.87	132.09	124.46	117.85	126.99	124.19	124.33	127.6	113.61	127.23	132.27	111.17
YGL020C	127.47	123.08	127.46	112.33	151.87	149.17	119.92	105.84	125.12	135.43	112.65	138.3
YGL021W	45.87	36.98	38.09	42.42	52.42	42.83	41.35	41.63	43.35	63.01	41.76	53.85
YGL022W	207.78	224.74	206.27	243.91	209.17	202.97	233.11	228.72	236.73	214.92	258.96	211.59
YGL023C	38.48	42.69	36.55	46.65	43.74	34.27	42.25	42.52	42.29	47.07	50.25	46.11
YGL025C	38.3	30.42	34.76	44.95	48.38	34.61	42.43	41.93	38.25	44.45	52.34	44.91
YGL026C	181.59	193.57	197.65	265.53	212.35	243.79	297.01	287.65	271.13	277.56	364.62	295.7
YGL027C	56.15	57.65	67.18	72.24	65.55	60.11	67.54	66.81	64.51	69.3	76.16	71.93
YGL028C	176.66	174.21	149.22	222.93	223.34	166.9	194.07	222.42	202.58	202.78	199.64	191.74
YGL029W	41.25	49.35	66.9	27.87	68.2	77.81	45.7	49.26	40.96	78.28	49.05	65.24
YGL030W	6482.03	6097.03	7287.38	5798.06	5909.15	7586.51	6676.57	6751.52	6557.45	5230.87	5745.5	5765.01
YGL031C	3058.35	3242.92	3128.37	2512.92	2878.72	3251.03	2900.87	2715.33	2679.03	2539.1	2568.11	2613.96
YGL032C	87.75	91.48	118.27	147.72	167.23	173.92	92.96	115.27	129.0	102.91	117.88	110.19
YGL033W	3.22	1.73	2.12	2.92	1.15	1.54	2.77	1.05	1.23	0.66	1.59	1.61
YGL034C	4.2	3.35	1.47	3.18	1.67	1.15	3.21	9.41	5.7	4.89	4.98	5.73
YGL035C	45.11	47.88	42.99	55.91	57.31	41.54	52.34	63.63	55.17	70.99	62.3	68.72
YGL036W	29.49	25.09	30.12	31.48	33.19	26.52	29.19	31.58	33.51	35.45	33.28	33.72
YGL037C	209.76	225.15	199.32	230.25	265.92	241.56	220.28	221.53	211.6	291.56	286.42	299.15
YGL038C	59.31	52.95	55.19	58.1	57.73	57.32	56.7	59.03	53.55	69.65	64.88	68.93
YGL039W	161.16	143.99	125.77	146.11	148.93	149.58	134.97	137.21	144.79	135.49	133.5	134.04
YGL040C	159.13	167.26	169.82	186.08	188.84	204.87	193.31	181.18	188.12	195.49	172.5	199.59
YGL041C-B	9.85	3.05	11.63	8.85	7.53	9.78	9.32	10.89	10.14	9.16	9.6	11.1
YGL041W-A	66.08	58.51	60.47	49.26	69.0	62.9	47.05	51.34	55.01	57.77	39.45	60.9
YGL043W	106.64	88.0	109.6	105.57	123.52	107.4	108.67	96.01	107.53	127.1	101.47	111.56
YGL044C	41.37	41.77	50.13	41.58	50.57	56.46	50.14	45.55	45.06	60.23	42.64	60.0
YGL045W	9.81	11.25	10.9	13.44	13.94	12.83	13.84	13.82	11.35	17.26	15.13	17.03
YGL047W	44.24	41.6	48.57	41.94	50.46	63.09	38.31	43.28	38.25	45.47	40.35	44.2
YGL048C	248.39	246.05	257.33	282.66	312.24	283.91	259.34	256.72	244.47	257.63	234.69	249.9
YGL049C	25.17	25.87	26.63	24.22	27.4	25.54	25.03	23.4	26.3	34.43	30.11	32.75
YGL050W	51.13	45.53	48.17	43.44	60.34	55.77	48.67	47.67	51.54	59.75	43.67	55.35
YGL051W	18.65	11.95	14.83	16.93	14.0	15.31	18.62	15.2	18.34	22.81	17.92	16.87
YGL053W	39.41	31.32	41.26	41.11	47.39	45.97	44.9	46.62	46.33	47.59	46.11	50.15
YGL054C	492.04	422.09	455.52	451.32	519.64	510.45	481.02	436.76	525.71	515.82	312.23	508.75
YGL055W	293.63	282.73	223.91	234.15	264.49	199.77	249.54	231.58	244.85	208.79	193.09	172.29
YGL056C	69.03	74.43	63.27	87.3	80.51	66.07	90.76	83.23	85.76	89.06	110.38	92.34
YGL057C	21.1	18.93	23.09	29.44	29.87	27.0	27.32	28.97	29.33	28.63	32.4	30.23
YGL058W	93.8	90.16	100.88	103.55	120.44	126.94	97.61	107.85	120.17	137.08	80.83	127.27
YGL059W	13.83	11.82	14.46	15.96	18.42	17.29	18.62	17.74	21.1	23.63	12.9	21.58
YGL060W	29.55	31.33	30.86	44.54	41.13	37.6	33.19	37.22	37.04	42.15	42.46	43.72
YGL061C	31.61	28.8	36.08	24.76	39.61	46.08	26.65	30.77	37.29	31.45	19.61	38.18
YGL062W	38.7	48.08	44.01	59.88	48.63	51.58	61.38	56.38	57.55	62.6	80.25	67.15
YGL063W	21.35	27.11	21.93	25.05	24.26	18.2	23.28	27.85	22.89	23.83	28.93	25.13
YGL064C	20.98	16.46	18.07	18.08	22.36	21.94	18.63	19.89	21.3	23.32	15.17	19.81
YGL065C	49.96	46.07	43.87	51.54	59.16	48.24	48.77	50.46	47.55	61.66	59.13	57.4
YGL066W	18.6	15.03	21.61	20.46	25.26	20.97	20.04	20.81	27.69	32.39	24.94	32.84
YGL067W	52.14	46.3	52.45	65.88	66.06	73.27	69.8	65.86	59.98	73.37	84.66	74.8
YGL068W	192.27	189.42	182.84	181.35	197.12	212.59	182.49	172.14	171.12	173.39	159.86	162.6
YGL070C	150.61	143.72	146.31	140.64	173.6	192.4	134.95	117.15	121.46	141.25	105.88	131.33
YGL071W	43.79	36.88	41.66	53.24	50.16	38.82	49.21	51.48	51.9	60.88	64.87	59.8
YGL073W	38.15	40.75	46.17	52.02	51.2	50.62	52.01	54.33	55.98	66.92	69.11	68.01
YGL075C	19.53	15.82	19.16	21.21	22.56	18.88	20.98	19.82	18.81	18.92	15.88	19.15
YGL076C	3389.02	3257.35	3690.05	3259.59	2882.45	3566.66	3234.66	3224.02	3311.02	2713.28	3126.31	2884.22
YGL077C	97.18	99.47	96.14	101.53	100.05	93.52	97.09	95.22	93.97	92.96	106.99	87.82
YGL078C	108.21	91.76	118.54	97.42	138.04	126.54	116.49	98.03	117.9	144.67	81.46	131.26
YGL079W	50.14	54.32	58.4	45.38	48.91	57.15	51.18	52.34	52.2	49.83	41.2	51.28
YGL080W	91.39	100.14	94.27	86.61	97.35	98.6	93.98	90.93	100.94	92.6	94.95	90.52
YGL081W	1.9	3.63	4.38	4.18	3.48	4.36	5.13	4.58	3.72	5.01	3.53	3.68
YGL082W	55.16	42.4	59.35	48.47	60.93	50.74	54.52	56.48	51.51	54.26	38.83	56.93
YGL083W	19.24	17.25	21.54	24.99	20.87	20.67	21.89	22.78	22.29	25.12	27.07	23.55
YGL084C	70.61	63.88	66.46	77.25	73.66	63.02	67.51	71.1	69.13	73.29	73.9	70.77
YGL085W	30.76	26.61	25.38	27.52	29.61	31.28	29.13	22.79	22.5	30.35	23.69	27.29
YGL086W	16.86	11.41	25.94	14.26	19.06	26.31	12.04	15.74	22.26	28.44	11.34	21.82
YGL087C	82.22	78.83	81.54	88.25	94.61	99.32	71.19	68.26	68.61	87.51	90.26	85.93
YGL088W	22.04	33.2	21.88	38.78	34.33	36.11	34.51	27.02	33.5	37.1	37.05	32.85
YGL089C	25.74	19.61	19.33	24.35	20.49	23.3	19.82	21.42	28.02	33.34	24.81	27.48
YGL090W	17.66	15.44	17.49	18.3	22.14	17.2	20.61	19.85	16.41	24.03	18.37	24.14
YGL091C	65.41	56.37	57.75	70.6	86.62	70.08	68.21	67.71	73.72	84.42	78.23	81.42
YGL092W	50.89	49.23	54.34	70.93	58.91	54.9	61.39	58.43	58.9	64.38	68.83	67.48
YGL093W	28.47	19.93	24.97	25.87	32.86	27.3	29.32	24.44	26.68	36.43	22.32	33.89
YGL094C	30.27	28.57	30.51	34.85	37.48	31.91	33.1	32.84	33.96	41.13	31.28	37.51
YGL095C	43.68	38.9	47.42	38.59	51.85	47.55	38.49	36.63	42.78	44.99	34.17	41.31
YGL096W	14.41	8.56	13.65	17.08	17.61	17.02	17.61	20.52	16.76	22.79	20.43	22.28
YGL097W	132.23	124.17	113.54	124.59	140.89	134.69	135.0	123.14	138.65	136.51	95.03	133.15
YGL098W	34.51	30.04	35.88	26.08	34.73	30.39	30.29	23.53	32.83	32.43	26.3	31.94
YGL099W	55.84	60.6	57.4	60.72	60.23	58.33	62.65	63.52	56.97	70.64	68.99	74.63
YGL100W	129.01	129.76	122.27	146.26	163.31	136.39	138.72	143.02	143.49	157.18	157.1	149.95
YGL101W	90.45	79.23	96.74	82.19	89.81	84.49	84.47	70.59	74.32	73.55	61.69	72.13
YGL103W	6673.27	5943.16	7484.35	5363.2	5687.38	6847.52	6342.18	6062.5	6171.46	5118.28	5047.11	5274.1
YGL104C	20.25	16.49	15.74	19.13	18.61	18.79	19.32	21.07	19.9	23.79	24.64	23.63
YGL105W	456.46	467.6	471.75	541.43	493.15	524.09	484.67	449.44	506.3	584.14	673.08	637.63
YGL106W	320.09	331.27	292.26	359.49	383.23	359.69	294.01	335.12	335.78	374.46	352.74	365.45
YGL107C	36.14	31.99	39.59	42.66	46.09	41.03	40.76	41.1	39.96	42.61	40.75	42.01
YGL108C	31.3	28.26	43.34	30.65	40.24	50.95	36.95	43.51	42.57	55.47	36.27	41.89
YGL110C	26.64	24.06	28.05	22.24	31.25	30.82	22.54	21.21	26.25	35.01	19.57	29.7
YGL111W	83.84	86.23	86.39	81.74	79.89	79.99	72.24	70.76	70.87	74.5	65.01	70.76
YGL112C	83.24	80.13	88.45	105.18	109.16	97.39	99.75	109.35	98.8	112.25	102.1	106.41
YGL113W	16.99	16.16	19.42	18.82	25.97	18.49	19.19	18.09	20.94	24.93	15.5	21.62
YGL114W	47.65	47.07	43.22	57.37	55.45	46.76	54.73	55.42	52.7	69.6	66.95	61.44
YGL115W	149.5	143.19	136.72	131.57	157.71	142.96	137.69	137.62	145.61	136.76	134.66	124.05
YGL116W	28.82	26.87	26.68	37.37	37.75	30.08	28.55	31.06	32.21	47.04	39.74	45.61
YGL117W	18.26	17.97	19.47	26.22	37.59	34.9	62.45	63.66	59.3	71.04	65.07	70.87
YGL118C	1.17	1.13	1.03	1.33	1.96	1.6	2.36	4.21	2.99	3.86	2.55	3.4
