transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
NM_001181871.1	1013.0	935.0	1351.0	1361.0	1157.0	1536.0	850.0	2657.0	2060.0	1310.0	1701.0	2472.0
NM_001181872.1	94.46	92.02	108.5	91.07	72.21	87.77	65.44	192.23	146.33	98.42	145.91	223.62
NM_001181873.1	97.54	82.98	110.5	77.93	67.79	104.23	68.56	222.77	139.67	126.58	192.09	244.38
NM_001181874.2	330.0	275.0	480.0	362.0	395.0	554.0	308.0	764.0	697.0	463.0	414.0	856.0
NM_001181875.1	276.0	223.0	276.0	257.0	238.0	422.0	181.0	567.0	455.0	293.0	216.0	690.0
NM_001181876.1	93.0	125.0	181.0	120.0	113.0	179.0	84.0	222.0	187.0	128.0	131.0	269.0
NM_001181877.1	104.0	102.0	136.0	107.0	126.0	180.0	106.0	288.0	276.0	163.0	187.0	329.0
NM_001181878.1	392.0	434.0	490.0	377.0	386.0	606.0	279.0	792.0	595.0	361.0	430.0	721.0
NM_001181880.1	153.0	135.0	174.0	143.0	191.0	359.0	144.0	337.0	391.0	399.0	336.0	553.0
NM_001181881.1	542.0	610.0	694.0	563.0	621.0	905.0	507.0	1444.0	1014.0	812.0	895.0	1432.0
NM_001181882.1	160.0	174.0	244.0	165.0	187.0	292.0	121.0	363.0	310.0	210.0	210.0	397.0
NM_001181883.1	173.0	193.0	219.0	225.0	219.0	308.0	151.0	439.0	390.0	311.0	334.0	511.0
NM_001181884.1	12.5	11.89	21.39	18.97	13.29	25.18	11.8	38.08	26.2	16.08	15.76	37.8
NM_001181886.1	0.0	2.49	0.0	0.0	5.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001184605.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
NM_001181887.1	38.91	0.04	33.62	31.37	23.8	37.78	30.19	66.11	71.78	26.18	42.52	88.91
NM_001181888.1	445.0	404.0	685.0	503.0	490.0	802.0	429.0	1168.0	909.0	658.0	703.0	1295.0
NM_001181889.1	1075.0	979.0	1400.0	978.0	1166.0	1553.0	760.0	1985.0	1904.0	1167.0	828.0	2237.0
NM_001181890.1	646.0	546.0	1070.0	437.0	627.0	1089.0	409.0	937.0	976.0	720.0	401.0	1337.0
NM_001181891.1	63.0	74.0	122.0	119.0	128.0	192.0	98.0	330.0	216.0	155.0	164.0	326.0
NM_001181892.1	570.0	488.0	742.0	587.0	678.0	1034.0	495.0	1200.0	1045.0	726.0	692.0	1496.0
NM_001181893.1	458.0	449.0	562.0	661.0	564.0	870.0	476.0	1339.0	1056.0	818.0	972.0	1750.0
NM_001181894.1	403.0	367.0	648.0	527.0	582.0	983.0	401.0	968.0	905.0	646.0	667.0	1215.0
NM_001181895.1	616.0	587.0	779.0	581.0	567.0	1081.0	495.0	1327.0	1141.0	659.0	687.0	1273.0
NM_001181896.1	652.0	685.0	1065.0	648.0	755.0	1516.0	560.0	1487.0	1163.0	840.0	761.0	1609.0
NM_001181897.1	78.0	74.0	141.0	91.0	115.0	164.0	75.0	186.0	203.0	146.0	96.0	266.0
NM_001181898.1	120.0	91.0	143.0	95.0	100.0	151.0	89.0	261.0	204.0	138.0	99.0	213.0
NM_001181899.1	2.0	0.0	1.0	2.0	4.0	3.0	1.0	6.0	2.0	4.0	3.0	6.0
NM_001181900.1	1.0	0.0	1.0	2.0	0.0	2.0	0.0	2.0	1.0	0.0	1.0	3.0
NM_001181901.1	391.0	366.0	517.0	515.0	515.0	807.0	335.0	1005.0	819.0	602.0	615.0	1171.0
NM_001181902.1	311.0	293.0	455.0	338.0	397.0	576.0	271.0	607.0	583.0	479.0	344.0	885.0
NM_001181903.1	343.0	321.0	481.0	358.0	366.0	683.0	298.0	801.0	697.0	467.0	429.0	895.0
NM_001181904.1	1203.0	1041.0	1745.0	1403.0	1542.0	2744.0	1264.0	3128.0	2641.0	1895.0	1830.0	3929.0
NM_001181905.1	571.0	548.0	842.0	560.0	645.0	946.0	490.0	1416.0	1216.0	714.0	637.0	1524.0
NM_001181906.1	506.0	491.0	657.0	730.0	724.0	1093.0	583.0	1509.0	1156.0	1081.0	1271.0	2229.0
NM_001181907.1	766.0	669.0	975.0	744.0	858.0	1379.0	571.0	1769.0	1329.0	955.0	761.0	1808.0
NM_001181908.1	243.0	227.0	434.0	330.0	346.0	659.0	289.0	717.0	558.0	452.0	475.0	1003.0
NM_001181909.1	578.0	512.0	909.0	591.0	645.0	1175.0	510.0	1247.0	1110.0	754.0	544.0	1497.0
NM_001181910.1	338.0	308.0	499.0	435.0	451.0	705.0	344.0	1026.0	829.0	655.0	568.0	1146.0
NM_001181911.2	290.0	296.0	535.0	376.0	359.0	669.0	285.0	717.0	705.0	552.0	425.0	1005.0
NM_001181912.1	441.0	409.0	676.0	459.0	582.0	1009.0	466.0	1093.0	838.0	850.0	764.0	1620.0
NM_001181913.1	305.0	292.0	440.0	375.0	423.0	579.0	300.0	838.0	669.0	443.0	458.0	930.0
NM_001181914.1	3680.0	3782.0	5504.0	5460.0	4393.0	7771.0	5041.0	13106.0	11035.0	6976.0	8388.0	15290.0
NM_001181915.1	2992.0	2840.0	3642.0	3090.0	3198.0	4763.0	2354.0	6624.0	5321.0	3613.0	3189.0	6808.0
NM_001181916.1	28248.42	28678.27	43845.62	24413.79	26899.86	53461.35	24378.55	58706.07	53799.9	26741.17	23349.5	59297.7
NM_001181917.1	88.0	137.0	138.0	105.0	125.0	171.0	109.0	294.0	195.0	137.0	162.0	295.0
NM_001181918.1	102.0	74.0	87.0	94.0	100.0	187.0	58.0	281.0	153.0	103.0	83.0	222.0
NM_001181919.1	454.0	499.0	596.0	652.0	591.0	827.0	452.0	1229.0	952.0	765.0	610.0	1463.0
NM_001181920.1	592.0	409.0	828.0	453.0	692.0	1117.0	374.0	1064.0	1070.0	863.0	463.0	1548.0
NM_001181921.2	1525.0	1397.0	1822.0	1516.0	1356.0	2067.0	1005.0	2988.0	2436.0	1409.0	1701.0	2775.0
NM_001181922.1	202.0	208.0	306.0	267.0	231.0	394.0	205.0	531.0	454.0	333.0	336.0	708.0
NM_001184318.1	0.0	3.97	20.11	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0
NM_001181923.1	228.0	189.0	381.0	300.0	324.0	471.0	244.0	553.0	519.0	350.0	299.0	696.0
NM_001181924.1	43.14	50.26	69.86	47.78	50.54	86.13	45.85	125.01	110.89	50.85	82.91	144.1
NM_001181925.1	238.0	216.0	365.0	308.0	381.0	667.0	283.0	738.0	740.0	514.0	366.0	1174.0
NM_001181926.1	451.0	374.0	756.0	516.0	641.0	907.0	405.0	1030.0	1067.0	851.0	488.0	1484.0
NM_001181927.1	109.0	117.0	152.0	82.0	89.0	132.0	67.0	232.0	179.0	96.0	96.0	190.0
NM_001181929.1	117.0	139.0	183.0	107.0	99.0	204.0	91.0	271.0	229.0	111.0	146.0	282.0
NM_001181930.1	3232.0	3084.0	4695.0	2969.0	3179.0	6144.0	2562.0	6184.0	6178.0	3202.0	2812.0	6847.0
NM_001181931.1	97498.74	116191.02	151097.55	123327.72	87223.14	174341.67	88828.27	228380.65	205751.59	108728.44	156276.37	250747.19
NM_001181932.1	624.0	578.0	928.0	661.0	725.0	1133.0	530.0	1517.0	1322.0	1081.0	621.0	1922.0
