gene_id	SRR1944924.genes.results	SRR1944925.genes.results	SRR1944926.genes.results	SRR1944927.genes.results	SRR1944928.genes.results	SRR1944929.genes.results
Q0020	0.0	0.0	0.0	0.0	0.0	0.0
Q0045	5.0	1.0	9.62	3.47	1.0	11.2
Q0050	0.0	2.0	5.0	2.0	0.0	16.0
Q0055	1.0	0.0	0.0	3.0	1.0	2.0
Q0060	0.0	0.0	0.0	0.0	0.0	0.0
Q0065	1.0	0.0	0.0	0.0	0.0	6.33
Q0070	0.0	0.0	3.38	2.53	1.0	1.47
Q0075	1.0	0.0	3.0	1.0	2.0	10.0
Q0080	0.0	0.0	0.0	0.0	0.0	0.0
Q0085	0.0	0.0	0.0	1.0	1.0	0.0
Q0105	0.0	0.0	0.0	0.0	2.0	0.0
Q0110	0.0	0.0	0.0	2.0	0.0	0.0
Q0115	0.0	0.0	0.0	0.0	0.0	0.0
Q0120	0.0	0.0	6.0	1.0	0.0	0.0
Q0130	3.0	2.0	1.0	0.0	3.0	3.0
Q0140	0.0	0.0	0.0	0.0	0.0	3.0
Q0158	0.0	0.0	0.0	0.0	0.0	0.0
Q0160	2.0	0.0	6.0	7.0	11.0	23.0
Q0250	0.0	0.0	0.0	1.0	0.0	0.0
Q0255	0.0	0.0	0.0	0.0	0.0	0.0
Q0275	0.0	0.0	0.0	0.0	1.0	0.0
Q0285	0.0	0.0	0.0	0.0	0.0	0.0
YAL001C	536.0	493.0	708.0	639.0	681.0	1030.0
YAL002W	512.0	511.0	709.0	687.0	529.0	812.0
YAL003W	17018.0	19386.0	20800.0	15182.0	14491.0	26854.0
YAL005C	8141.95	11467.35	17995.99	15176.5	11162.66	21265.34
YAL007C	1141.0	1173.0	1543.0	1109.0	1194.0	2166.0
YAL008W	218.0	235.0	255.0	244.0	286.0	508.0
YAL009W	280.0	241.0	368.0	317.0	354.0	512.0
YAL010C	227.0	201.0	309.0	264.0	276.0	508.0
YAL011W	228.0	257.0	385.0	244.0	299.0	520.0
YAL012W	4990.0	5922.0	7505.0	6688.0	5429.0	10027.0
YAL013W	351.0	442.0	493.0	486.0	476.0	757.0
YAL014C	399.0	466.0	569.0	589.0	592.0	863.0
YAL015C	245.0	268.0	331.0	292.0	310.0	532.0
YAL016W	1779.0	1907.0	2369.0	2305.0	2101.0	3411.0
YAL017W	591.0	557.0	864.0	792.0	749.0	1079.0
YAL018C	2.0	4.0	1.0	4.0	2.0	5.0
YAL019W	815.0	741.0	1079.0	966.0	984.0	1692.0
YAL020C	351.0	394.0	457.0	364.0	367.0	573.0
YAL021C	675.0	629.0	1070.0	987.0	795.0	1100.0
YAL022C	859.0	872.0	1155.0	989.0	1017.0	1528.0
YAL023C	4204.0	4454.0	5813.0	4764.0	4133.0	5823.0
YAL024C	247.0	230.0	442.0	314.0	284.0	458.0
YAL025C	603.0	643.0	1065.0	684.0	942.0	1676.0
YAL026C	772.0	691.0	1148.0	966.0	913.0	1400.0
YAL027W	142.0	120.0	202.0	169.0	193.0	360.0
YAL028W	110.0	93.0	133.0	109.0	110.0	144.0
YAL029C	1007.0	962.0	1815.0	1392.0	1264.0	1985.0
YAL030W	208.0	219.0	319.0	327.0	281.0	588.0
YAL031C	419.0	401.0	542.0	569.0	493.0	672.0
YAL032C	182.0	180.0	271.0	210.0	208.0	375.0
YAL033W	320.0	362.0	447.0	360.0	396.0	734.0
YAL034C	118.0	141.0	167.0	186.0	160.0	237.0
YAL034W-A	125.0	119.0	169.0	122.0	134.0	298.0
YAL035W	3357.0	3836.0	5661.0	4224.0	4260.0	9477.0
