transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001181101.1	0.0	1.27	0.41	0.0	1.03	0.0
NM_001181102.1	14.58	14.45	14.87	19.43	17.6	17.06
NM_001181103.1	20.91	15.82	24.34	22.42	18.21	20.33
NM_001181104.1	92.43	80.42	86.7	117.53	110.68	94.66
NM_001181106.1	12.63	12.27	9.24	19.18	16.97	8.5
NM_001181107.1	26.9	22.52	27.53	27.7	29.62	27.79
NM_001181108.1	116.5	108.26	113.54	123.98	144.67	138.69
NM_001181109.1	38.21	39.34	42.45	38.38	46.15	39.45
NM_001181110.1	61.3	56.89	73.66	54.36	77.87	73.37
NM_001181111.1	397.97	427.34	436.79	511.57	445.44	452.76
NM_001181112.1	67.94	72.35	69.55	73.69	84.22	79.01
NM_001181113.1	43.47	32.04	39.6	42.88	42.04	39.58
NM_001181114.1	36.19	32.55	36.45	43.28	43.02	44.53
NM_001181115.1	0.87	0.36	1.0	0.62	0.89	0.64
NM_001181116.1	18.29	18.91	20.79	17.6	24.09	18.79
NM_001181117.1	6.95	5.81	7.69	7.26	7.82	5.89
NM_001181118.1	72.18	59.28	62.52	67.21	75.49	66.82
NM_001181119.1	1249.16	1236.48	1258.15	1031.77	968.49	1046.53
NM_001181120.1	22.92	21.42	28.24	29.66	28.19	26.6
NM_001181121.1	90.38	77.54	57.82	48.59	49.28	36.63
NM_001181122.1	93.65	84.75	76.29	96.39	91.39	90.66
NM_001181123.1	72.58	67.62	63.49	72.57	80.48	62.0
NM_001181124.1	4.59	5.41	4.53	4.45	6.28	7.3
NM_001184473.1	2.16	1.55	2.65	6.37	3.08	3.83
NM_001181125.1	1.15	1.87	1.06	3.48	4.07	3.4
NM_001181126.1	0.0	0.0	0.0	0.0	0.52	2.09
NM_001181127.1	0.71	0.0	0.0	0.0	0.0	0.78
NM_001181128.1	0.49	0.0	0.0	0.45	0.93	0.4
NM_001181129.1	4.35	2.42	1.85	12.49	12.77	10.88
NM_001181130.3	161.98	185.18	171.03	180.78	184.7	189.94
NM_001181131.1	35.38	33.3	30.78	34.98	40.16	30.76
NM_001181132.1	26.24	27.3	27.95	38.18	37.0	32.5
NM_001181133.1	29.83	27.24	28.06	29.51	30.22	24.22
NM_001181134.3	50.3	40.39	57.22	43.73	63.06	60.31
NM_001181135.1	15.34	13.38	15.74	18.48	23.8	18.81
NM_001181136.1	107.15	98.59	104.96	109.59	111.05	119.17
NM_001181137.1	65.09	80.96	68.43	78.56	102.24	101.69
NM_001181138.3	30.3	21.25	32.39	22.35	29.89	32.23
NM_001181139.1	39.68	36.14	36.79	43.77	44.42	37.42
NM_001181141.1	47.97	43.64	43.2	60.2	60.47	54.48
NM_001181142.1	27.57	23.53	23.44	21.98	27.28	26.02
NM_001181143.3	48.94	52.71	58.45	56.29	44.96	34.23
NM_001181144.1	28.6	25.77	23.82	30.21	32.04	26.6
NM_001431139.1	22.21	25.55	24.97	16.15	29.62	29.7
NM_001181145.1	23.54	16.27	21.47	21.18	24.15	21.37
NM_001181146.1	95.86	70.39	96.5	68.32	96.63	99.84
NM_001270747.1	33.93	75.85	52.71	21.19	48.16	63.96
NM_001181148.3	51.49	44.83	50.56	56.56	50.03	63.49
NM_001181149.1	508.89	527.74	560.72	507.15	531.67	628.59
NM_001181150.1	23.77	21.78	20.17	18.61	21.65	22.36
NM_001181152.1	6.1	6.23	6.07	8.0	8.16	5.02
NM_001181153.3	139.27	115.15	139.62	146.6	143.62	149.53
NM_001348839.1	21.47	21.79	18.63	27.92	27.67	23.2
NM_001181155.3	144.94	154.77	156.6	162.16	170.0	174.03
NM_001181156.1	6278.08	6111.55	6508.96	5430.79	5528.94	6723.8
NM_001184431.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001184432.2	13.79	13.29	20.76	8.93	9.79	12.84
NM_001181157.3	35.08	36.28	36.98	36.58	37.31	34.62
NM_001181158.3	92.58	81.77	91.43	90.75	102.93	99.94
NM_001181159.1	49.83	36.08	49.29	43.81	54.7	58.53
NM_001184658.1	14.56	15.56	16.76	16.44	15.51	13.66
NM_001181160.1	52.18	43.88	48.59	48.98	48.06	45.13
NM_001181161.3	11.36	12.16	14.0	14.92	13.85	10.52
NM_001181162.3	105.4	90.29	99.72	111.56	126.42	131.24
NM_001181163.1	4938.78	4212.16	4752.99	3839.56	4346.63	4947.62
NM_001181164.1	50.75	33.25	74.65	27.2	41.74	58.18
NM_001184648.1	41.97	33.71	45.04	44.84	48.09	53.25
NM_001181165.3	59.3	39.86	45.99	50.11	44.44	44.5
NM_001181166.3	921.28	962.35	1013.4	1025.42	1009.98	1215.72
NM_001184433.1	1.59	0.28	2.38	1.44	2.08	1.46
