	samples	PC1	PC2
0	wt_ribo_YPD1	-7.1551182160461	19.017379504045962
1	wt_ribo_YPD2	40.06101392418222	23.72407913469169
2	wt_ribo_YPD3	-17.751833474109418	16.602887180573042
3	ncs2d_ribo_YPD1	11.339353636028454	4.641502965925437
4	ncs2d_ribo_YPD2	10.041635276800838	3.753079724461088
5	ncs2d_ribo_YPD3	-81.64831685974046	-6.096094636247812
6	elp6d_ribo_YPD1	-23.265611743897182	-2.9925310971736625
7	elp6d_ribo_YPD2	-36.9269508798032	-4.040650663473239
8	elp6d_ribo_YPD3	15.730286125369123	0.4582591959137111
9	ncs2d_elp6d_ribo_YPD1	18.10239321016559	-18.935812082943
10	ncs2d_elp6d_ribo_YPD2	-13.533381937890281	-21.11373348320545
11	ncs2d_elp6d_ribo_YPD3	85.00653093894064	-15.018365742567587
