name	wt_ribo_YPD1_cds_rpf	wt_ribo_YPD2_cds_rpf	wt_ribo_YPD3_cds_rpf	ncs2d_ribo_YPD1_cds_rpf	ncs2d_ribo_YPD2_cds_rpf	ncs2d_ribo_YPD3_cds_rpf	elp6d_ribo_YPD1_cds_rpf	elp6d_ribo_YPD2_cds_rpf	elp6d_ribo_YPD3_cds_rpf	ncs2d_elp6d_ribo_YPD1_cds_rpf	ncs2d_elp6d_ribo_YPD2_cds_rpf	ncs2d_elp6d_ribo_YPD3_cds_rpf
NM_001183013.2	2658	3226	1575	2539	2244	1190	1852	1424	1410	1701	1386	1796
NM_001183014.2	333	410	207	427	429	195	434	338	321	546	372	690
NM_001183015.2	588	771	394	784	624	372	494	379	330	578	485	673
NM_001183016.3	55890	64598	31798	62574	57258	29378	48722	36178	36091	50218	44100	63357
NM_001183018.1	426	470	286	571	515	270	371	327	285	498	412	576
NM_001183019.2	571	744	394	822	626	408	511	449	382	628	627	833
NM_001183020.1	997	1190	697	1207	1139	633	968	678	731	1038	887	1268
NM_001183021.1	517	713	343	671	560	332	556	424	430	632	521	755
NM_001183023.1	296	371	158	328	269	175	177	168	156	196	171	249
NM_001183024.2	955	1321	530	1179	931	561	835	635	681	1001	853	1406
NM_001183025.1	13	16	13	18	14	10	8	9	9	16	11	11
NM_001183026.1	113	175	85	180	145	99	124	102	85	157	142	195
NM_001183027.1	5164	6327	3320	7136	6173	3318	5527	4052	4024	6397	5670	8012
NM_001183028.1	7487	8738	4153	7018	6898	3307	5750	4740	4569	5836	4592	6574
NM_001183029.1	278	370	233	357	432	200	320	279	266	514	430	555
NM_001183030.2	1302	1774	811	2041	1561	936	1523	1200	1049	1650	1530	2482
NM_001183031.2	300	385	232	354	330	209	392	282	274	419	411	606
NM_001183032.1	6	3	1	5	3	1	3	2	1	8	16	8
NM_001183033.1	29	33	22	64	54	30	64	50	46	96	69	113
NM_001183034.1	0	0	1	1	2	1	1	0	3	1	2	5
NM_001183035.1	1124	1412	706	1365	1169	622	1041	979	855	1347	1061	1575
NM_001183037.1	504	574	324	694	553	318	510	375	384	612	538	671
NM_001183038.1	137	160	90	178	159	114	171	149	135	251	240	370
NM_001183039.1	564	693	384	735	627	345	554	381	432	585	460	770
NM_001183040.1	38	52	13	51	54	27	38	28	45	59	76	92
NM_001183042.1	0	3	0	5	1	0	2	2	2	0	4	0
NM_001183044.1	341	503	250	537	441	251	377	296	282	478	426	604
NM_001183045.1	1111	1287	746	1538	1337	729	1327	950	969	1569	1430	1804
NM_001183046.1	3271	3661	2126	4135	3415	2055	3018	2556	2346	4062	3585	4939
NM_001183047.1	111129	129556	61653	120731	101703	57757	91370	69109	71733	91137	79344	120250
NM_001183048.1	0	2	0	1	0	1	0	0	0	2	0	2
NM_001183049.1	15	29	16	29	13	10	17	18	16	22	21	34
NM_001183050.1	956	1346	727	1491	1276	739	1205	942	821	1560	1329	1925
NM_001183051.1	66	74	39	96	94	54	67	56	51	99	86	102
NM_001183052.1	100	139	89	185	151	85	141	99	92	170	165	257
NM_001183053.1	434	535	260	731	608	320	431	359	350	743	669	891
NM_001183054.1	1952	2799	1031	2747	1964	1110	1750	1319	1352	2023	1781	2945
NM_001183055.1	635	660	434	686	605	344	579	414	349	413	414	554
NM_001183056.1	193	295	118	338	265	130	261	200	163	345	285	384
NM_001183057.1	1089	1354	777	1311	1169	617	1106	841	705	1210	1146	1642
NM_001183058.1	4944	5513	2443	6501	5811	2405	4467	3286	3091	4788	4293	6081
NM_001183059.1	609	733	452	803	740	398	603	480	426	737	614	828
NM_001183060.1	334	428	213	405	283	167	261	227	178	253	210	351
NM_001183061.1	100	108	74	135	124	61	130	74	100	203	141	207
NM_001183062.1	530	617	311	669	559	306	468	360	318	583	498	716
NM_001183063.1	194	328	117	324	247	146	206	169	168	324	244	406
NM_001183065.1	315	434	253	402	377	195	292	239	207	333	323	466
NM_001183067.1	776	999	625	1006	856	431	883	637	587	1209	974	1364
NM_001183068.1	58	99	27	64	63	34	50	37	38	78	58	84
NM_001183069.1	1779	2044	1204	1835	1518	963	1367	1012	958	1466	1320	1762
NM_001183070.1	714	860	534	1069	946	550	622	535	548	942	782	1098
NM_001183071.1	585	864	328	799	612	329	539	382	373	608	562	850
NM_001183072.1	82	114	49	93	74	46	79	76	60	85	70	112
NM_001183074.1	501	657	344	684	620	378	663	497	468	701	600	892
NM_001183075.1	70	77	61	93	60	44	87	54	67	79	76	116
NM_001183076.1	745	914	500	923	847	439	727	566	540	784	678	976
NM_001183077.1	1551	1967	1011	1839	1579	829	1657	1266	1220	1809	1563	2207
NM_001183078.1	309	439	240	603	596	351	550	376	412	814	824	974
NM_001183079.1	2723	3363	1914	5155	4608	2914	4664	3592	3452	6898	6175	8831
NM_001183080.1	296	395	198	404	360	205	388	301	268	445	381	637
NM_001183081.2	2960	3462	1805	4187	3545	2140	3607	2898	2850	5230	4392	6578
NM_001183082.1	3237	3953	2112	3804	3344	1648	2842	2250	2083	3082	2502	3572
NM_001183083.1	169	217	103	257	219	120	144	122	95	254	204	253
NM_001183084.1	355	429	256	610	490	250	366	287	295	441	385	544
NM_001183085.1	5227	6332	3409	6814	6025	3373	5347	4081	3920	6290	5480	8061
NM_001183086.1	2977	3626	1792	3900	3385	1765	3145	2405	2278	3461	2977	4106
NM_001183087.1	97	101	68	145	116	57	149	85	78	140	125	211
NM_001183088.1	261	289	134	306	281	153	229	181	146	254	251	329
NM_001183089.1	1711	2036	1027	1999	1778	925	1451	1156	1115	2031	1591	2555
NM_001183090.1	321	371	204	474	440	256	337	295	249	534	506	609
NM_001183091.1	246	293	170	374	341	195	362	270	227	444	368	538
NM_001183092.1	122	148	71	163	151	100	157	97	113	194	179	250
NM_001183093.1	5038	5733	2871	5736	5437	2580	4268	3608	3489	5707	4687	6497
NM_001183094.1	727	899	479	1060	955	637	758	604	567	863	788	1108
NM_001183095.1	257	321	197	384	294	179	300	235	218	312	270	385
