name	wt_ribo_YPD1_cds_rpf	wt_ribo_YPD2_cds_rpf	wt_ribo_YPD3_cds_rpf	ncs2d_ribo_YPD1_cds_rpf	ncs2d_ribo_YPD2_cds_rpf	ncs2d_ribo_YPD3_cds_rpf	elp6d_ribo_YPD1_cds_rpf	elp6d_ribo_YPD2_cds_rpf	elp6d_ribo_YPD3_cds_rpf	ncs2d_elp6d_ribo_YPD1_cds_rpf	ncs2d_elp6d_ribo_YPD2_cds_rpf	ncs2d_elp6d_ribo_YPD3_cds_rpf
NM_001178148.1	408	517	280	615	503	291	496	327	313	502	418	703
NM_001178149.1	166	224	130	239	169	113	209	139	131	218	155	275
NM_001178150.1	37873	45300	19923	44630	36568	19119	29299	22256	23805	31388	26698	40602
NM_001178151.1	134309	165384	94225	208143	173168	94230	141351	105046	100705	182562	166467	239980
NM_001178152.1	1380	1804	951	1633	1534	742	1299	1073	915	1499	1171	1765
NM_001178153.1	345	409	238	569	489	273	396	314	259	597	552	774
NM_001178154.1	116	134	60	167	143	89	160	105	111	197	162	226
NM_001178155.2	143	175	82	196	190	91	180	126	105	185	152	255
NM_001178156.1	145	179	111	207	151	93	134	103	105	149	114	173
NM_001178157.1	14703	17019	8642	16213	15125	8992	14816	12311	12043	21376	17668	25668
NM_001178158.2	334	444	209	563	400	278	372	245	293	555	437	754
NM_001178159.1	214	297	157	355	303	156	221	190	172	306	307	376
NM_001178160.1	126	160	93	191	169	94	157	125	129	243	216	277
NM_001178161.1	3253	4163	2046	4955	4187	2135	3439	2591	2447	4292	3534	5350
NM_001178162.2	610	676	418	822	647	388	586	469	394	746	574	937
NM_001178163.1	2	1	1	3	0	0	2	1	2	3	4	2
NM_001178164.1	1220	1550	764	1737	1465	820	1280	969	958	1644	1349	1981
NM_001178165.2	156	185	92	188	187	144	169	142	129	253	205	328
NM_001178166.1	1689	2147	1008	2024	1764	1054	1539	1192	1266	1968	1581	2449
NM_001178167.1	726	946	468	999	877	485	807	639	569	1179	1055	1553
NM_001178168.1	5129	6236	3340	5742	4768	2893	4351	3516	3383	4882	4318	6627
NM_001178169.1	221	291	137	322	274	146	274	209	169	376	211	456
NM_001178170.2	1233	1444	914	1616	1489	777	1154	853	830	1429	1259	1680
NM_001178171.2	1027	1223	674	1396	1069	637	1096	816	732	1174	983	1615
NM_001178172.1	78	110	65	124	114	59	106	107	64	126	126	183
NM_001178173.1	48	47	21	49	38	28	29	29	24	35	46	49
NM_001178174.1	818	1050	540	1013	933	522	969	660	628	1080	840	1322
NM_001178175.1	318	518	244	674	541	348	422	348	309	734	624	831
NM_001178176.1	184	242	138	329	281	149	233	169	169	251	236	355
NM_001178177.1	206	245	109	253	210	137	174	140	135	203	146	240
NM_001178178.1	323	349	187	370	360	206	427	311	362	477	459	604
NM_001178179.1	113	127	74	129	116	45	96	79	74	102	92	157
NM_001178180.1	13559	16488	8391	19710	16790	9370	13796	10591	10325	19487	16319	23480
NM_001178181.1	2222	2677	1390	4105	3809	2021	3179	2424	2390	4703	3899	5593
NM_001178182.1	9	9	14	10	10	3	7	7	4	16	8	16
NM_001178183.1	223367	250322	132368	249178	223590	125623	202580	161523	159016	194244	167052	244838
NM_001178184.1	286	320	200	408	318	245	373	279	253	566	433	676
NM_001178185.1	287	358	178	281	223	130	305	225	219	290	230	354
NM_001178186.1	671	955	447	928	816	474	903	656	626	1077	848	1350
NM_001178187.1	1976	2267	1322	2746	2417	1496	2274	1908	1773	2967	2476	3515
NM_001178188.1	779	973	481	997	819	543	685	541	560	961	783	1230
NM_001178189.1	2271	2425	1240	3368	3185	1713	2644	2069	2170	3680	3363	4453
NM_001178191.1	313	390	209	387	363	220	305	201	231	401	356	466
NM_001178192.2	186	262	107	253	210	113	217	159	167	288	215	327
NM_001178193.1	193	227	141	298	251	128	241	166	205	319	276	351
NM_001178194.1	673	905	460	1033	950	457	721	588	591	899	755	1102
NM_001178195.2	409	524	310	657	587	276	492	384	335	615	555	708
NM_001178196.2	1199	1450	784	1536	1328	777	1478	1182	984	1919	1720	2505
NM_001178197.1	22	47	18	29	28	12	26	17	14	50	42	49
NM_001178198.1	80	102	79	94	79	49	67	52	67	83	65	106
NM_001178199.2	177	214	134	259	223	125	224	143	164	305	205	365
NM_001178200.1	269	291	181	345	299	180	277	206	224	374	283	457
NM_001178201.2	673	838	482	798	742	359	557	361	409	653	543	694
NM_001178202.2	995	1098	583	1410	1181	676	1181	955	891	1084	981	1387
NM_001178203.1	105	76	91	178	118	137	163	113	129	408	352	552
NM_001178204.1	57	71	53	89	66	28	70	53	49	62	79	85
NM_001178205.1	25	16	18	20	15	11	11	19	14	25	16	27
NM_001178206.2	0	0	0	0	0	0	0	0	0	0	0	0
NM_001178208.1	3	5	1	5	4	2	9	3	3	10	15	9
NM_001178209.1	1461	1713	876	1796	1459	790	1315	1025	917	1454	1206	1762
NM_001178210.1	234	288	158	314	303	131	229	195	206	379	282	346
NM_001178211.1	1771	2188	1177	2626	2228	1149	1696	1332	1163	2038	1749	2450
NM_001178212.1	182	199	132	230	203	108	208	142	155	252	181	266
NM_001178213.1	13	14	10	10	11	11	16	8	8	11	5	8
NM_001178214.1	1	1	2	3	2	2	3	1	0	1	0	2
NM_001178215.2	826	1065	475	1192	871	459	719	554	628	966	805	1302
NM_001178216.1	2689	2781	1137	2021	1971	809	1400	1030	1042	1159	967	1314
NM_001178217.1	197	273	123	329	285	167	291	231	202	407	340	497
NM_001178218.2	146	188	97	237	172	109	168	113	130	218	192	283
NM_001178219.1	0	1	0	2	1	1	2	0	1	1	0	2
NM_001178220.2	3	6	4	3	5	3	7	7	6	2	3	6
NM_001178221.1	411	512	261	521	451	220	365	265	223	390	331	525
NM_001178222.1	247	318	167	325	284	140	277	223	206	324	286	407
NM_001178223.1	1	4	0	2	0	0	3	0	3	5	2	1
NM_001178224.1	128	190	113	183	166	90	155	134	98	199	168	292
NM_001178225.1	168	201	95	190	165	104	188	131	125	243	238	292
NM_001178226.1	31	33	24	53	54	27	65	61	68	192	195	225
NM_001178227.1	672	729	495	670	636	380	533	469	481	701	473	824
NM_001178230.1	14	8	9	17	9	7	6	13	11	18	17	19
NM_001178235.1	0	0	0	0	0	0	0	0	0	0	0	2
NM_001178236.1	3	12	0	14	13	7	8	13	19	20	32	56
NM_001178239.1	5249	6237	3632	1773	1373	312	1534	1322	803	118	96	142
NM_001178241.1	957	1175	650	1506	1286	662	1245	875	886	1516	1437	1926
NM_001178242.1	7578	9312	4651	9092	8335	3850	7943	5984	5890	9067	7671	10438
NM_001178243.1	7685	8929	4801	8826	8342	4114	7890	6300	6301	9433	8131	11036
NM_001178244.1	3267	4270	2059	4292	3427	1925	3712	2756	2573	3922	3222	4961
NM_001178245.1	173	199	173	235	158	158	243	171	119	225	224	314
NM_001178246.1	406	518	284	465	441	228	355	292	278	442	340	468
NM_001178247.1	5656	7103	3065	7003	5300	3132	4657	3661	3645	5729	4675	7195
NM_001178248.2	292	406	251	435	389	214	356	285	261	400	322	499
NM_001178249.1	660	832	469	745	604	339	587	418	382	674	525	790
NM_001178250.1	164	228	110	214	225	90	186	124	146	220	190	299
NM_001178251.1	733	939	474	729	591	332	488	419	380	551	492	693
NM_001178253.1	90	119	62	107	65	37	72	68	56	127	103	133
NM_001178254.2	90	173	99	211	184	113	158	140	130	232	202	251
NM_001178255.1	440	534	278	514	410	231	418	324	339	421	328	544
NM_001178256.1	475	580	316	569	569	317	393	342	357	411	388	558
NM_001178257.1	3341	4213	2305	4329	3923	1945	3304	2567	2329	3401	2950	4528
NM_001178258.1	235	289	196	343	260	136	312	217	239	272	244	318
NM_001178259.1	74	91	64	122	101	42	102	102	69	137	118	155
NM_001178260.1	447	568	324	490	441	213	426	395	335	419	380	577
NM_001178261.1	117	198	89	262	242	125	163	133	129	272	228	315
NM_001178262.1	2689	3337	1745	5320	4201	2610	4245	3138	3098	6235	5281	7729
NM_001178263.1	798	1133	597	1071	843	531	773	584	574	977	752	1124
NM_001178264.1	4036	4957	2835	4825	4333	2440	3777	2768	2844	3756	3388	4601
NM_001178265.1	111	163	72	181	137	78	112	106	81	141	127	177
NM_001178266.1	556	649	446	539	570	269	524	380	384	550	484	622
NM_001178267.1	34251	40174	19734	42294	37701	18324	29898	22917	22301	34865	30604	41678
NM_001178268.1	909	1094	584	1193	971	495	659	553	521	867	787	925
NM_001178269.1	53	66	29	61	52	15	53	43	29	56	47	44
NM_001178270.1	5520	7078	3563	8699	7419	3752	6535	5460	5085	9695	8519	12416
NM_001178271.1	139	153	87	204	166	73	171	125	119	221	153	246
NM_001178272.1	2207	2689	1343	2367	1967	1049	1639	1291	1252	1664	1464	2185
NM_001178273.1	444	544	325	599	528	310	499	351	358	609	484	639
NM_001178274.1	564	728	394	786	681	357	601	450	416	652	602	834
NM_001178275.1	751	887	436	1032	865	429	644	509	499	762	577	908
NM_001178276.1	936	1299	654	1674	1402	723	1183	909	792	1585	1420	1818
NM_001178277.1	559	631	393	813	607	405	724	536	493	986	824	1339
NM_001178278.1	346	410	251	617	495	246	433	310	289	575	516	727
NM_001178279.1	7041	8524	4338	7824	6926	3534	6209	4483	4636	6647	5903	8200
NM_001178280.1	1011	1270	633	1365	1336	644	1196	899	786	1384	1232	1806
NM_001178281.1	2635	3248	1707	3018	2644	1407	2184	1662	1629	2455	2176	2975
NM_001178282.1	1204	1511	731	1186	968	600	1012	755	723	909	863	1070
NM_001178283.1	3	3	3	3	11	4	3	2	3	6	12	12
NM_001178284.1	0	0	0	2	0	2	0	2	1	0	0	0
NM_001178285.1	1633	2156	1012	3161	2841	1379	2821	2327	2242	4844	3989	6106
NM_001178286.1	234	328	175	434	370	198	296	204	196	443	379	570
NM_001178287.1	5255	6446	3000	8351	6360	3694	5852	5152	4417	8257	6552	10136
NM_001178289.1	5	10	5	8	7	6	7	5	7	27	16	18
NM_001178290.1	1300	1625	749	1725	1537	751	1183	835	829	1414	1234	1731
NM_001178291.1	1744	2288	1049	3004	2336	1425	2052	1580	1456	2916	2237	3577
NM_001178292.1	124	128	94	165	135	78	143	92	85	128	90	186
NM_001178294.1	665	815	467	707	641	388	550	473	494	594	537	626
NM_001178295.1	372	402	236	369	350	203	375	268	272	314	269	384
NM_001178296.2	1655	1917	1140	2169	1828	1038	1721	1320	1246	1854	1587	2311
NM_001178297.2	449	512	300	571	498	277	474	377	316	665	604	771
NM_001178298.1	2737	3391	1517	5086	4234	2271	3248	2474	2474	5459	4832	6678
NM_001178299.1	88	124	67	173	152	80	116	116	100	200	150	242
NM_001178300.1	163	202	121	264	212	110	212	165	139	293	241	314
NM_001178301.1	692	916	418	981	779	430	762	504	553	830	689	1022
NM_001178303.1	276	379	195	398	301	181	323	261	221	380	351	455
NM_001178304.1	756	857	465	1368	1217	627	1038	793	729	1766	1439	1940
NM_001178306.1	168	183	110	226	210	110	212	167	140	304	241	396
NM_001178307.2	416	603	305	512	407	248	485	301	327	473	426	646
NM_001178308.2	1141	1297	706	1485	1313	707	1364	970	949	1342	1270	1669
NM_001178309.1	693	831	405	853	691	381	654	481	443	749	580	859
NM_001178312.1	66689	76447	37212	72812	65736	33055	53955	41995	41161	58855	50189	70863
NM_001178314.1	129	196	110	193	166	95	136	120	133	173	175	234
NM_001178315.1	21	50	11	120	94	28	55	82	36	236	272	264
NM_001178316.1	17400	20880	11468	25098	20628	11563	21089	15614	15400	24044	20510	30959
NM_001178318.1	101	147	70	251	210	105	172	105	92	313	219	316
NM_001178319.1	1337	1690	918	1963	1678	996	1731	1253	1209	1918	1631	2674
NM_001178320.2	123	107	60	138	122	64	158	102	69	192	147	212
NM_001178321.1	454	546	287	517	493	289	412	357	330	524	420	567
NM_001178322.1	513	589	310	581	516	314	455	388	353	511	469	636
NM_001178324.2	195	241	128	225	219	122	254	212	159	342	258	337
NM_001178325.1	838	1077	527	1157	969	486	787	623	620	988	825	1223
NM_001178326.1	291	305	161	460	419	214	307	260	223	566	457	693
NM_001178327.1	21654	26159	13867	25969	22828	12818	17757	14558	13883	20386	18734	25230
NM_001178328.2	133	122	100	168	130	69	152	100	96	135	133	202
NM_001178329.1	221	247	157	294	285	150	264	189	194	311	275	367
NM_001178330.1	300	385	189	490	387	185	288	225	184	342	333	444
NM_001178331.2	2424	3010	1580	2622	2323	1293	1992	1571	1440	2240	1935	2692
NM_001178332.1	38142	45640	20348	44101	42009	17425	32569	24696	25164	32644	26918	38370
NM_001178333.1	504	560	351	670	595	368	370	293	298	527	416	589
NM_001178335.1	75	81	47	63	58	24	52	47	54	61	45	82
NM_001178337.2	270	322	170	341	309	176	318	219	201	358	290	454
NM_001178338.1	390	495	249	563	545	258	603	404	418	563	574	774
NM_001178339.2	8386	10767	4902	11586	10356	5239	8433	6787	6711	12048	10523	15057
NM_001178341.1	515	621	303	762	646	388	671	487	525	918	688	1090
NM_001178342.1	659	762	475	1062	939	534	813	653	595	1072	1003	1467
NM_001178343.1	338	387	191	371	325	189	290	217	228	346	289	451
NM_001178344.1	355	420	208	446	395	254	395	320	277	456	344	628
NM_001178345.2	692	1016	548	1140	991	508	849	660	641	1045	877	1246
NM_001178346.2	210	259	198	194	193	91	237	182	180	131	152	219
NM_001178347.1	211	264	155	332	297	161	265	244	198	315	341	416
NM_001178349.1	422	539	267	670	523	295	617	429	340	757	655	920
NM_001178350.1	280	387	178	354	316	183	297	232	204	342	280	428
NM_001178351.1	374	539	259	476	451	251	449	348	355	524	516	707
NM_001178352.2	392	430	232	526	432	204	437	357	265	503	439	661
NM_001178353.1	91	134	67	148	143	72	106	87	105	190	184	221
NM_001178354.1	178	254	163	293	249	139	254	161	170	365	338	447
NM_001178355.2	299	339	195	402	326	164	318	260	225	405	382	528
NM_001178356.1	51	128	104	142	137	56	127	100	80	227	157	104
NM_001178357.1	10115	11806	6296	13680	11694	5796	9321	7374	6585	11531	10302	14243
NM_001178358.1	13579	15444	8244	15597	14144	7043	11381	9408	9626	14740	12318	17526
NM_001178359.1	21454	24483	13776	23702	22893	12271	19790	15463	14888	21484	18749	27084
NM_001178361.1	73	96	48	146	117	61	108	71	80	134	114	166
NM_001178362.1	561	735	386	713	606	315	553	398	413	529	582	751
NM_001178363.1	1504	1899	1007	1920	1684	1015	1648	1270	1173	1852	1663	2237
NM_001178364.1	922	1064	531	1364	1161	543	723	624	600	1301	1005	1402
NM_001178365.1	2009	2479	1372	2888	2481	1401	2699	1905	1834	3006	2630	3883
NM_001178366.1	2	2	3	9	6	4	8	6	6	11	12	15
NM_001178367.1	5	9	7	7	10	4	13	10	4	18	9	13
NM_001178368.1	1	0	0	2	1	1	0	2	0	3	2	1
NM_001178369.1	237	316	153	212	205	123	229	176	136	205	216	253
NM_001178370.1	170	205	122	294	252	146	282	190	180	375	337	445
NM_001178371.1	1310	1696	886	1923	1665	931	1424	1128	1099	1794	1595	2266
NM_001178372.1	184	206	124	202	172	103	144	129	97	196	156	247
NM_001178373.1	13188	15979	8668	17134	14677	7582	13209	9592	9382	14166	12187	17676
NM_001178374.1	992	1366	613	1804	1575	838	1371	1068	1017	2099	1837	2508
NM_001178376.1	391	453	244	431	429	265	394	325	315	419	318	451
NM_001178377.1	1027	1382	694	1455	1144	698	1114	869	754	1179	1136	1512
NM_001178378.1	226	271	144	348	333	190	260	206	209	358	330	432
NM_001178379.1	89927	102875	47327	91497	81676	42054	63648	49113	51433	68024	58695	85379
NM_001178381.1	7	10	6	7	2	1	11	1	7	9	14	14
NM_001178382.1	1639	2001	1063	1843	1629	929	1529	1202	1161	1485	1338	1752
NM_001178383.1	1423	1734	875	1715	1514	797	1430	1098	981	1705	1499	2124
NM_001178384.1	1406	1594	930	1986	1647	1024	1719	1281	1154	2088	1859	2866
NM_001178385.1	346	395	177	495	417	226	463	426	347	723	697	915
NM_001178386.1	1907	2367	1226	2631	2270	1274	2389	1701	1566	2854	2551	3784
NM_001178387.1	2270	3041	1486	3946	3583	1564	3047	2368	2363	4549	4058	5339
NM_001178388.1	3	11	4	10	4	7	2	3	3	8	3	9
NM_001178389.1	790	1036	545	1069	959	570	863	720	598	1049	956	1394
NM_001178390.1	463	648	344	594	496	300	572	391	342	496	480	669
NM_001178391.2	98	129	78	132	122	86	156	107	96	139	142	187
NM_001178392.2	123	121	65	120	126	55	133	102	99	151	116	188
NM_001178393.2	21	33	17	26	21	10	15	12	11	17	10	20
NM_001178394.1	563	687	372	758	640	332	499	399	286	489	397	658
NM_001178395.1	110	134	80	148	135	70	152	114	88	176	142	218
NM_001178396.1	27784	32062	15360	28706	26587	13463	20323	16681	16754	24050	19322	28822
NM_001178397.1	1849	2414	955	2527	1838	1081	1560	1228	1172	1859	1635	2535
NM_001178398.1	13	20	3	11	10	5	16	10	7	4	7	10
NM_001178400.1	846	1021	619	1341	1255	666	986	737	738	1476	1218	1740
NM_001178401.1	662	862	470	486	446	240	478	356	316	414	400	608
NM_001178402.1	786	1108	502	587	430	167	431	269	253	112	106	150
NM_001178403.1	356	603	259	565	440	262	388	296	299	516	473	659
NM_001178404.1	624	828	436	964	829	482	661	522	458	879	696	1018
NM_001178405.1	360	463	216	498	445	212	294	295	240	479	447	615
NM_001178406.1	1170	1486	737	1582	1469	794	1297	981	978	1508	1354	1749
NM_001178407.1	1069	1361	714	1800	1318	853	1282	1028	883	1923	1531	2211
NM_001178408.1	425	539	250	526	401	240	329	261	194	366	329	452
NM_001178409.3	643	775	411	731	677	353	534	429	384	626	497	761
NM_001178410.1	292	346	209	418	398	205	226	185	162	348	294	457
NM_001178411.1	0	1	1	10	4	2	6	2	5	5	6	2
NM_001178413.3	222	276	167	319	281	141	230	184	158	274	246	380
NM_001178414.1	238	351	174	273	236	124	175	131	124	143	121	201
NM_001178415.1	4294	4656	3009	3748	3643	2619	3960	2922	2930	3262	2851	3966
NM_001178416.4	3084	4065	1969	5669	4759	2463	5142	4128	3666	6870	6119	9212
NM_001178417.1	3052	3979	2156	5044	4423	2737	4121	3289	3084	4946	4505	6511
NM_001178418.1	240	297	170	271	242	124	184	163	132	206	188	246
NM_001178419.3	388	575	291	704	634	340	503	437	352	923	733	1050
NM_001178420.1	253	251	182	448	339	137	561	576	249	429	377	389
NM_001178421.4	952	1228	714	1587	1371	782	1109	877	831	1474	1264	1865
NM_001178422.2	1299	1692	869	1554	1350	713	1352	956	869	1255	1108	1705
NM_001178424.2	2	3	2	5	0	1	4	6	1	12	12	17
NM_001178425.3	306	405	207	478	472	201	347	282	258	487	408	642
NM_001178426.2	33619	40573	20172	35748	31483	17955	28238	22658	21712	29424	25999	40468
NM_001178427.1	8402	9667	5084	9747	7573	4743	8284	6013	6095	8770	7569	11512
NM_001178428.3	2720	3420	1780	3757	3308	1661	3007	2377	2058	3745	3249	4587
NM_001178429.1	548	678	342	732	641	337	580	456	428	713	607	927
NM_001178430.1	5093	5940	3362	5925	5836	3144	5293	4195	3908	6779	5473	7621
NM_001178431.3	626	972	417	762	719	448	465	356	366	367	301	519
NM_001178432.1	5295	6482	3308	6207	5817	2916	4987	4012	3937	5883	4862	6867
NM_001178433.3	186	217	139	230	153	81	105	84	72	68	62	107
NM_001178434.1	2688	3663	1800	3155	2678	1456	2590	2045	1881	2583	2232	3373
NM_001178435.3	567	746	426	722	652	338	663	505	543	752	655	913
NM_001178436.1	1780	2095	1228	2148	2002	1146	1875	1386	1325	1991	1664	2492
NM_001178438.4	604	702	315	650	561	268	349	269	280	466	519	596
NM_001178439.1	225	224	123	249	254	132	251	189	195	323	279	376
NM_001178440.1	3767	4486	2674	4804	4595	2748	2976	2427	2225	2843	2605	4184
NM_001178441.3	1814	2047	1175	972	982	521	712	623	550	590	515	887
NM_001178442.2	647	864	434	902	699	379	841	621	577	903	790	1159
NM_001178443.1	280	388	195	481	379	191	322	282	214	475	382	526
NM_001178444.3	858	1178	590	1311	1100	576	1110	834	731	1182	1098	1590
NM_001178445.2	288	337	198	335	296	178	324	236	214	290	258	440
NM_001178446.1	87	127	69	157	117	81	97	95	99	163	139	189
NM_001178449.3	1384	1651	830	2415	2030	901	1688	1365	1129	2246	1913	2810
NM_001178450.1	530	801	402	975	794	417	762	573	520	966	866	1205
NM_001178451.1	252	327	193	431	376	193	377	303	276	550	485	566
NM_001178452.3	409	566	349	462	419	200	387	307	304	492	434	539
NM_001178453.1	177	218	117	259	210	149	228	176	192	305	327	409
NM_001178454.1	6352	7172	3811	6572	6098	3314	5891	4500	4076	5648	5186	7141
NM_001178455.3	49	36	23	67	46	26	50	43	25	50	53	82
NM_001178456.2	529	761	290	732	571	336	411	325	338	677	530	859
NM_001178457.1	3855	4270	2294	4537	4122	1886	2846	2142	2006	3305	2786	3783
NM_001178458.3	466	615	321	722	619	340	543	461	342	645	637	927
NM_001178459.1	1577	1971	1000	2176	1798	1019	1514	1200	1104	1974	1788	2252
NM_001178460.3	1832	2057	1055	2106	1579	1041	1410	1204	1171	1997	1512	2497
NM_001178462.1	130	176	116	224	197	117	161	124	122	212	203	276
NM_001178463.1	5425	6336	3163	12009	9365	5297	12840	9649	9027	17376	14879	21306
NM_001178465.3	10	9	4	15	10	9	8	2	13	49	45	55
NM_001178466.1	561480	645374	321314	635771	575822	298816	490966	372993	386942	522185	452803	658532
NM_001178467.1	187	217	123	216	170	96	128	111	110	134	112	165
NM_001178468.3	103	186	93	235	150	86	142	119	115	193	187	236
NM_001178469.2	10770	12772	7500	12999	11119	6487	10526	8124	7950	11048	9617	14549
NM_001178470.1	447	505	284	773	611	376	491	362	323	720	583	750
NM_001178471.3	410	577	333	698	528	283	443	309	298	554	480	691
NM_001178473.1	264	321	221	438	413	253	419	328	294	585	495	772
NM_001178474.1	2772	3363	1780	4831	4283	2205	3573	2835	2644	5864	5105	7857
NM_001178475.3	15519	18124	9718	20022	17585	9238	16140	12197	11375	17451	15051	21726
NM_001178476.1	15	29	17	26	23	9	31	14	18	34	15	43
NM_001178477.1	276	338	173	397	358	159	272	209	171	356	328	421
NM_001178478.3	732	961	442	1073	835	426	700	500	489	883	683	1113
NM_001178479.3	152	179	97	219	169	94	160	128	114	221	142	232
NM_001178480.1	293	351	212	443	368	234	355	278	246	442	420	633
NM_001178481.1	457	557	307	487	479	226	487	334	379	492	413	644
NM_001178483.3	545	665	361	594	550	294	346	326	318	611	468	663
NM_001178484.3	274	283	194	314	252	134	268	186	177	256	199	326
NM_001178485.2	423	581	289	661	571	299	501	392	357	712	538	777
NM_001178486.2	199	244	142	296	234	122	189	167	158	272	227	337
NM_001178487.3	921	1278	733	1365	1213	779	1216	963	842	1165	1109	1624
NM_001178488.3	863	1041	635	1060	833	545	979	714	636	1136	797	1449
NM_001178489.2	199	236	150	379	329	176	237	152	134	389	343	477
NM_001178490.1	1262	1564	861	1639	1514	842	1336	1035	990	1570	1326	1885
NM_001178491.3	6761	8587	4333	9596	8079	4175	7495	5507	5190	8672	7385	10610
NM_001178493.3	115	132	77	214	152	72	215	168	144	192	165	269
NM_001178494.1	515	631	359	586	483	282	380	283	256	444	404	579
NM_001178495.1	7	17	0	9	11	4	21	12	15	26	39	52
NM_001178496.3	12	38	14	25	27	11	23	19	22	24	20	27
NM_001178497.3	2045	2572	1255	3012	2407	1323	2512	1791	1824	3225	2802	3794
NM_001178498.1	200	287	131	270	216	128	199	183	144	253	233	305
NM_001178499.1	1281	1829	858	1749	1523	743	1307	906	793	1557	1328	1836
NM_001178500.3	111	156	78	154	104	88	87	63	48	144	111	139
NM_001178501.3	107	112	93	161	161	78	126	106	99	189	181	241
NM_001178502.1	2007	2682	1452	2675	2276	1151	1864	1402	1206	2042	1819	2572
NM_001178503.1	952	1201	609	1237	1009	557	827	650	663	1083	865	1225
NM_001178504.3	196	267	141	313	253	138	249	196	171	321	263	391
NM_001178505.3	162	235	106	194	166	76	110	94	80	88	71	91
NM_001178506.1	1117	1402	740	1457	1324	642	1167	847	857	1110	957	1388
NM_001178507.1	1798	2411	1372	2198	1841	1133	1771	1408	1187	1779	1697	2383
NM_001178508.3	657	822	450	922	746	400	585	448	428	712	650	835
NM_001178509.3	208	304	130	244	210	125	214	161	125	228	174	287
NM_001178510.1	9243	10942	6270	8453	7786	4215	6984	5443	5289	5970	5109	8097
NM_001178511.3	97	114	52	112	105	42	90	87	57	110	88	135
NM_001178512.3	983	1263	676	1543	1450	773	1275	941	983	1506	1382	1881
NM_001178513.1	177	270	164	273	234	153	264	191	194	345	259	376
NM_001178514.1	690	943	511	943	780	484	822	588	566	925	698	1073
NM_001178515.3	105	123	93	156	130	61	116	78	79	114	126	124
NM_001178516.3	84	90	73	106	95	61	75	55	64	98	90	134
NM_001178517.1	469	568	331	366	341	168	312	274	195	274	266	312
NM_001178518.1	859	1003	605	1328	1144	652	1054	765	715	1291	1154	1495
NM_001178519.3	933	1305	623	1671	1369	723	968	723	583	1268	1286	1801
NM_001178520.3	980	1225	589	1447	1060	656	933	760	678	1292	990	1544
NM_001178521.1	1180	1345	709	1427	1279	726	1116	961	849	1798	1430	2156
NM_001178523.1	206	255	153	405	323	174	396	297	294	584	494	713
NM_001178524.3	335	407	218	433	376	196	365	285	295	466	364	560
NM_001178525.3	1105	1418	752	2262	2018	1013	2195	1748	1592	3317	2750	4172
NM_001178527.1	376	510	283	490	395	236	432	325	270	534	433	606
NM_001178528.1	7	4	1	2	2	1	4	1	2	3	0	9
NM_001178529.3	61891	71669	35735	74117	65302	33374	52042	41826	40089	60563	53380	75318
NM_001178530.3	30	33	15	33	21	10	27	18	21	47	37	54
NM_001178531.1	59	78	44	119	122	60	145	116	99	149	119	201
NM_001178532.3	47	75	33	45	53	19	58	41	37	48	39	39
NM_001178533.3	293	318	157	390	352	194	264	177	185	370	340	523
NM_001178534.1	5	7	2	2	3	0	3	3	3	5	5	5
NM_001178535.1	1502	1826	1019	2106	1840	1103	1628	1231	1131	1938	1832	2586
NM_001178536.3	175	197	90	199	168	99	134	111	103	185	136	186
NM_001178537.3	39906	47540	23377	48071	43021	20375	34454	26305	25711	35240	30282	42951
NM_001178539.1	37159	42018	21358	39071	36057	17982	29541	22820	23360	31800	27220	39174
NM_001178540.1	297	408	219	398	340	193	255	225	179	291	258	344
NM_001178541.3	206	250	162	241	211	130	210	177	152	281	192	326
NM_001178542.3	52	105	51	131	120	63	109	92	87	189	147	224
NM_001178543.1	223	260	172	335	274	158	302	244	232	372	289	469
NM_001178544.1	41293	47338	27140	50212	43197	25608	39642	29965	30152	43167	36809	56365
NM_001178545.1	186	233	100	224	202	128	172	134	130	221	203	279
NM_001178546.1	1117	1364	625	1970	1523	913	1261	1021	957	2030	1675	2574
NM_001178547.3	955	1219	706	1348	1080	573	1088	885	841	1257	1091	1667
NM_001178548.3	524	706	427	724	640	336	534	408	457	665	539	855
NM_001178549.1	110	129	83	155	132	60	134	113	86	169	155	185
NM_001178550.4	1000	1241	697	1349	1177	691	1225	922	890	1595	1292	1890
NM_001178551.2	29	42	29	24	30	15	34	25	14	47	40	44
NM_001178552.2	223	290	164	287	257	154	239	195	151	311	257	351
NM_001178553.3	1686	1993	1261	1901	1692	1049	1703	1295	1251	1520	1414	2079
NM_001178555.4	708	849	428	962	800	435	673	558	502	796	764	1037
NM_001178556.1	393	442	303	743	516	373	683	455	460	603	538	679
NM_001178558.1	240	228	146	255	237	150	294	197	149	293	241	346
NM_001178559.3	196	250	131	257	246	120	217	188	161	284	229	317
NM_001178560.3	1083	1321	641	1554	1420	760	1128	945	860	1920	1507	2344
NM_001178561.1	130	163	113	144	144	93	122	100	98	165	129	178
NM_001178562.1	446	476	231	684	521	309	417	331	292	667	543	825
NM_001178563.3	447	641	255	652	504	293	427	377	323	643	574	808
NM_001178564.3	426	480	271	530	439	238	457	340	299	451	414	641
NM_001178565.1	62	60	34	77	40	24	61	56	45	62	65	68
NM_001178566.1	3694	4272	2508	4790	4368	2449	5144	4078	3858	5442	4849	7052
