name	wt_ribo_YPD1_cds_rpkm	wt_ribo_YPD2_cds_rpkm	wt_ribo_YPD3_cds_rpkm	ncs2d_ribo_YPD1_cds_rpkm	ncs2d_ribo_YPD2_cds_rpkm	ncs2d_ribo_YPD3_cds_rpkm	elp6d_ribo_YPD1_cds_rpkm	elp6d_ribo_YPD2_cds_rpkm	elp6d_ribo_YPD3_cds_rpkm	ncs2d_elp6d_ribo_YPD1_cds_rpkm	ncs2d_elp6d_ribo_YPD2_cds_rpkm	ncs2d_elp6d_ribo_YPD3_cds_rpkm
NM_001180279.1	55.27	81.3	51.34	81.19	68.47	22.07	51.68	40.07	70.55	81.33	57.73	142.21
NM_001180280.1	2.58	4.32	2.48	3.81	3.73	1.37	2.72	2.36	3.6	4.33	2.46	8.15
NM_001180282.1	0.63	0.96	0.38	0.55	0.74	0.16	0.44	0.35	0.74	1.68	1.82	3.68
NM_001180283.1	1.0	1.85	0.99	1.65	1.67	0.74	0.87	1.33	1.59	3.83	2.93	7.24
NM_001180284.1	19.7	30.76	15.1	24.72	22.24	8.74	15.82	14.05	23.49	24.41	15.02	44.51
NM_001180285.1	40.55	65.27	32.11	43.48	41.63	12.74	27.46	21.3	38.46	36.21	26.48	69.64
NM_001180286.1	125.43	201.55	108.08	170.75	168.41	59.3	109.41	92.7	162.94	181.41	129.42	357.83
NM_001180287.1	39.57	63.47	36.41	37.32	35.48	13.13	23.19	19.15	33.14	6.35	4.55	12.32
NM_001180289.1	3629.72	5444.69	2700.28	3501.07	3383.35	1334.72	2352.52	2017.92	3818.04	2834.25	2057.63	5874.92
NM_001180290.1	10.96	17.96	9.92	15.66	16.29	6.7	9.77	7.79	16.39	19.91	15.19	39.62
NM_001180291.1	0.51	1.17	0.48	0.7	0.49	0.32	0.6	0.39	0.8	0.75	0.67	1.55
NM_001180292.1	108.56	122.38	68.6	79.94	83.94	25.29	64.39	57.07	93.83	68.28	40.07	127.2
NM_001180293.1	10.34	15.17	8.32	13.26	12.34	4.19	8.61	7.41	14.78	15.1	10.54	29.1
NM_001180294.1	6.99	11.79	5.66	8.94	9.42	2.85	6.35	5.34	9.31	11.24	7.46	19.6
NM_001180295.1	54.56	98.65	52.2	88.46	85.73	26.84	48.88	44.27	68.37	84.52	58.66	163.27
NM_001180296.1	92.52	138.1	74.62	123.64	128.69	48.32	90.55	79.94	144.18	143.85	108.83	285.42
NM_001180297.2	34.04	57.9	32.1	37.66	37.16	15.08	31.65	26.56	44.36	40.1	28.88	77.63
NM_001180298.1	2.65	4.24	1.24	3.42	3.02	0.87	2.62	1.81	3.81	2.73	2.56	8.08
NM_001180299.2	0.18	0.09	0.06	0.12	0.09	0.02	0.02	0.08	0.11	0.04	0.13	0.24
NM_001180300.2	6.34	9.3	5.08	6.12	6.87	2.64	5.09	4.02	7.32	5.61	4.66	12.26
NM_001180301.1	27.09	40.51	19.27	23.53	18.37	6.37	15.6	9.4	18.57	13.14	8.76	28.02
NM_001180303.1	0.32	0.35	0.36	0.99	0.86	0.37	0.88	0.52	1.3	2.55	1.8	2.5
NM_001180304.1	0.36	0.4	0.49	0.5	0.52	0.36	0.65	0.64	0.59	1.29	0.46	2.19
NM_001180305.1	0.0	0.08	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.1
NM_001180306.1	1.14	2.44	1.27	1.52	2.38	0.62	2.72	1.66	3.05	4.01	3.14	7.46
NM_001180307.1	0.3	0.15	0.28	0.18	0.12	0.02	0.16	0.1	0.24	0.17	0.21	0.27
NM_001180308.1	8.45	12.45	7.06	10.79	9.71	3.8	8.32	6.91	9.4	12.42	9.93	25.91
NM_001180309.1	20.6	35.55	20.42	37.71	38.74	14.77	29.04	24.94	38.46	58.67	42.88	118.69
NM_001180310.1	552.25	887.16	457.39	681.15	613.16	250.81	411.71	346.17	656.76	624.48	478.83	1227.33
NM_001180311.3	13.64	22.62	13.0	17.87	20.96	7.09	15.63	14.01	27.89	29.14	21.85	50.93
NM_001180312.1	4.56	5.36	5.77	5.03	4.76	2.15	4.85	3.54	6.19	6.98	4.78	12.55
NM_001180313.1	12.58	17.7	9.76	14.04	13.89	5.07	9.21	7.98	14.17	13.95	9.93	28.01
NM_001180314.3	11.33	20.54	9.69	15.16	14.57	5.73	10.25	8.35	17.6	16.83	12.34	33.9
NM_001180315.3	21.97	37.7	23.48	28.94	30.17	11.23	21.39	20.49	33.98	33.01	22.08	66.9
NM_001180317.1	0.66	0.94	0.56	0.33	0.62	0.15	0.87	0.46	0.9	0.66	0.81	1.72
NM_001180319.1	90.33	162.63	91.73	131.01	120.07	47.66	93.4	74.98	131.79	158.07	109.47	295.93
NM_001180320.3	4091.47	6091.55	2876.78	3674.7	3726.49	1321.45	2257.77	1950.01	3776.98	2941.21	2141.48	5808.94
NM_001180321.3	12.12	23.56	12.78	17.6	16.88	6.12	13.01	12.19	14.46	20.35	13.97	31.29
NM_001180322.1	2.89	5.86	3.17	4.95	3.45	1.41	3.1	2.08	4.87	4.3	3.73	9.92
NM_001180324.3	26.25	42.27	26.98	31.9	36.55	9.46	24.89	16.66	34.09	36.48	22.6	55.44
NM_001180325.3	13.64	21.58	9.99	15.59	13.12	5.26	9.24	7.59	13.31	13.9	9.33	27.53
NM_001180326.1	0.4	0.7	0.0	0.12	0.04	0.19	0.28	0.2	0.36	0.43	0.11	0.61
NM_001180327.1	32.87	48.5	23.13	43.41	52.1	14.91	30.51	28.36	56.66	57.38	44.68	110.7
NM_001180328.3	11.64	17.97	14.26	18.01	16.54	6.99	11.08	10.57	18.14	19.97	15.44	40.37
NM_001180329.3	10.89	19.62	10.15	16.37	15.9	5.9	12.62	10.42	17.08	23.25	16.67	41.44
NM_001180330.1	6.05	9.41	6.05	7.43	6.66	3.26	4.74	4.11	6.16	7.65	5.47	17.16
NM_001180331.1	493.72	819.45	423.22	515.81	487.55	174.78	323.57	265.33	463.93	394.34	290.82	771.59
