name	wt_ribo_YPD1_cds_rpkm	wt_ribo_YPD2_cds_rpkm	wt_ribo_YPD3_cds_rpkm	ncs2d_ribo_YPD1_cds_rpkm	ncs2d_ribo_YPD2_cds_rpkm	ncs2d_ribo_YPD3_cds_rpkm	elp6d_ribo_YPD1_cds_rpkm	elp6d_ribo_YPD2_cds_rpkm	elp6d_ribo_YPD3_cds_rpkm	ncs2d_elp6d_ribo_YPD1_cds_rpkm	ncs2d_elp6d_ribo_YPD2_cds_rpkm	ncs2d_elp6d_ribo_YPD3_cds_rpkm
NM_001178148.1	6.48	10.64	5.98	8.57	7.99	3.23	6.17	4.57	8.05	7.59	5.32	16.79
NM_001178149.1	2.4	4.2	2.53	3.04	2.45	1.14	2.37	1.77	3.07	3.01	1.8	5.99
NM_001178150.1	3128.58	4850.45	2214.12	3234.0	3022.5	1103.71	1894.78	1618.98	3186.71	2468.7	1767.1	5046.03
NM_001178151.1	3798.7	6063.03	3585.29	5164.01	4900.56	1862.47	3129.81	2616.29	4615.7	4916.17	3772.44	10211.5
NM_001178152.1	109.65	185.8	101.66	113.82	121.96	41.2	80.8	75.08	117.82	113.4	74.55	210.99
NM_001178153.1	29.54	45.39	27.42	42.74	41.89	16.34	26.55	23.68	35.94	48.67	37.87	99.71
NM_001178154.1	7.77	11.63	5.41	9.81	9.58	4.17	8.39	6.19	12.05	12.56	8.69	22.77
NM_001178155.2	5.22	8.28	4.02	6.27	6.94	2.32	5.14	4.05	6.21	6.43	4.44	14.0
NM_001178156.1	4.21	6.73	4.33	5.27	4.39	1.89	3.05	2.63	4.94	4.12	2.65	7.56
NM_001178157.1	664.36	996.77	525.34	642.62	683.82	283.94	524.1	489.85	881.83	919.62	639.66	1744.91
NM_001178158.2	14.7	25.33	12.38	21.74	17.62	8.55	12.82	9.5	20.9	23.26	15.41	49.93
NM_001178159.1	14.54	26.16	14.35	21.16	20.6	7.41	11.75	11.37	18.94	19.79	16.71	38.43
NM_001178160.1	5.63	9.26	5.59	7.48	7.55	2.93	5.49	4.91	9.33	10.33	7.73	18.61
NM_001178161.1	92.99	154.25	78.68	124.25	119.75	42.65	76.96	65.22	113.35	116.81	80.94	230.08
NM_001178162.2	8.31	11.93	7.66	9.82	8.82	3.69	6.25	5.62	8.69	9.67	6.26	19.2
NM_001178163.1	0.11	0.07	0.07	0.14	0.0	0.0	0.08	0.05	0.18	0.15	0.17	0.16
NM_001178164.1	19.86	32.7	16.73	24.8	23.86	9.33	16.31	13.89	25.27	25.48	17.59	48.51
NM_001178165.2	8.26	12.7	6.56	8.74	9.91	5.33	7.01	6.62	11.07	12.76	8.7	26.14
NM_001178166.1	36.91	60.82	29.64	38.8	38.57	16.1	26.33	22.94	44.84	40.95	27.69	80.52
NM_001178167.1	25.3	42.74	21.95	30.54	30.59	11.81	22.02	19.61	32.14	39.13	29.46	81.44
NM_001178168.1	123.31	194.32	108.02	121.09	114.69	48.6	81.89	74.43	131.8	111.75	83.18	239.69
NM_001178169.1	2.85	4.86	2.37	3.64	3.53	1.31	2.76	2.37	3.53	4.61	2.18	8.84
NM_001178170.2	70.71	107.33	70.51	81.29	85.44	31.14	51.81	43.07	77.13	78.02	57.85	144.94
NM_001178171.2	14.0	21.6	12.36	16.69	14.58	6.07	11.69	9.79	16.17	15.23	10.73	33.11
NM_001178172.1	5.19	9.48	5.81	7.23	7.58	2.74	5.52	6.27	6.9	7.98	6.71	18.31
NM_001178173.1	1.64	2.08	0.96	1.47	1.3	0.67	0.78	0.87	1.33	1.14	1.26	2.52
NM_001178174.1	10.28	17.11	9.13	11.17	11.73	4.58	9.53	7.3	12.79	12.92	8.46	25.0
NM_001178175.1	43.21	91.23	44.6	80.34	73.55	33.05	44.89	41.64	68.04	94.96	67.94	169.88
NM_001178176.1	4.42	7.53	4.46	6.93	6.75	2.5	4.38	3.57	6.58	5.74	4.54	12.82
NM_001178177.1	9.66	14.89	6.87	10.4	9.85	4.49	6.39	5.78	10.26	9.06	5.48	16.93
NM_001178178.1	31.22	43.73	24.32	31.37	34.82	13.91	32.31	26.47	56.7	43.9	35.55	87.83
NM_001178179.1	6.84	9.96	6.02	6.84	7.02	1.9	4.55	4.21	7.25	5.87	4.46	14.29
NM_001178180.1	248.54	391.74	206.92	316.92	307.94	120.03	197.97	170.95	306.7	340.09	239.68	647.52
NM_001178181.1	106.84	166.84	89.91	173.14	183.25	67.91	119.66	102.63	186.22	215.3	150.21	404.58
NM_001178182.1	0.59	0.76	1.23	0.57	0.65	0.14	0.36	0.4	0.42	0.99	0.42	1.57
NM_001178183.1	8039.42	11678.07	6409.4	7867.04	8052.04	3159.7	5708.1	5119.37	9274.77	6656.41	4817.5	13257.73
NM_001178184.1	18.49	26.82	17.4	23.14	20.57	11.07	18.88	15.89	26.51	34.85	22.43	65.76
NM_001178185.1	8.95	14.48	7.47	7.69	6.96	2.83	7.45	6.18	11.07	8.61	5.75	16.62
NM_001178186.1	14.38	26.53	12.89	17.45	17.5	7.1	15.15	12.38	21.74	21.98	14.56	43.53
NM_001178187.1	84.99	126.38	76.49	103.6	104.01	44.96	76.57	72.26	123.57	121.5	85.32	227.44
NM_001178188.1	18.12	29.34	15.06	20.35	19.07	8.83	12.48	11.08	21.11	21.29	14.6	43.05
NM_001178189.1	222.96	308.59	163.78	290.05	312.87	117.53	203.22	178.87	345.24	343.99	264.55	657.73
NM_001178191.1	42.23	68.2	37.93	45.8	49.0	20.74	32.21	23.88	50.5	51.51	38.48	94.58
NM_001178192.2	5.42	9.9	4.2	6.47	6.13	2.3	4.95	4.08	7.89	8.0	5.02	14.35
NM_001178193.1	5.3	8.08	5.21	7.18	6.9	2.46	5.18	4.01	9.12	8.34	6.07	14.5
NM_001178194.1	47.27	82.38	43.46	63.64	66.76	22.43	39.64	36.37	67.26	60.11	42.49	116.44
NM_001178195.2	7.18	11.93	7.32	10.12	10.31	3.39	6.76	5.94	9.53	10.28	7.81	18.7
NM_001178196.2	27.96	43.84	24.6	31.42	30.99	12.66	26.99	24.28	37.19	42.61	32.14	87.9
NM_001178197.1	0.56	1.56	0.62	0.65	0.72	0.21	0.52	0.38	0.58	1.22	0.86	1.88
NM_001178198.1	7.46	12.33	9.92	7.69	7.37	3.19	4.89	4.27	10.13	7.37	4.86	14.88
NM_001178199.2	3.68	5.77	3.75	4.73	4.64	1.82	3.65	2.62	5.53	6.04	3.42	11.43
NM_001178200.1	9.64	13.52	8.73	10.85	10.73	4.51	7.78	6.5	13.02	12.77	8.13	24.65
NM_001178201.2	54.16	87.42	52.19	56.34	59.75	20.19	35.09	25.58	53.34	50.04	35.01	84.03
NM_001178202.2	46.3	66.22	36.5	57.55	54.98	21.98	43.02	39.13	67.19	48.02	36.57	97.1
NM_001178203.1	4.5	4.22	5.24	6.68	5.05	4.1	5.46	4.26	8.95	16.63	12.07	35.55
NM_001178204.1	2.24	3.61	2.8	3.06	2.59	0.77	2.15	1.83	3.12	2.32	2.48	5.02
NM_001178205.1	0.35	0.29	0.34	0.24	0.21	0.11	0.12	0.23	0.32	0.33	0.18	0.57
NM_001178206.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178208.1	0.09	0.2	0.04	0.13	0.12	0.04	0.22	0.08	0.15	0.29	0.37	0.41
NM_001178209.1	48.92	74.35	39.46	52.75	48.88	18.49	34.47	30.22	49.76	46.36	32.36	88.77
NM_001178210.1	9.82	15.66	8.92	11.55	12.72	3.84	7.52	7.2	14.0	15.14	9.48	21.84
NM_001178211.1	51.73	82.84	46.25	67.28	65.11	23.45	38.78	34.26	55.05	56.68	40.93	107.66
NM_001178212.1	11.53	16.34	11.25	12.78	12.87	4.78	10.32	7.92	15.91	15.2	9.19	25.35
NM_001178213.1	0.2	0.28	0.21	0.14	0.17	0.12	0.19	0.11	0.2	0.16	0.06	0.19
NM_001178214.1	0.04	0.05	0.11	0.11	0.08	0.06	0.1	0.04	0.0	0.04	0.0	0.12
NM_001178215.2	21.22	35.46	16.42	26.86	22.39	8.24	14.46	12.53	26.14	23.63	16.57	50.32
NM_001178216.1	154.2	206.71	87.72	101.66	113.09	32.42	62.85	52.01	96.83	63.28	44.43	113.36
NM_001178217.1	8.1	14.55	6.8	11.87	11.73	4.8	9.37	8.37	13.46	15.94	11.2	30.75
NM_001178218.2	2.75	4.59	2.46	3.92	3.24	1.44	2.48	1.88	3.97	3.91	2.9	8.02
NM_001178219.1	0.0	0.32	0.0	0.43	0.25	0.17	0.39	0.0	0.4	0.23	0.0	0.74
NM_001178220.2	0.28	0.73	0.5	0.25	0.47	0.2	0.51	0.58	0.91	0.18	0.23	0.85
NM_001178221.1	30.11	48.61	25.72	33.48	33.05	11.26	20.93	17.09	26.47	27.2	19.43	57.86
NM_001178222.1	18.16	30.31	16.52	20.96	20.9	7.19	15.95	14.44	24.55	22.68	16.85	45.03
NM_001178223.1	0.2	1.02	0.0	0.35	0.0	0.0	0.46	0.0	0.96	0.94	0.32	0.3
NM_001178224.1	7.52	14.48	8.94	9.44	9.76	3.7	7.13	6.94	9.34	11.14	7.91	25.82
NM_001178225.1	12.35	19.16	9.4	12.26	12.14	5.34	10.82	8.48	14.9	17.01	14.02	32.31
NM_001178226.1	0.82	1.13	0.86	1.23	1.43	0.5	1.35	1.42	2.92	4.84	4.14	8.97
NM_001178227.1	10.42	14.66	10.33	9.12	9.87	4.12	6.47	6.41	12.09	10.35	5.88	19.23
NM_001178230.1	0.17	0.12	0.15	0.18	0.11	0.06	0.06	0.14	0.21	0.21	0.16	0.34
NM_001178235.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47
NM_001178236.1	0.31	1.6	0.0	1.27	1.34	0.5	0.65	1.18	3.17	1.96	2.64	8.68
NM_001178239.1	201.7	310.65	187.76	59.76	52.79	8.38	46.15	44.73	50.0	4.32	2.96	8.21
NM_001178241.1	143.56	228.47	131.18	198.18	193.03	69.4	146.22	115.59	215.39	216.53	172.72	434.68
NM_001178242.1	934.88	1489.05	771.92	983.91	1028.85	331.92	767.14	650.08	1177.53	1065.0	758.26	1937.32
NM_001178243.1	941.88	1418.47	791.61	948.88	1022.99	352.36	757.04	679.94	1251.46	1100.75	798.47	2034.93
NM_001178244.1	24.37	41.28	20.66	28.08	25.58	10.03	21.68	18.1	31.1	27.85	19.26	55.67
NM_001178245.1	3.25	4.85	4.38	3.88	2.97	2.08	3.58	2.83	3.63	4.03	3.38	8.89
NM_001178246.1	37.88	62.64	35.64	38.05	41.17	14.86	25.93	23.99	42.03	39.26	25.42	65.69
NM_001178247.1	83.84	136.48	61.12	91.06	78.61	32.44	54.04	47.79	87.56	80.86	55.53	160.46
NM_001178248.2	6.36	11.46	7.35	8.31	8.48	3.26	6.07	5.47	9.21	8.29	5.62	16.35
NM_001178249.1	17.76	29.01	16.98	17.58	16.26	6.37	12.36	9.9	16.65	17.26	11.32	31.98
NM_001178250.1	10.22	18.41	9.22	11.69	14.03	3.92	9.07	6.8	14.74	13.05	9.48	28.02
NM_001178251.1	17.62	29.26	15.33	15.37	14.22	5.58	9.18	8.87	14.8	12.61	9.48	25.06
NM_001178253.1	4.0	6.85	3.71	4.17	2.89	1.15	2.5	2.66	4.03	5.37	3.67	8.89
NM_001178254.2	1.84	4.6	2.73	3.79	3.77	1.62	2.53	2.53	4.32	4.53	3.32	7.74
NM_001178255.1	15.08	23.73	12.82	15.46	14.06	5.53	11.22	9.78	18.83	13.74	9.01	28.06
NM_001178256.1	23.82	37.69	21.32	25.03	28.55	11.11	15.43	15.1	29.01	19.62	15.59	42.09
NM_001178257.1	39.16	64.0	36.34	44.5	46.0	15.93	30.31	26.49	44.23	37.95	27.7	79.84
NM_001178258.1	28.61	45.61	32.11	36.64	31.68	11.57	29.74	23.27	47.16	31.53	23.81	58.26
NM_001178259.1	2.56	4.09	2.98	3.71	3.5	1.02	2.77	3.11	3.88	4.52	3.28	8.08
NM_001178260.1	14.09	23.2	13.74	13.55	13.91	4.69	10.51	10.96	17.11	12.57	9.6	27.36
NM_001178261.1	13.3	29.17	13.61	26.12	27.52	9.93	14.5	13.31	23.76	29.43	20.76	53.86
NM_001178262.1	43.69	70.28	38.15	75.83	68.3	29.64	54.0	44.9	81.58	96.46	68.76	188.95
NM_001178263.1	16.83	30.98	16.94	19.82	17.79	7.83	12.76	10.85	19.62	19.62	12.71	35.67
NM_001178264.1	107.35	170.9	101.45	112.58	115.32	45.35	78.65	64.83	122.59	95.12	72.2	184.12
NM_001178265.1	12.54	23.87	10.94	17.94	15.48	6.16	9.9	10.54	14.83	15.16	11.49	30.08
NM_001178266.1	89.88	135.99	96.99	76.43	92.2	30.39	66.31	54.09	100.59	84.65	62.69	151.27
NM_001178267.1	3058.42	4649.81	2370.65	3312.83	3368.41	1143.45	2090.05	1802.01	3227.05	2964.15	2189.61	5599.07
NM_001178268.1	134.22	209.37	116.01	154.52	143.45	51.08	76.18	71.9	124.66	121.88	93.11	205.48
NM_001178269.1	2.5	4.04	1.84	2.53	2.46	0.5	1.96	1.79	2.22	2.52	1.78	3.13
NM_001178270.1	305.34	507.48	265.15	422.09	410.62	145.04	282.99	265.96	455.82	510.6	377.57	1033.26
NM_001178271.1	7.26	10.36	6.11	9.35	8.68	2.66	6.99	5.75	10.07	10.99	6.4	19.33
NM_001178272.1	102.95	162.58	84.28	96.85	91.81	34.2	59.85	53.03	94.64	73.9	54.72	153.34
NM_001178273.1	22.75	36.13	22.4	26.92	27.07	11.1	20.01	15.84	29.72	29.71	19.87	49.25
NM_001178274.1	6.89	11.53	6.48	8.43	8.33	3.05	5.75	4.84	8.24	7.59	5.9	15.34
NM_001178275.1	19.4	29.7	15.15	23.38	22.35	7.74	13.02	11.58	20.89	18.74	11.94	35.28
NM_001178276.1	63.14	113.57	59.35	99.05	94.62	34.08	62.47	53.99	86.57	101.79	76.75	184.49
NM_001178277.1	10.02	14.66	9.48	12.78	10.89	5.07	10.16	8.46	14.32	16.83	11.84	36.11
NM_001178278.1	25.64	39.39	25.03	40.11	36.71	12.74	25.12	20.23	34.71	40.58	30.64	81.07
NM_001178279.1	220.05	345.3	182.39	214.49	216.58	77.18	151.92	123.38	234.8	197.79	147.82	385.56
NM_001178280.1	78.99	128.62	66.54	93.55	104.44	35.16	73.16	61.85	99.52	102.96	77.13	212.29
NM_001178281.1	188.59	301.32	164.36	189.48	189.34	70.37	122.37	104.75	188.94	167.29	124.79	320.34
NM_001178282.1	34.21	55.65	27.94	29.56	27.52	11.91	22.51	18.89	33.29	24.59	19.65	45.74
NM_001178283.1	0.2	0.26	0.27	0.18	0.74	0.19	0.16	0.12	0.33	0.39	0.65	1.22
NM_001178284.1	0.0	0.0	0.0	0.23	0.0	0.18	0.0	0.23	0.21	0.0	0.0	0.0
NM_001178285.1	64.06	109.63	53.41	108.78	111.52	37.81	86.64	80.39	142.53	180.93	125.38	360.38
NM_001178286.1	9.5	17.26	9.56	15.45	15.03	5.62	9.41	7.29	12.89	17.12	12.33	34.81
NM_001178287.1	70.29	111.75	53.98	97.98	85.11	34.53	61.28	60.68	95.74	105.15	70.22	203.96
NM_001178289.1	0.59	1.53	0.79	0.83	0.83	0.49	0.65	0.52	1.34	3.03	1.51	3.19
NM_001178290.1	77.88	126.19	60.37	90.65	92.13	31.44	55.48	44.05	80.48	80.66	59.24	156.02
NM_001178291.1	47.46	80.71	38.41	71.72	63.61	27.1	43.72	37.87	64.22	75.56	48.78	146.46
NM_001178292.1	2.73	3.65	2.78	3.19	2.97	1.2	2.46	1.78	3.03	2.68	1.59	6.16
NM_001178294.1	22.84	36.28	21.58	21.3	22.03	9.31	14.79	14.31	27.49	19.42	14.78	32.35
NM_001178295.1	15.89	22.26	13.56	13.83	14.96	6.06	12.54	10.08	18.83	12.77	9.21	24.68
NM_001178296.2	63.46	95.28	58.81	72.96	70.14	27.82	51.67	44.57	77.43	67.69	48.76	133.33
NM_001178297.2	36.77	54.34	33.05	41.01	40.8	15.85	30.39	27.18	41.93	51.85	39.63	94.98
NM_001178298.1	115.59	185.63	86.19	188.42	178.92	67.03	107.39	92.01	169.32	219.51	163.51	424.32
NM_001178299.1	7.71	14.08	7.9	13.3	13.33	4.9	7.96	8.95	14.2	16.69	10.53	31.9
NM_001178300.1	4.32	6.93	4.31	6.13	5.62	2.04	4.4	3.85	5.97	7.39	5.11	12.51
NM_001178301.1	18.1	31.05	14.71	22.51	20.38	7.86	15.6	11.61	23.44	20.67	14.44	40.21
NM_001178303.1	4.57	8.14	4.35	5.78	4.99	2.1	4.19	3.81	5.93	5.99	4.66	11.34
NM_001178304.1	50.27	73.87	41.6	79.8	80.97	29.14	54.04	46.43	78.56	111.81	76.67	194.08
NM_001178306.1	2.69	3.8	2.37	3.18	3.37	1.23	2.66	2.36	3.64	4.64	3.1	9.56
NM_001178307.2	10.16	19.08	10.02	10.97	9.94	4.23	9.27	6.47	12.94	11.0	8.33	23.73
NM_001178308.2	61.66	90.85	51.33	70.39	70.99	26.7	57.71	46.16	83.11	69.05	54.99	135.69
NM_001178309.1	28.88	44.88	22.7	31.18	28.81	11.09	21.34	17.65	29.92	29.72	19.37	53.85
NM_001178312.1	5658.55	8407.72	4247.79	5419.38	5580.88	1960.01	3584.03	3137.8	5659.71	4754.68	3412.12	9045.98
NM_001178314.1	6.43	12.67	7.38	8.44	8.28	3.31	5.31	5.27	10.75	8.21	6.99	17.56
NM_001178315.1	0.59	1.81	0.41	2.95	2.63	0.55	1.21	2.02	1.63	6.29	6.1	11.12
NM_001178316.1	298.52	464.32	264.69	377.71	354.1	138.63	283.25	235.89	428.15	392.75	281.94	799.09
NM_001178318.1	13.72	25.89	12.8	29.92	28.55	9.97	18.3	12.56	20.26	40.49	23.84	64.6
NM_001178319.1	16.46	26.97	15.21	21.2	20.67	8.57	16.69	13.59	24.12	22.48	16.09	49.53
NM_001178320.2	4.1	4.63	2.69	4.04	4.07	1.49	4.13	3.0	3.73	6.1	3.93	10.64
NM_001178321.1	21.89	34.12	18.61	21.86	23.78	9.74	15.55	15.15	25.78	24.05	16.22	41.12
NM_001178322.1	20.08	29.89	16.33	19.95	20.21	8.59	13.94	13.38	22.39	19.05	14.71	37.46
NM_001178324.2	4.69	7.52	4.15	4.75	5.27	2.05	4.79	4.49	6.2	7.84	4.98	12.2
NM_001178325.1	15.7	26.15	13.28	19.01	18.16	6.36	11.54	10.28	18.82	17.62	12.38	34.47
NM_001178326.1	11.2	15.22	8.34	15.54	16.14	5.76	9.25	8.82	13.91	20.75	14.1	40.15
NM_001178327.1	2569.95	4024.15	2214.1	2703.57	2710.83	1063.11	1649.85	1521.47	2670.09	2303.59	1781.48	4504.93
NM_001178328.2	0.89	1.06	0.9	0.98	0.87	0.32	0.79	0.59	1.04	0.86	0.71	2.03
NM_001178329.1	8.63	12.51	8.25	10.08	11.14	4.1	8.07	6.5	12.28	11.57	8.61	21.57
NM_001178330.1	28.41	47.26	24.08	40.71	36.67	12.24	21.35	18.76	28.24	30.84	25.27	63.26
NM_001178331.2	102.84	165.52	90.18	97.58	98.61	38.33	66.16	58.69	99.0	90.48	65.78	171.82
NM_001178332.1	4736.63	7346.47	3399.51	4804.08	5219.84	1512.2	3166.36	2700.66	5064.11	3859.73	2678.39	7168.74
NM_001178333.1	39.22	56.48	36.74	45.73	46.32	20.01	22.54	20.08	37.58	39.04	25.93	68.95
NM_001178335.1	4.83	6.77	4.07	3.56	3.74	1.08	2.62	2.67	5.64	3.74	2.32	7.95
NM_001178337.2	6.53	10.1	5.53	7.24	7.48	2.98	6.02	4.67	7.88	8.25	5.62	16.53
NM_001178338.1	15.2	25.01	13.06	19.25	21.26	7.03	18.4	13.87	26.41	20.9	17.93	45.4
NM_001178339.2	277.83	462.37	218.49	336.71	343.29	121.3	218.73	198.01	360.31	380.04	279.34	750.5
NM_001178341.1	8.49	13.26	6.72	11.01	10.65	4.47	8.66	7.07	14.02	14.4	9.08	27.02
NM_001178342.1	52.36	78.48	50.78	74.02	74.65	29.65	50.57	45.69	76.61	81.1	63.86	175.37
NM_001178343.1	12.5	18.55	9.5	12.04	12.03	4.89	8.4	7.07	13.67	12.18	8.56	25.1
NM_001178344.1	6.29	9.64	4.95	6.93	7.0	3.14	5.48	4.99	7.95	7.69	4.88	16.73
NM_001178345.2	11.07	21.07	11.8	16.0	15.86	5.68	10.63	9.3	16.62	15.92	11.24	29.99
NM_001178346.2	3.82	6.11	4.84	3.1	3.51	1.16	3.37	2.91	5.31	2.27	2.22	5.99
NM_001178347.1	18.23	29.57	18.02	25.17	25.68	9.72	17.93	18.57	27.73	25.92	23.61	54.08
NM_001178349.1	9.88	16.36	8.41	13.76	12.25	4.83	11.31	8.84	12.9	16.87	12.29	32.4
NM_001178350.1	17.1	30.64	14.63	18.97	19.31	7.81	14.2	12.48	20.19	19.89	13.7	39.33
NM_001178351.1	14.2	26.52	13.23	15.85	17.13	6.66	13.34	11.63	21.84	18.94	15.69	40.38
NM_001178352.2	16.19	23.02	12.89	19.06	17.85	5.89	14.13	12.98	17.74	19.78	14.53	41.07
NM_001178353.1	7.29	13.92	7.22	10.4	11.47	4.03	6.65	6.14	13.64	14.5	11.81	26.64
NM_001178354.1	6.44	11.92	7.94	9.3	9.02	3.52	7.2	5.13	9.97	12.58	9.8	24.34
NM_001178355.2	7.41	10.88	6.5	8.74	8.08	2.84	6.17	5.67	9.03	9.55	7.58	19.68
NM_001178356.1	1.68	5.47	4.61	4.11	4.52	1.29	3.28	2.9	4.27	7.12	4.15	5.16
NM_001178357.1	1529.63	2314.15	1280.9	1814.69	1769.43	612.52	1103.5	981.98	1613.74	1660.26	1248.27	3240.47
NM_001178358.1	1621.85	2390.95	1324.68	1634.11	1690.3	587.86	1064.18	989.5	1863.14	1676.21	1178.82	3149.28
NM_001178359.1	1306.17	1932.07	1128.35	1265.82	1394.58	522.09	943.25	829.02	1468.88	1245.36	914.61	2480.79
NM_001178361.1	9.13	15.56	8.07	16.01	14.63	5.33	10.57	7.82	16.21	15.95	11.42	31.22
NM_001178362.1	46.96	79.75	43.47	52.36	50.76	18.43	36.24	29.34	56.03	42.16	39.04	94.58
NM_001178363.1	45.64	74.69	41.11	51.1	51.13	21.52	39.15	33.93	57.68	53.5	40.43	102.12
NM_001178364.1	116.03	173.57	89.9	150.58	146.2	47.76	71.23	69.15	122.37	155.89	101.34	265.45
NM_001178365.1	40.12	64.17	36.86	50.59	49.57	19.55	42.2	33.5	59.35	57.15	42.08	116.66
NM_001178366.1	0.1	0.13	0.2	0.38	0.29	0.14	0.3	0.26	0.47	0.51	0.47	1.09
NM_001178367.1	0.13	0.3	0.25	0.16	0.26	0.07	0.27	0.23	0.17	0.45	0.19	0.51
NM_001178368.1	0.03	0.0	0.0	0.06	0.03	0.02	0.0	0.06	0.0	0.1	0.05	0.05
NM_001178369.1	6.8	11.74	5.9	5.33	5.88	2.46	5.14	4.44	6.32	5.6	4.96	10.91
NM_001178370.1	16.1	25.17	15.54	24.42	23.88	9.66	20.91	15.85	27.63	33.81	25.57	63.4
NM_001178371.1	20.71	34.76	18.85	26.67	26.34	10.29	17.63	15.71	28.16	27.01	20.21	53.9
NM_001178372.1	10.72	15.55	9.71	10.32	10.02	4.19	6.57	6.62	9.15	10.87	7.28	21.64
NM_001178373.1	595.9	935.86	526.92	679.13	663.56	239.41	467.26	381.66	686.99	609.44	441.22	1201.61
NM_001178374.1	46.39	82.8	38.56	74.0	73.69	27.39	50.19	43.98	77.07	93.45	68.83	176.45
NM_001178376.1	13.43	20.17	11.27	12.98	14.74	6.36	10.59	9.83	17.53	13.7	8.75	23.3
NM_001178377.1	40.29	70.27	36.63	50.07	44.9	19.14	34.21	30.02	47.93	44.04	35.71	89.24
NM_001178378.1	7.4	11.5	6.34	9.99	10.9	4.35	6.66	5.94	11.08	11.15	8.65	21.27
NM_001178379.1	4402.86	6528.61	3117.33	3929.59	4001.17	1438.87	2439.6	2117.47	4080.78	3170.98	2302.55	6288.98
NM_001178381.1	0.14	0.26	0.16	0.12	0.04	0.01	0.17	0.02	0.23	0.17	0.22	0.42
NM_001178382.1	83.29	131.8	72.67	82.16	82.83	32.99	60.83	53.79	95.61	71.85	54.48	133.95
NM_001178383.1	107.16	169.26	88.65	113.29	114.08	41.94	84.31	72.82	119.72	122.25	90.45	240.65
NM_001178384.1	61.17	89.89	54.43	75.8	71.7	31.13	58.55	49.08	81.36	86.49	64.81	187.6
NM_001178385.1	20.53	30.38	14.13	25.77	24.76	9.37	21.51	22.26	33.37	40.85	33.14	81.69
NM_001178386.1	36.34	58.47	31.43	43.98	43.28	16.97	35.64	28.54	48.36	51.78	38.95	108.49
NM_001178387.1	128.21	222.63	112.92	195.51	202.49	61.73	134.73	117.78	216.28	244.63	183.65	453.68
NM_001178388.1	0.18	0.84	0.32	0.52	0.24	0.29	0.09	0.16	0.29	0.45	0.14	0.8
NM_001178389.1	21.47	36.49	19.93	25.48	26.08	10.83	18.36	17.23	26.34	27.14	20.82	57.0
NM_001178390.1	20.77	37.68	20.76	23.37	22.26	9.41	20.09	15.45	24.86	21.19	17.25	45.15
NM_001178391.2	2.59	4.42	2.77	3.06	3.22	1.59	3.23	2.49	4.11	3.5	3.0	7.43
NM_001178392.2	3.89	4.96	2.77	3.33	3.99	1.22	3.29	2.84	5.07	4.55	2.94	8.94
NM_001178393.2	0.6	1.22	0.65	0.65	0.6	0.2	0.33	0.3	0.51	0.46	0.23	0.85
NM_001178394.1	29.74	47.04	26.44	35.12	33.83	12.26	20.64	18.56	24.48	24.59	16.8	52.29
NM_001178395.1	10.52	16.62	10.3	12.42	12.92	4.68	11.38	9.6	13.64	16.03	10.89	31.38
NM_001178396.1	2943.51	4402.78	2189.22	2667.71	2818.3	996.74	1685.57	1556.21	2876.38	2425.9	1640.16	4593.87
NM_001178397.1	41.72	70.61	28.99	50.02	41.5	17.05	27.56	24.4	42.86	39.94	29.56	86.06
NM_001178398.1	0.68	1.35	0.21	0.5	0.52	0.18	0.65	0.46	0.59	0.2	0.29	0.79
NM_001178400.1	68.68	107.43	67.6	95.49	101.93	37.78	62.66	52.68	97.08	114.08	79.22	212.5
NM_001178401.1	32.75	55.28	31.28	21.09	22.08	8.3	18.51	15.51	25.34	19.5	15.86	45.26
NM_001178402.1	40.38	73.78	34.7	26.45	22.1	6.0	17.33	12.17	21.06	5.48	4.36	11.59
NM_001178403.1	7.26	15.93	7.1	10.1	8.97	3.73	6.19	5.31	9.88	10.01	7.72	20.21
NM_001178404.1	22.42	38.55	21.07	30.38	29.8	12.1	18.59	16.51	26.66	30.06	20.03	55.02
NM_001178405.1	17.44	29.08	14.08	21.17	21.57	7.18	11.15	12.59	18.85	22.1	17.35	44.83
NM_001178406.1	27.36	45.04	23.18	32.45	34.37	12.97	23.74	20.2	37.06	33.57	25.37	61.52
NM_001178407.1	17.76	29.3	15.95	26.23	21.9	9.9	16.67	15.04	23.77	30.41	20.37	55.25
NM_001178408.1	12.43	20.44	9.84	13.5	11.74	4.91	7.53	6.72	9.2	10.19	7.71	19.89
NM_001178409.3	36.43	56.91	31.32	36.33	38.38	13.98	23.68	21.4	35.25	33.77	22.56	64.86
NM_001178410.1	27.24	41.84	26.23	34.21	37.15	13.37	16.51	15.2	24.49	30.91	21.98	64.14
NM_001178411.1	0.0	0.06	0.06	0.39	0.18	0.06	0.21	0.08	0.36	0.21	0.21	0.13
NM_001178413.3	10.81	17.42	10.94	13.63	13.69	4.8	8.77	7.89	12.47	12.71	9.6	27.85
NM_001178414.1	18.52	35.4	18.21	18.63	18.37	6.74	10.66	8.98	15.64	10.59	7.54	23.53
NM_001178415.1	348.57	489.9	328.61	266.89	295.9	148.57	251.66	208.88	385.44	252.12	185.44	484.36
