Codon	Nucleotide	Frame	SRR1944912	SRR1944913	SRR1944914	SRR1944915	SRR1944916	SRR1944917
-15	-45	0	0.11612465158462834	0.11909058104933075	0.11902998133830216	0.11483261743840735	0.1226333653808432	0.12542194947876256
-14	-42	0	0.09628002650330118	0.10031575721942224	0.10014187901015467	0.0973161074412759	0.09922257459966104	0.10219834300991175
-13	-39	0	0.10215202929918268	0.10189826360168838	0.10084804576386344	0.09768987604757164	0.10004899213003898	0.10340455525725513
-12	-36	0	0.08791443347903165	0.09195278898266039	0.09308021147306687	0.08960712993642589	0.09121638148790451	0.09742174251043204
-11	-33	0	0.088671500721047	0.09284568930917834	0.09144487793816232	0.09107884382371542	0.09234450700556328	0.09504148367567447
-10	-30	0	0.0878481900953553	0.09058952151985177	0.092307144711112	0.08994196431289916	0.0917454636105274	0.09544355442478894
-9	-27	0	0.08831189378108971	0.09190495503659693	0.0933552448403008	0.09091921348144327	0.09271180368573123	0.09690709195156555
-8	-24	0	0.09282117554134359	0.09385817450085494	0.09359311153628692	0.0901833565377985	0.0954140578326813	0.09940797201105746
-7	-21	0	0.09221079007746871	0.09550445947787241	0.09397964491726438	0.08911655864066269	0.09567204002470402	0.09663368384216772
-6	-18	0	0.08398241549081446	0.0859416564273521	0.08481434378754933	0.08441719710108998	0.08699246966597288	0.09198574598240464
-5	-15	0	0.09665382845404627	0.09652093083172095	0.10304831270173502	0.09592226201363128	0.09495493698247133	0.1010484206674444
-4	-12	0	0.06098176634433583	0.06627393227092561	0.06870630846873957	0.07401397089252468	0.06942781771079755	0.07850029305710587
-3	-9	0	0.09270288378477869	0.09833463461996052	0.09431414495849484	0.09814929995947685	0.0995767535412516	0.10741722133341736
-2	-6	0	0.07895265000167503	0.08408809101739298	0.07762630956821892	0.08419916541408412	0.08338946413670614	0.08342968044124907
-1	-3	0	0.07798265759784287	0.08461825058626302	0.07688297614326231	0.08496227631860462	0.0841328026560937	0.08326081072662099
0	0	0	0.09682416858349971	0.10409065279626371	0.09764427870230047	0.10432816223230362	0.09697944130292097	0.10078305397302886
1	3	0	0.08505177297016113	0.09359110163533396	0.08308981024165	0.09210670749102877	0.08836983221660275	0.08629242417494398
2	6	0	0.08388305041529995	0.09042608887080159	0.080503009922801	0.09623762927519335	0.09405855817968044	0.08687944746865109
3	9	0	0.06755405633908153	0.07073444774134337	0.07161274216031993	0.07279922292206349	0.0746136970284072	0.07800172532820396
4	12	0	0.0703410101237505	0.07750693727149509	0.06587420811965489	0.09396776367654307	0.0804029923205785	0.07555713517358807
5	15	0	0.09534315579130721	0.10021610316512335	0.09986684564292073	0.07700411974289076	0.08658581977007263	0.10460272608961615
6	18	0	0.0462899301789756	0.05138561655867328	0.046978672457257835	0.05051716319466112	0.050748157976540906	0.051135357872376185
7	21	0	0.08320168989748614	0.08551115091278096	0.08520831050277636	0.08440941025512548	0.08493298470931678	0.09522643622026714
8	24	0	0.08264335280649983	0.08769556778301235	0.08637534397995823	0.0871659537265567	0.08950670289331314	0.09293463295031475
9	27	0	0.08471582438151683	0.08817789340581891	0.08307494357315089	0.08591227152627301	0.08887267886207081	0.09066695392530923
10	30	0	0.08812262697058587	0.09126318292691216	0.08981697773750733	0.08623931905678181	0.09062608325192029	0.09585366658888567
11	33	0	0.08076961138251185	0.08487336496526814	0.08053274325979927	0.08259507514539816	0.08606548280650134	0.08654170803939494
12	36	0	0.09297732066000924	0.09351935071623876	0.09178681131364236	0.08762927106144415	0.08884644338491596	0.09408455529278208
13	39	0	0.08443665583602367	0.0880901978380359	0.07799054294644767	0.0869284549246396	0.09024129625364907	0.08280245007263051
14	42	0	0.08534040485617947	0.09131500303514758	0.08386287700360488	0.09139031766229522	0.08950233031378732	0.0914148055186621
15	45	0	0.09447252846298955	0.09429665233977001	0.09279774477158335	0.09612472000870817	0.09688324455335316	0.09938384776611056
