Codon	Nucleotide	Frame	SRR1944912	SRR1944913	SRR1944914	SRR1944915	SRR1944916	SRR1944917
-15	-45	0	0.28942844580408605	0.3022871168706014	0.29122849557028374	0.26555405466979165	0.29203474205193236	0.2889926697561812
-14	-42	0	0.266042879986696	0.27529313835158664	0.2557614718025958	0.2539651588066032	0.2539012296270412	0.26165854683340123
-13	-39	0	0.32891748985522307	0.33483949416903963	0.3483250300447813	0.2955899178855005	0.3113659343859279	0.32387302293371645
-12	-36	0	0.2834883147399219	0.2866925663568449	0.3123516297722518	0.2402165387727412	0.2603814343528397	0.3005859153475607
-11	-33	0	0.2885009170332697	0.28136138028924235	0.29285096722865406	0.2570396533653566	0.26839962387753785	0.28445375200295064
-10	-30	0	0.2458214371392538	0.24368840431464525	0.24099387944711034	0.22157470908903223	0.23225394160774623	0.24434134584878514
-9	-27	0	0.24124957546749967	0.24581090354945997	0.2377282677016006	0.2179805816471093	0.2276764611588473	0.24572761629558462
-8	-24	0	0.266167866133118	0.26284631516256846	0.23792461777490656	0.2379269063812752	0.25294682799294144	0.23701870760157825
-7	-21	0	0.22016638603156857	0.22188152575329786	0.21183072645398232	0.20332801691023344	0.21622972054094994	0.21578864648486693
-6	-18	0	0.2459990490315378	0.24486880206142214	0.23254049208056932	0.22530415759428066	0.2345700372930457	0.24321220621066625
-5	-15	0	0.2586423844748637	0.25924416241418835	0.2669120891234977	0.23351002687433373	0.2410624000014442	0.2652024801530418
-4	-12	0	0.19838590546296705	0.20197547548840336	0.17693208447744324	0.195977376750397	0.1848985993807572	0.1641165335404542
-3	-9	0	0.22269242183294066	0.237204529367561	0.19612272058950514	0.20190985216658314	0.21877073890434934	0.19652619503458066
-2	-6	0	0.19563621024168185	0.2046244432018275	0.2306596650625859	0.18845352562950402	0.19638789293775455	0.23721994040837174
-1	-3	0	0.22751425579753892	0.23831842583282936	0.26101125270993425	0.2075662726135854	0.21776162634854956	0.26012694158169536
0	0	0	0.31611627717431134	0.3268925910287672	0.3011183387362737	0.36503127474156977	0.37405249267151336	0.37822823996870886
1	3	0	0.21603526498140796	0.238041337159877	0.20584721632534267	0.22803223023092098	0.23543325405764548	0.20844364903690518
2	6	0	0.1959124954074569	0.2123275083099019	0.1942832304290598	0.24000002507142057	0.23078890470444657	0.21265835837919067
3	9	0	0.18230874010215098	0.1917231945891676	0.18808270179834513	0.19752003687230674	0.20751852600805196	0.20980756028294983
4	12	0	0.17536214164837774	0.1968050008511131	0.17952597228795888	0.2515726824070099	0.22638163601194758	0.2158333648863766
5	15	0	0.24295333398977925	0.26102861346800127	0.21546836991733492	0.32571238658173757	0.30753009087562877	0.2534191813552462
6	18	0	0.2683978821140169	0.27630728289459205	0.2793544832424651	0.3045048695373787	0.3151045140354271	0.3079532719962773
7	21	0	0.2256394636012081	0.23405126026936363	0.22409743892841288	0.22114709452892392	0.23980404880234446	0.23792425523214888
8	24	0	0.24473603113085174	0.24343902450898816	0.23599211968500053	0.24790277516962472	0.254746209417741	0.26160264883151413
9	27	0	0.23180983230351804	0.23908319057017774	0.23736657019814222	0.2461923169291915	0.2543146010354411	0.2713177215594879
10	30	0	0.267128285995098	0.26184879593994015	0.22988459898374652	0.2533372690727733	0.25906837223204005	0.23887452126422917
11	33	0	0.24709761147640533	0.24660337715410363	0.2480728163005096	0.22613773534436518	0.24379186709514356	0.2598698107730148
12	36	0	0.222606904995915	0.23442255909111975	0.25150377547617175	0.20322517290210615	0.2219500513542486	0.2462642371137006
13	39	0	0.22033084148738707	0.22540609367325132	0.2078520539159404	0.2109114092989897	0.2162540365061499	0.21413406562900947
14	42	0	0.2532021979963878	0.25159651504070435	0.25064603568225624	0.2360865399200496	0.24421131749484343	0.25030007284994743
15	45	0	0.2291324974827929	0.23822421568402555	0.2326955052963372	0.2221159933423339	0.22356098404874825	0.24490032586765595
