transcript_id	SRR1944912.isoforms.results	SRR1944913.isoforms.results	SRR1944914.isoforms.results	SRR1944915.isoforms.results	SRR1944916.isoforms.results	SRR1944917.isoforms.results
NM_001178415.1	4995.0	5743.0	3726.0	4596.0	4414.0	3335.0
NM_001178416.4	3364.0	4466.0	2204.0	6190.0	5291.0	2713.0
NM_001178417.1	44.0	55.0	35.0	68.0	50.0	43.0
NM_001178418.1	276.0	324.0	195.0	295.0	273.0	136.0
NM_001178419.3	472.0	688.0	357.0	816.0	760.0	410.0
NM_001184540.1	3.0	3.0	0.0	3.0	2.0	2.0
NM_001178420.1	274.0	308.0	230.0	515.0	415.0	160.0
NM_001178421.4	966.0	1243.0	725.0	1595.0	1385.0	799.0
NM_001178422.2	1336.0	1774.0	915.0	1638.0	1412.0	770.0
NM_001178424.2	4.0	3.0	3.0	10.0	0.0	2.0
NM_001178425.3	466.0	601.0	283.0	737.0	751.0	275.0
NM_001178426.2	37681.0	46094.0	23004.0	40560.0	36271.0	20193.0
NM_001178427.1	8925.0	10281.0	5517.0	10207.0	8031.0	5141.0
NM_001178428.3	2952.0	3712.0	1909.0	4046.0	3603.0	1784.0
NM_001178429.1	581.0	745.0	370.0	800.0	705.0	370.0
NM_001178430.1	6435.0	7604.0	4483.0	7852.0	7788.0	4339.0
NM_001178431.3	722.0	1120.0	477.0	874.0	802.0	500.0
NM_001180057.1	27946.16	33937.4	16744.91	35674.93	32663.77	16487.61
NM_001178432.1	5535.0	6790.0	3528.0	6630.0	6196.0	3153.0
NM_001184443.1	535.0	716.0	472.0	1220.0	1037.0	566.0
NM_001178433.3	198.0	239.07	164.0	253.03	164.0	98.0
NM_001178434.1	2892.0	3946.0	1973.0	3401.0	2926.0	1626.0
NM_001178435.3	648.0	834.0	499.0	798.0	736.0	389.0
NM_001178436.1	1983.0	2380.0	1412.0	2472.0	2277.0	1343.0
NM_001180058.2	1016.02	1215.44	556.0	1163.0	1024.0	464.46
NM_001178438.4	8.98	8.56	0.0	0.0	0.0	8.54
NM_001178439.1	302.0	326.0	153.0	370.0	367.0	158.0
NM_001178440.1	3971.89	4990.88	3023.55	5629.44	5370.77	3174.17
NM_001178441.3	1166.06	1259.65	688.89	160.96	175.98	30.96
NM_001178442.2	727.0	975.0	527.0	1039.0	819.0	461.0
NM_001178443.1	314.0	447.0	233.0	551.0	433.0	243.0
NM_001178444.3	1052.0	1444.0	762.0	1645.0	1397.0	753.0
NM_001178445.2	305.0	365.0	222.0	353.0	322.0	201.0
NM_001178446.1	96.0	141.0	81.0	170.0	131.0	92.0
NM_001178449.3	1593.0	1949.0	1028.0	2771.0	2382.0	1113.0
NM_001178450.1	575.0	875.0	429.0	1067.0	881.0	437.0
NM_001178451.1	287.0	374.0	214.0	494.0	413.0	210.0
NM_001178452.3	487.0	651.0	438.0	534.0	508.0	261.0
NM_001178453.1	189.0	248.0	135.0	296.0	252.0	171.0
NM_001178454.1	7677.0	8845.0	4992.0	7916.0	7591.0	4542.0
NM_001178455.3	71.0	57.0	38.0	85.0	70.0	38.0
NM_001178456.2	549.0	795.95	311.56	769.56	603.9	360.51
NM_001178457.1	4641.0	5342.0	2982.0	5410.0	5035.0	2624.0
NM_001178458.3	563.0	751.0	409.0	878.0	812.0	430.0
NM_001178459.1	1609.0	2026.0	1032.0	2264.0	1874.0	1057.0
NM_001184520.1	307.0	351.0	199.0	356.0	272.0	154.0
NM_001178460.3	1900.32	2151.62	1124.7	2198.39	1614.87	1115.7
NM_001178462.1	137.0	192.0	119.0	242.0	214.0	120.0
NM_001178463.1	5639.0	6562.0	3290.0	12459.0	9819.0	5549.0
NM_001178465.3	14.0	13.0	10.0	18.0	22.0	15.0
NM_001178466.1	287093.46	338287.26	196546.26	330388.24	296134.26	177933.75
NM_001178467.1	228.0	255.0	161.0	235.0	202.0	112.0
NM_001178468.3	157.0	238.0	144.0	296.0	216.0	163.0
NM_001178469.2	11319.0	13619.0	8204.0	13863.0	11797.0	7129.0
NM_001178470.1	525.0	633.0	363.0	950.0	822.0	461.0
NM_001178471.3	450.0	627.0	369.0	772.0	596.0	329.0
NM_001178473.1	341.0	395.0	268.0	536.0	522.0	316.0
NM_001178474.1	3132.0	3761.0	2022.0	5377.0	4885.0	2574.0
NM_001270740.1	1549.0	1763.0	1037.0	1879.0	1801.0	1054.0
NM_001178475.3	16882.0	20008.0	10891.0	22212.0	19400.0	10268.0
NM_001178476.1	22.0	43.0	28.0	36.0	37.0	15.0
NM_001178477.1	321.0	383.0	208.0	426.0	406.0	185.0
NM_001178478.3	835.0	1045.0	497.0	1180.0	940.0	494.0
NM_001178479.3	179.0	206.0	118.0	277.0	204.0	116.0
NM_001178480.1	330.0	397.0	229.0	500.0	425.0	263.0
NM_001178481.1	499.0	603.0	339.0	537.0	525.0	245.0
NM_001178483.3	623.62	703.67	406.55	610.06	597.49	335.28
NM_001178484.3	290.0	302.0	203.0	329.0	267.0	149.0
NM_001178485.2	481.0	690.0	371.0	792.0	673.0	361.0
