gene_id	SRR1944912.genes.results	SRR1944913.genes.results	SRR1944914.genes.results	SRR1944915.genes.results	SRR1944916.genes.results	SRR1944917.genes.results
YNL156C	28.3	30.09	30.1	34.45	34.18	29.13
YNL157W	59.71	60.15	54.55	54.69	60.47	53.96
YNL158W	33.19	30.98	33.74	31.58	31.6	31.08
YNL159C	17.79	17.93	22.34	21.68	21.95	18.59
YNL160W	60.81	65.12	95.41	30.28	23.45	54.5
YNL161W	24.02	25.8	23.35	23.16	21.46	21.9
YNL162W	3202.43	3346.56	3034.43	3245.01	3120.17	2689.13
YNL162W-A	31.83	35.72	33.42	35.96	42.9	40.99
YNL163C	24.15	23.53	28.0	27.8	26.24	30.0
YNL164C	13.33	17.0	17.63	18.06	17.0	20.1
YNL165W	10.0	8.66	9.87	8.34	9.41	10.6
YNL166C	50.38	52.69	40.61	63.21	55.81	56.08
YNL167C	14.48	15.7	10.87	14.64	12.72	13.8
YNL168C	56.11	63.31	69.98	47.61	50.38	47.86
YNL169C	20.54	23.28	23.61	25.63	23.87	24.69
YNL172W	3.24	3.18	3.63	3.25	3.64	3.31
YNL173C	31.43	33.23	28.45	50.47	47.69	44.11
YNL175C	148.26	148.71	133.85	115.92	113.65	107.19
YNL176C	13.9	13.84	13.42	13.21	15.64	13.4
YNL177C	44.01	48.22	48.08	47.65	41.99	49.31
YNL178W	5432.61	5293.7	5352.42	4891.36	5170.81	5137.1
YNL180C	30.62	30.9	34.81	37.3	36.6	35.8
YNL181W	30.26	33.22	31.84	36.0	31.11	35.55
YNL182C	39.37	39.18	44.22	39.54	41.32	42.96
YNL183C	14.21	16.38	14.67	15.06	14.58	16.05
YNL184C	0.94	2.81	3.11	0.5	0.31	0.0
YNL185C	51.05	50.74	44.44	43.34	41.62	49.1
YNL186W	26.37	30.68	24.53	27.04	24.57	27.65
YNL187W	0.84	0.84	1.21	0.95	0.76	1.02
YNL188W	6.52	8.52	7.91	8.32	8.24	8.73
