Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
ncs2d_elp6d_ribo_YPD2	25	58220	59	0.3209	0.3788
ncs2d_elp6d_ribo_YPD2	26	108990	101	0.6007	0.6485
ncs2d_elp6d_ribo_YPD2	27	230042	247	1.2679	1.5859
ncs2d_elp6d_ribo_YPD2	28	380458	528	2.0969	3.39
ncs2d_elp6d_ribo_YPD2	29	979929	1101	5.4009	7.069
ncs2d_elp6d_ribo_YPD2	30	2697024	2863	14.8646	18.382
ncs2d_elp6d_ribo_YPD2	31	5642091	4617	31.0963	29.6437
ncs2d_elp6d_ribo_YPD2	32	5789534	4368	31.9089	28.0449
ncs2d_elp6d_ribo_YPD2	33	2030463	1497	11.1909	9.6116
ncs2d_elp6d_ribo_YPD2	34	209846	178	1.1566	1.1429
ncs2d_elp6d_ribo_YPD2	35	14976	16	0.0825	0.1027
ncs2d_elp6d_ribo_YPD2	36	2144	0	0.0118	0.0
ncs2d_elp6d_ribo_YPD2	37	209	0	0.0012	0.0
ncs2d_elp6d_ribo_YPD2	38	21	0	0.0001	0.0
ncs2d_elp6d_ribo_YPD2	39	3	0	0.0	0.0
ncs2d_elp6d_ribo_YPD3	25	39601	30	0.1544	0.1479
ncs2d_elp6d_ribo_YPD3	26	76713	76	0.299	0.3747
ncs2d_elp6d_ribo_YPD3	27	225335	187	0.8783	0.922
ncs2d_elp6d_ribo_YPD3	28	520860	710	2.0302	3.5005
ncs2d_elp6d_ribo_YPD3	29	1701428	1705	6.6317	8.4061
ncs2d_elp6d_ribo_YPD3	30	4658237	4428	18.1565	21.8311
ncs2d_elp6d_ribo_YPD3	31	8858132	6598	34.5265	32.5297
ncs2d_elp6d_ribo_YPD3	32	7408486	5187	28.8762	25.5731
ncs2d_elp6d_ribo_YPD3	33	2042280	1266	7.9602	6.2417
ncs2d_elp6d_ribo_YPD3	34	114218	84	0.4452	0.4141
ncs2d_elp6d_ribo_YPD3	35	9642	10	0.0376	0.0493
ncs2d_elp6d_ribo_YPD3	36	1042	2	0.0041	0.0099
