Sample	Length	Site	End	Offset	Count
elp6d_ribo_YPD1	28	TIS	5p-end	-21	14
elp6d_ribo_YPD1	29	TIS	5p-end	-21	39
elp6d_ribo_YPD1	30	TIS	5p-end	-21	180
elp6d_ribo_YPD1	31	TIS	5p-end	-21	396
elp6d_ribo_YPD1	32	TIS	5p-end	-21	342
elp6d_ribo_YPD1	33	TIS	5p-end	-21	160
elp6d_ribo_YPD1	27	TIS	5p-end	-20	12
elp6d_ribo_YPD1	28	TIS	5p-end	-20	15
elp6d_ribo_YPD1	29	TIS	5p-end	-20	82
elp6d_ribo_YPD1	30	TIS	5p-end	-20	255
elp6d_ribo_YPD1	31	TIS	5p-end	-20	349
elp6d_ribo_YPD1	32	TIS	5p-end	-20	424
elp6d_ribo_YPD1	33	TIS	5p-end	-20	163
elp6d_ribo_YPD1	27	TIS	5p-end	-19	4
elp6d_ribo_YPD1	28	TIS	5p-end	-19	12
elp6d_ribo_YPD1	29	TIS	5p-end	-19	58
elp6d_ribo_YPD1	30	TIS	5p-end	-19	147
elp6d_ribo_YPD1	31	TIS	5p-end	-19	327
elp6d_ribo_YPD1	32	TIS	5p-end	-19	383
elp6d_ribo_YPD1	33	TIS	5p-end	-19	149
elp6d_ribo_YPD1	27	TIS	5p-end	-18	6
elp6d_ribo_YPD1	28	TIS	5p-end	-18	14
elp6d_ribo_YPD1	29	TIS	5p-end	-18	36
elp6d_ribo_YPD1	30	TIS	5p-end	-18	174
elp6d_ribo_YPD1	31	TIS	5p-end	-18	403
elp6d_ribo_YPD1	32	TIS	5p-end	-18	386
elp6d_ribo_YPD1	33	TIS	5p-end	-18	142
elp6d_ribo_YPD1	27	TIS	5p-end	-17	13
elp6d_ribo_YPD1	28	TIS	5p-end	-17	8
elp6d_ribo_YPD1	29	TIS	5p-end	-17	51
elp6d_ribo_YPD1	30	TIS	5p-end	-17	196
elp6d_ribo_YPD1	31	TIS	5p-end	-17	301
elp6d_ribo_YPD1	32	TIS	5p-end	-17	357
elp6d_ribo_YPD1	33	TIS	5p-end	-17	208
elp6d_ribo_YPD1	27	TIS	5p-end	-16	12
elp6d_ribo_YPD1	28	TIS	5p-end	-16	16
elp6d_ribo_YPD1	29	TIS	5p-end	-16	69
elp6d_ribo_YPD1	30	TIS	5p-end	-16	309
elp6d_ribo_YPD1	31	TIS	5p-end	-16	662
elp6d_ribo_YPD1	32	TIS	5p-end	-16	1193
elp6d_ribo_YPD1	33	TIS	5p-end	-16	1448
elp6d_ribo_YPD1	27	TIS	5p-end	-15	8
elp6d_ribo_YPD1	28	TIS	5p-end	-15	69
elp6d_ribo_YPD1	29	TIS	5p-end	-15	323
elp6d_ribo_YPD1	30	TIS	5p-end	-15	2061
elp6d_ribo_YPD1	31	TIS	5p-end	-15	7288
elp6d_ribo_YPD1	32	TIS	5p-end	-15	17519
elp6d_ribo_YPD1	33	TIS	5p-end	-15	32488
elp6d_ribo_YPD1	27	TIS	5p-end	-14	72
elp6d_ribo_YPD1	28	TIS	5p-end	-14	169
elp6d_ribo_YPD1	29	TIS	5p-end	-14	2207
elp6d_ribo_YPD1	30	TIS	5p-end	-14	14059
elp6d_ribo_YPD1	31	TIS	5p-end	-14	46772
elp6d_ribo_YPD1	32	TIS	5p-end	-14	122675
elp6d_ribo_YPD1	33	TIS	5p-end	-14	89674
elp6d_ribo_YPD1	27	TIS	5p-end	-13	67
elp6d_ribo_YPD1	28	TIS	5p-end	-13	489
elp6d_ribo_YPD1	29	TIS	5p-end	-13	11438
elp6d_ribo_YPD1	30	TIS	5p-end	-13	53994
elp6d_ribo_YPD1	31	TIS	5p-end	-13	174746
elp6d_ribo_YPD1	32	TIS	5p-end	-13	223838
elp6d_ribo_YPD1	33	TIS	5p-end	-13	22398
elp6d_ribo_YPD1	27	TIS	5p-end	-12	94
elp6d_ribo_YPD1	28	TIS	5p-end	-12	1109
elp6d_ribo_YPD1	29	TIS	5p-end	-12	14064
elp6d_ribo_YPD1	30	TIS	5p-end	-12	68558
elp6d_ribo_YPD1	31	TIS	5p-end	-12	114315
elp6d_ribo_YPD1	32	TIS	5p-end	-12	35819
elp6d_ribo_YPD1	33	TIS	5p-end	-12	4312
elp6d_ribo_YPD1	27	TIS	5p-end	-11	258
elp6d_ribo_YPD1	28	TIS	5p-end	-11	1454
elp6d_ribo_YPD1	29	TIS	5p-end	-11	7122
elp6d_ribo_YPD1	30	TIS	5p-end	-11	14863
elp6d_ribo_YPD1	31	TIS	5p-end	-11	10268
elp6d_ribo_YPD1	32	TIS	5p-end	-11	15330
elp6d_ribo_YPD1	33	TIS	5p-end	-11	10948
elp6d_ribo_YPD1	27	TIS	5p-end	-10	1002
elp6d_ribo_YPD1	28	TIS	5p-end	-10	3856
elp6d_ribo_YPD1	29	TIS	5p-end	-10	7513
elp6d_ribo_YPD1	30	TIS	5p-end	-10	8889
elp6d_ribo_YPD1	31	TIS	5p-end	-10	22193
elp6d_ribo_YPD1	32	TIS	5p-end	-10	29895
elp6d_ribo_YPD1	33	TIS	5p-end	-10	3413
elp6d_ribo_YPD1	27	TIS	5p-end	-9	4091
elp6d_ribo_YPD1	28	TIS	5p-end	-9	5948
elp6d_ribo_YPD1	29	TIS	5p-end	-9	3831
elp6d_ribo_YPD1	30	TIS	5p-end	-9	8496
elp6d_ribo_YPD1	31	TIS	5p-end	-9	13879
elp6d_ribo_YPD1	32	TIS	5p-end	-9	5999
elp6d_ribo_YPD1	33	TIS	5p-end	-9	3761
elp6d_ribo_YPD1	27	TIS	5p-end	-8	4772
elp6d_ribo_YPD1	28	TIS	5p-end	-8	1392
elp6d_ribo_YPD1	29	TIS	5p-end	-8	1393
elp6d_ribo_YPD1	30	TIS	5p-end	-8	3452
elp6d_ribo_YPD1	31	TIS	5p-end	-8	6604
