transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
YOR342C-t26_1	616.0	529.0	897.0	669.0	764.0	1310.0	586.0	1538.0	1380.0	1052.0	800.0	1888.0
YOR343W-A-t26_1	21.17	28.25	25.57	14.76	19.69	48.77	41.46	87.21	38.29	0.64	18.15	69.94
YOR343W-B-t26_1	115.46	52.2	152.11	152.27	152.2	112.8	95.15	270.58	247.23	252.77	183.28	446.31
YOR344C-t26_1	367.0	269.0	593.0	184.0	212.0	370.0	123.0	276.0	319.0	134.0	84.0	232.0
YOR346W-t26_1	678.0	541.0	963.0	520.0	693.0	1005.0	464.0	1112.0	1268.0	1059.0	562.0	1798.0
YOR347C-t26_1	219.0	187.0	266.0	251.0	225.0	405.0	194.0	594.0	431.0	326.0	375.0	649.0
YOR348C-t26_1	30.0	38.0	44.0	40.0	42.0	45.0	30.0	123.0	78.0	91.0	77.0	149.0
YOR349W-t26_1	352.0	325.0	475.0	459.0	398.0	656.0	353.0	953.0	770.0	546.0	663.0	1061.0
YOR350C-t26_1	341.0	374.0	502.0	404.0	434.0	606.0	294.0	801.0	656.0	464.0	452.0	941.0
YOR351C-t26_1	54.0	43.0	53.0	63.0	39.0	42.0	31.0	87.0	99.0	71.0	53.0	120.0
YOR352W-t26_1	192.0	204.0	308.0	212.0	226.0	334.0	175.0	435.0	422.0	315.0	243.0	464.0
YOR353C-t26_1	530.0	464.0	720.0	641.0	666.0	900.0	495.0	1310.0	1032.0	825.0	579.0	1458.0
YOR354C-t26_1	738.0	695.0	1119.0	920.0	927.0	1447.0	716.0	1886.0	1569.0	1110.0	1013.0	2068.0
YOR355W-t26_1	1047.0	980.0	1376.0	1242.0	1153.0	1891.0	880.0	2523.0	2321.0	1681.0	1749.0	3166.0
YOR356W-t26_1	651.0	794.0	954.0	904.0	947.0	1262.0	677.0	1955.0	1414.0	1156.0	1338.0	2297.0
YOR357C-t26_1	421.0	379.0	625.0	447.0	509.0	992.0	338.0	851.0	912.0	725.0	454.0	1530.0
YOR358W-t26_1	132.0	129.0	178.0	138.0	120.0	286.0	114.0	335.0	228.0	162.0	174.0	314.0
