transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
YDR434W-t26_1	63.25	55.81	64.12	74.69	77.62	59.95	65.98	65.76	64.66	71.75	74.58	67.51
YDR435C-t26_1	34.65	33.64	32.12	48.36	41.07	38.98	41.42	40.38	40.13	47.45	46.77	44.44
YDR436W-t26_1	15.06	13.23	13.98	19.75	17.58	14.75	17.55	19.73	18.1	25.6	27.56	23.8
YDR437W-t26_1	12.28	16.58	15.76	20.2	19.19	11.39	17.1	24.23	18.64	19.32	22.37	18.35
YDR438W-t26_1	17.22	16.14	16.28	21.23	23.08	18.73	17.42	22.19	18.17	24.16	26.49	22.8
YDR439W-t26_1	19.27	13.84	17.41	20.52	20.14	21.77	21.84	18.68	19.25	21.4	24.6	25.68
YDR440W-t26_1	22.61	18.6	23.85	25.2	27.96	24.71	20.0	25.37	23.37	32.05	25.03	31.18
YDR441C-t26_1	43.14	48.1	44.85	44.55	38.91	37.06	43.89	45.66	41.74	41.91	48.77	34.26
YDR443C-t26_1	7.02	5.78	8.62	8.3	8.09	7.01	8.42	7.95	8.29	9.85	9.61	9.57
YDR444W-t26_1	24.16	24.72	22.82	26.72	28.66	22.45	25.04	24.68	24.18	29.52	27.62	25.34
YDR446W-t26_1	3.66	2.27	1.5	2.75	4.53	3.22	5.01	2.5	3.14	3.31	3.25	2.64
YDR447C-t26_1	3074.33	2923.26	3012.55	2520.45	2673.41	2759.5	2539.18	2334.69	2538.78	2265.57	1686.92	2294.12
YDR448W-t26_1	43.79	39.06	40.6	40.44	47.29	42.51	41.63	42.92	40.45	44.02	33.41	42.84
YDR449C-t26_1	60.97	47.75	54.74	68.08	88.35	77.2	63.23	62.06	72.86	103.92	65.01	93.49
YDR450W-t26_1	3157.11	2876.83	3210.61	2700.33	3002.98	3137.83	2812.58	2697.32	2953.1	2669.14	2349.15	2788.3
YDR451C-t26_1	47.12	41.88	44.99	64.17	54.72	50.56	65.84	68.09	66.01	71.13	72.21	71.57
YDR452W-t26_1	63.92	55.71	72.45	67.79	68.95	68.35	62.68	62.31	63.66	91.63	64.14	88.54
YDR453C-t26_1	14.09	17.32	15.2	15.26	16.31	17.48	14.03	14.78	17.2	19.63	12.72	16.42
YDR454C-t26_1	485.21	448.76	540.38	482.09	475.83	482.1	520.2	471.95	501.68	453.36	484.61	457.89
YDR456W-t26_1	58.88	55.43	58.75	76.9	64.4	56.51	59.88	67.87	58.61	70.52	90.72	64.04
YDR457W-t26_1	11.52	11.65	15.96	16.13	12.54	13.97	14.97	13.16	14.95	15.45	20.07	15.49
YDR458C-t26_1	21.01	18.22	21.99	19.56	22.76	21.05	17.96	16.21	21.78	29.97	19.62	26.94
YDR459C-t26_1	31.3	28.45	29.64	43.04	42.1	35.42	42.14	38.06	39.29	43.86	39.44	40.89
YDR460W-t26_1	27.93	31.05	26.99	24.43	30.48	30.12	27.51	22.78	24.26	37.16	29.52	29.7
YDR461C-A-t26_1	44.95	39.4	45.7	42.41	58.0	52.66	53.41	62.96	65.7	86.27	76.08	75.49
YDR461W-t26_1	501.76	470.87	586.62	810.19	1065.77	1037.2	520.36	675.44	718.29	427.19	524.14	453.15
YDR462W-t26_1	67.39	60.03	52.54	55.7	55.84	67.74	55.42	63.31	52.47	59.68	78.58	57.94
YDR463W-t26_1	37.44	28.54	31.85	44.36	46.89	37.5	35.52	37.04	45.09	59.43	43.38	54.36
YDR464W-t26_1	13.67	10.67	15.38	14.6	16.63	16.08	17.37	14.72	17.05	23.89	18.31	27.67
YDR465C-t26_1	101.07	85.82	97.66	105.09	122.72	96.02	106.18	103.29	100.47	135.45	122.48	121.0
YDR466W-t26_1	18.55	16.17	17.6	25.11	23.93	16.79	22.31	21.35	24.25	28.43	27.54	25.47
YDR468C-t26_1	60.86	47.72	61.97	48.95	61.47	61.2	48.51	43.91	53.11	58.19	40.96	56.57
YDR469W-t26_1	40.14	34.43	46.21	33.89	48.52	42.18	39.89	41.01	45.03	61.34	30.31	51.28
YDR470C-t26_1	21.96	19.62	19.72	26.19	26.41	20.28	24.59	27.77	25.98	29.84	30.03	27.43
YDR471W-t26_1	1566.78	1463.55	1321.76	1174.38	1304.04	1281.96	1212.89	1261.08	1330.94	1110.37	931.07	1083.5
YDR472W-t26_1	59.22	47.36	57.54	97.77	103.41	99.53	99.81	95.71	94.86	140.1	152.3	134.8
YDR473C-t26_1	11.48	5.94	12.93	9.66	12.1	15.1	8.74	9.09	12.5	17.3	7.82	15.23
YDR475C-t26_1	16.21	16.89	15.68	18.23	16.93	14.97	16.37	17.51	16.32	18.5	20.14	17.56
YDR476C-t26_1	76.55	80.55	64.66	93.9	69.72	75.02	73.7	78.56	73.56	77.5	100.29	81.72
YDR477W-t26_1	51.04	45.94	47.9	63.92	60.83	43.07	52.79	60.28	55.06	69.38	71.15	66.08
YDR478W-t26_1	22.0	24.35	25.79	26.4	32.48	25.44	27.37	23.73	22.05	33.38	25.95	31.01
YDR479C-t26_1	30.56	27.31	28.3	37.43	39.94	31.33	34.06	40.73	34.6	43.03	47.34	38.06
YDR480W-t26_1	28.76	27.89	30.73	30.62	39.31	35.79	31.77	36.62	32.98	41.19	38.84	39.2
YDR481C-t26_1	111.4	105.96	98.96	102.33	90.54	63.21	93.75	106.29	76.37	86.54	94.66	80.84
YDR482C-t26_1	36.85	33.84	34.86	28.98	36.69	34.0	30.55	28.83	30.24	36.16	32.31	30.15
YDR483W-t26_1	214.78	212.72	212.6	230.83	189.92	164.52	203.35	196.24	200.88	189.42	224.81	185.93
YDR484W-t26_1	17.79	12.97	20.87	20.12	24.47	21.5	17.05	15.8	19.86	26.36	18.02	25.8
YDR485C-t26_1	12.06	10.39	15.32	12.24	17.13	17.19	14.08	14.58	15.75	25.54	15.21	23.88
YDR486C-t26_1	38.31	28.11	46.83	36.76	46.9	45.63	38.89	33.42	41.88	51.92	44.74	48.77
YDR487C-t26_1	231.94	203.61	248.69	279.89	271.06	303.16	316.97	303.93	288.36	359.31	336.82	337.78
YDR488C-t26_1	12.94	15.77	14.96	16.83	11.71	11.64	14.68	15.64	16.27	18.25	21.82	18.75
YDR489W-t26_1	23.54	24.2	27.54	35.59	29.79	25.9	23.0	31.93	27.53	31.37	37.3	32.69
YDR490C-t26_1	24.13	20.34	19.09	26.67	24.29	17.18	22.31	24.35	21.73	26.5	28.91	23.6
YDR492W-t26_1	61.03	53.54	53.54	73.22	65.14	62.08	73.04	68.83	77.33	89.43	102.86	82.44
YDR493W-t26_1	39.46	35.93	41.75	38.33	42.92	49.5	47.79	43.92	42.1	46.02	45.33	44.21
YDR494W-t26_1	37.96	27.56	44.01	31.57	41.46	37.9	35.35	34.15	37.08	40.65	23.15	34.29
YDR495C-t26_1	7.42	7.77	11.23	9.32	12.68	12.16	10.0	10.02	11.88	20.48	10.91	19.03
YDR496C-t26_1	70.16	51.34	81.22	67.4	88.01	94.15	75.62	58.45	85.92	107.58	46.2	98.6
YDR497C-t26_1	196.46	191.92	161.88	229.2	232.12	174.55	223.66	241.89	222.77	262.15	258.54	261.04
YDR498C-t26_1	40.57	37.02	38.07	37.86	37.08	31.5	32.91	35.74	33.81	37.44	38.53	32.39
YDR499W-t26_1	13.5	11.37	15.78	13.91	19.17	16.89	13.4	14.42	15.93	21.97	14.36	18.35
YDR500C-t26_1	2723.45	2708.21	2739.43	2911.22	2678.67	3067.13	2782.57	2881.66	2913.1	2733.24	2885.62	2879.85
YDR501W-t26_1	11.65	12.56	11.99	12.39	13.06	7.97	11.77	12.99	11.91	11.3	10.3	10.82
YDR502C-t26_1	157.26	160.93	153.38	133.64	128.14	116.6	151.13	159.66	141.14	126.17	127.95	123.24
YDR503C-t26_1	32.25	33.17	27.4	34.23	40.48	36.87	32.46	35.92	34.31	34.42	45.0	36.62
YDR504C-t26_1	11.96	19.7	12.86	15.79	24.76	25.74	11.18	14.51	18.03	26.93	10.87	15.88
YDR505C-t26_1	13.82	11.32	12.09	13.86	15.37	12.04	11.12	13.37	14.45	15.67	10.63	11.69
YDR506C-t26_1	7.45	8.74	6.73	8.79	8.25	7.21	6.2	8.06	8.37	10.52	8.48	8.74
YDR507C-t26_1	24.53	22.31	30.12	26.34	30.82	24.0	26.49	26.6	28.25	38.22	27.41	36.43
YDR508C-t26_1	206.98	215.33	194.08	201.4	194.85	149.89	188.06	181.58	175.99	206.49	217.04	202.21
YDR510W-t26_1	365.29	379.53	454.44	399.75	349.22	448.15	420.72	465.75	401.72	382.31	500.62	412.17
YDR511W-t26_1	44.23	40.39	38.16	39.63	37.74	44.63	40.6	46.65	49.04	43.6	47.92	42.77
YDR512C-t26_1	39.76	38.27	42.68	50.28	57.49	54.86	51.67	54.23	55.19	68.65	59.01	63.77
YDR513W-t26_1	172.23	179.78	189.1	215.79	229.0	233.46	215.21	209.24	214.68	269.21	262.04	274.77
YDR514C-t26_1	18.88	20.02	20.39	19.85	30.94	21.74	23.53	20.29	23.09	27.03	21.63	26.18
YDR515W-t26_1	13.08	6.62	16.0	13.33	20.17	22.1	14.55	13.35	18.33	30.8	14.4	26.72
YDR516C-t26_1	50.85	52.13	48.18	58.59	51.61	48.4	49.79	46.61	42.6	54.62	57.65	51.99
YDR517W-t26_1	90.64	87.1	92.25	106.72	95.6	97.31	108.74	109.1	110.99	111.72	127.96	113.56
YDR518W-t26_1	54.89	49.16	54.23	50.07	48.29	40.32	42.61	41.44	42.51	40.49	35.43	34.62
YDR519W-t26_1	173.6	163.97	149.89	162.31	169.94	153.08	150.6	145.66	149.6	171.23	146.38	162.85
YDR520C-t26_1	20.49	18.75	18.08	24.52	27.54	19.77	20.16	20.23	20.13	27.89	23.52	22.37
YDR522C-t26_1	3.36	4.05	4.65	4.03	6.46	5.01	4.04	5.08	5.06	6.64	4.85	6.08
YDR523C-t26_1	0.66	1.05	0.83	1.78	1.01	0.86	0.78	1.02	1.11	1.86	1.45	1.33
YDR524C-t26_1	27.78	23.92	26.96	32.77	35.1	29.75	30.33	31.92	33.13	42.22	43.54	37.68
YDR524C-B-t26_1	10092.81	12249.69	7382.99	8488.46	9320.14	8241.66	9512.45	10231.11	11867.74	10551.99	10313.5	9329.99
YDR524W-C-t26_1	5878.9	6461.86	5500.54	6125.93	7102.7	6225.13	5923.11	6069.92	5443.31	7480.7	6998.53	6832.56
YDR525W-A-t26_1	40.72	44.86	38.28	38.71	49.76	32.9	42.32	54.36	44.63	53.52	52.07	36.65
YDR527W-t26_1	45.58	39.87	50.48	51.57	59.43	47.1	57.7	51.88	49.64	70.51	64.45	61.24
YDR528W-t26_1	28.05	26.41	28.34	44.36	46.35	38.16	38.61	46.73	42.82	57.78	46.78	52.93
YDR529C-t26_1	131.03	121.68	131.36	132.07	146.21	133.68	171.41	152.53	167.57	195.86	143.45	196.85
YDR530C-t26_1	34.74	29.41	31.25	35.24	30.33	27.4	28.86	32.73	27.91	31.6	31.34	27.58
YDR531W-t26_1	97.32	85.46	97.0	128.99	140.93	111.66	119.15	113.95	130.85	132.53	123.74	124.45
YDR532C-t26_1	11.53	7.05	15.85	11.38	13.33	15.32	11.72	9.58	13.07	20.78	9.1	19.93
YDR533C-t26_1	64.64	59.1	53.12	59.72	65.52	56.31	75.21	77.03	65.16	82.14	85.5	62.3
YDR534C-t26_1	36.27	19.83	11.69	20.35	10.02	18.23	11.69	12.09	7.12	7.15	8.59	5.79
YDR536W-t26_1	5.05	4.79	5.14	8.1	6.58	4.6	6.17	6.14	6.38	9.3	8.73	7.61
YDR538W-t26_1	33.79	36.49	32.93	34.53	32.89	25.7	31.13	27.95	29.59	27.3	34.82	26.1
YDR539W-t26_1	46.9	43.26	39.12	41.6	35.82	32.84	37.4	36.48	35.33	17.89	18.14	16.44
YDR540C-t26_1	6.71	6.24	8.23	5.94	8.91	11.4	10.22	8.88	8.62	13.66	8.13	7.64
YDR541C-t26_1	31.08	26.61	28.22	44.83	43.37	37.64	34.63	45.16	40.24	50.83	50.78	49.22
YDR542W-t26_1	0.0	0.0	0.21	0.85	0.33	0.54	0.0	0.27	0.64	0.0	0.4	0.27
YDR545W-t26_1	0.99	1.25	1.48	1.52	1.11	0.62	0.4	0.55	0.59	1.37	1.75	1.41
YEL001C-t26_1	275.85	246.65	223.59	230.67	251.77	228.22	212.14	202.86	233.11	228.58	228.16	207.24
YEL002C-t26_1	173.77	154.39	171.67	193.63	173.88	172.85	167.35	170.98	174.53	188.73	193.93	177.23
YEL003W-t26_1	72.69	56.79	82.19	46.56	77.22	86.81	50.53	57.78	70.92	100.49	40.62	82.69
YEL004W-t26_1	20.18	17.44	17.52	22.14	22.07	17.73	17.97	21.4	22.74	25.29	17.59	22.27
YEL005C-t26_1	18.84	13.09	15.46	15.72	19.12	17.58	16.37	19.05	15.06	25.15	14.98	19.8
YEL006W-t26_1	72.45	65.68	64.73	69.12	73.65	59.29	65.94	74.0	73.67	64.89	59.91	62.61
YEL007W-t26_1	57.5	55.29	59.49	70.02	64.15	43.99	56.04	65.63	64.02	57.63	70.2	60.46
YEL009C-t26_1	1126.37	1141.35	1152.81	1252.68	1219.11	1208.91	1256.92	1355.11	1257.21	1230.6	1300.81	1170.29
YEL011W-t26_1	13.76	11.18	13.63	20.41	18.28	15.95	18.3	19.14	17.4	32.09	36.53	29.02
YEL012W-t26_1	20.67	22.47	24.17	30.83	37.08	33.08	32.96	33.6	32.61	48.07	47.93	44.53
YEL013W-t26_1	64.07	56.24	61.66	78.11	73.53	62.54	65.24	65.38	64.18	79.42	72.58	69.85
YEL015W-t26_1	67.05	54.22	72.21	68.29	91.32	75.07	68.72	74.05	70.28	90.59	62.66	86.84
YEL016C-t26_1	36.27	39.8	36.35	41.52	40.97	31.86	38.66	39.67	34.97	37.59	36.01	37.0
YEL017C-A-t26_1	1342.0	985.7	1170.82	1247.28	1303.42	1261.86	1189.52	1294.47	1199.11	1115.35	1231.84	990.51
YEL017W-t26_1	60.68	65.2	60.0	75.62	67.38	63.66	70.05	71.71	69.76	83.66	92.99	83.31
YEL018W-t26_1	31.43	28.3	34.96	29.66	39.39	37.04	29.63	25.34	30.65	41.09	25.12	33.45
YEL019C-t26_1	10.94	12.15	11.88	11.92	9.3	5.99	11.78	10.56	9.65	11.11	9.51	8.7
YEL020C-t26_1	22.91	21.11	18.88	21.94	21.62	19.16	19.95	20.67	18.97	19.18	20.28	17.7
YEL020W-A-t26_1	81.05	67.86	78.27	62.98	95.11	96.85	83.31	86.96	94.01	102.9	57.71	92.69
YEL021W-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0
YEL022W-t26_1	24.59	20.54	29.53	30.33	30.02	26.14	28.71	28.22	30.23	34.41	26.15	32.84
YEL023C-t26_1	10.13	9.26	8.66	10.92	12.54	11.35	7.7	10.4	10.99	13.83	12.6	12.46
YEL024W-t26_1	44.22	51.89	38.61	53.36	60.58	53.83	58.27	49.87	60.44	75.18	59.07	72.29
YEL025C-t26_1	22.88	23.95	22.62	29.07	25.84	17.15	23.75	24.99	23.23	31.61	31.46	25.95
YEL026W-t26_1	633.24	613.31	760.68	696.92	553.37	706.58	698.4	610.8	676.85	558.05	782.29	634.05
YEL027W-t26_1	1225.73	1296.88	1210.35	1369.18	1191.99	1258.51	1283.29	1243.39	1255.82	1165.51	1221.69	1149.87
YEL029C-t26_1	42.8	41.26	43.86	55.36	54.5	51.72	60.49	52.87	52.82	61.88	54.63	58.87
YEL030W-t26_1	8.38	8.14	7.15	8.25	10.42	7.92	8.29	9.12	8.46	11.41	10.07	8.8
YEL031W-t26_1	114.2	132.92	134.27	186.09	147.19	122.85	149.08	152.35	146.65	164.67	230.18	155.38
YEL032W-t26_1	33.06	33.02	33.35	47.12	40.41	30.87	39.53	45.26	39.16	43.36	54.47	43.92
YEL033W-t26_1	629.16	614.41	506.71	527.76	562.74	499.08	521.47	609.09	624.01	609.02	760.23	518.81
YEL034W-t26_1	1861.17	1961.93	1781.21	1864.9	1636.05	1602.35	1835.69	2071.21	1851.15	1670.2	2106.84	1760.11
YEL035C-t26_1	0.64	0.81	1.05	0.83	0.83	0.91	2.0	0.67	0.99	2.05	1.09	0.89
YEL036C-t26_1	78.93	85.87	64.84	100.93	95.54	73.82	88.51	104.46	91.85	107.55	114.44	103.32
YEL037C-t26_1	138.88	144.91	116.14	160.5	162.25	144.56	158.4	156.47	157.54	198.13	193.73	196.09
YEL038W-t26_1	97.78	97.81	93.68	108.49	109.67	109.86	119.52	134.82	117.79	128.32	142.11	133.74
YEL039C-t26_1	4.0	1.77	4.14	5.98	7.56	7.08	7.25	5.96	6.25	21.32	11.37	18.02
YEL040W-t26_1	383.66	337.45	342.86	449.42	448.73	402.17	477.05	475.91	508.4	585.6	482.72	553.48
YEL041W-t26_1	7.69	7.09	8.26	10.07	7.9	8.57	7.77	8.38	8.57	10.23	9.65	8.85
YEL042W-t26_1	92.5	108.91	102.95	116.92	86.87	92.98	100.08	96.81	104.96	106.52	147.88	112.43
YEL043W-t26_1	28.37	25.32	28.46	35.32	29.74	22.34	30.95	35.26	32.9	34.81	44.8	36.06
YEL044W-t26_1	96.2	82.06	89.48	95.91	112.59	100.74	128.49	108.41	118.45	131.94	126.53	125.05
YEL046C-t26_1	405.95	410.46	350.73	510.21	432.64	342.63	479.51	533.24	473.29	513.53	622.07	479.81
YEL047C-t26_1	91.4	91.08	95.12	100.48	83.06	84.53	87.63	85.89	83.79	81.29	100.17	85.1
YEL048C-t26_1	68.24	75.64	74.09	86.95	91.08	73.0	67.81	67.53	74.27	78.25	72.5	77.8
YEL049W-t26_1	3.49	3.62	4.73	3.95	3.71	4.66	5.13	3.14	4.54	3.82	4.99	6.12
YEL050C-t26_1	51.31	52.26	38.08	56.12	53.78	47.87	51.39	49.36	46.0	53.43	49.37	47.3
YEL051W-t26_1	304.91	275.97	337.37	283.99	319.71	337.91	310.32	295.8	287.28	311.91	244.72	307.83
YEL052W-t26_1	48.19	46.82	47.64	59.21	58.61	52.23	58.89	64.84	58.15	64.05	73.3	64.47
YEL053C-t26_1	23.58	19.41	25.32	24.34	24.7	20.42	25.45	23.14	25.41	29.32	23.28	25.95
YEL054C-t26_1	2079.83	2161.82	1924.41	1847.46	1793.5	1899.5	1853.1	1941.21	1891.58	1742.01	1894.84	1780.02
YEL055C-t26_1	41.23	45.76	52.81	55.13	49.01	46.45	53.77	47.55	48.01	57.97	51.01	51.41
YEL056W-t26_1	54.32	51.57	56.47	69.42	75.61	70.05	74.78	75.31	72.47	90.03	92.35	86.87
YEL057C-t26_1	5.64	7.16	8.41	8.59	8.53	6.36	8.8	10.15	7.46	11.89	14.66	9.37
YEL058W-t26_1	115.76	116.07	111.82	148.28	142.48	130.32	157.46	160.03	154.27	184.11	198.89	176.13
YEL059C-A-t26_1	13.36	13.25	15.96	22.82	21.26	24.39	28.74	42.89	30.92	41.18	50.24	42.08
YEL060C-t26_1	36.43	43.03	37.98	64.49	51.4	50.03	60.36	66.23	57.93	91.5	117.28	79.63
YEL061C-t26_1	10.35	5.85	13.98	10.23	11.65	14.51	10.06	12.74	13.81	19.73	7.31	17.25
YEL062W-t26_1	17.49	11.16	16.04	22.78	18.66	16.36	19.07	19.07	21.39	23.42	20.54	21.32
YEL063C-t26_1	55.16	54.99	46.36	78.49	64.27	49.81	68.3	72.48	74.46	98.38	126.05	96.53
YEL064C-t26_1	16.68	14.34	14.12	17.94	16.67	15.24	14.61	19.71	15.95	23.46	25.23	19.55
YEL065W-t26_1	256.99	201.43	192.06	275.91	265.59	203.04	230.36	259.59	232.82	284.78	304.69	263.67
YEL066W-t26_1	47.5	48.21	52.14	43.5	41.87	53.01	59.63	59.7	56.54	55.24	69.69	65.08
YEL067C-t26_1	10.4	9.26	6.32	10.4	8.54	6.76	11.82	9.33	11.45	14.56	15.37	13.25
