	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
wt_ribo_YPD1	1.0	0.9989667239250062	0.9970026935224718	0.9951028110988279	0.9964033132558414	0.9953037782035228	0.9946939870136824	0.9961485667866437	0.9956009237443633	0.9876454250640408	0.9871026738970191	0.9867447920076715
wt_ribo_YPD2	0.9989667239250062	1.0	0.9962214679868756	0.9969907051997301	0.9977904378288718	0.9958746091841696	0.9952081605432288	0.9958709510799365	0.9957367505624588	0.9894328498136523	0.9888332234510351	0.9886368415236227
wt_ribo_YPD3	0.9970026935224718	0.9962214679868756	1.0	0.9934287328237428	0.9947996680406783	0.9971000015983973	0.9965803381540038	0.9969776890287211	0.9961074900050608	0.9906039213951346	0.9910112245021344	0.9902856083534729
ncs2d_ribo_YPD1	0.9951028110988279	0.9969907051997301	0.9934287328237428	1.0	0.9994436541030688	0.9972943285412922	0.9951682835290356	0.9953964127047199	0.9946518339669231	0.9937266357490517	0.9938532356721166	0.993364014421606
ncs2d_ribo_YPD2	0.9964033132558414	0.9977904378288718	0.9947996680406783	0.9994436541030688	1.0	0.9978298097081842	0.9965046696634591	0.996937682391875	0.9962579928479867	0.9947660705107767	0.9945066385634944	0.9939804227344431
ncs2d_ribo_YPD3	0.9953037782035228	0.9958746091841696	0.9971000015983973	0.9972943285412922	0.9978298097081842	1.0	0.9983986296585398	0.9980124599036587	0.9978200658826133	0.9959529099985456	0.9962966597005776	0.9960667278404602
elp6d_ribo_YPD1	0.9946939870136824	0.9952081605432288	0.9965803381540038	0.9951682835290356	0.9965046696634591	0.9983986296585398	1.0	0.9991404416474529	0.9995174973397765	0.9964471640964986	0.9962521321495447	0.9965265093331963
elp6d_ribo_YPD2	0.9961485667866437	0.9958709510799365	0.9969776890287211	0.9953964127047199	0.996937682391875	0.9980124599036587	0.9991404416474529	1.0	0.9989718038794252	0.995250827235215	0.9948807958465989	0.9948661331617644
elp6d_ribo_YPD3	0.9956009237443633	0.9957367505624588	0.9961074900050608	0.9946518339669231	0.9962579928479867	0.9978200658826133	0.9995174973397765	0.9989718038794252	1.0	0.9954810562885433	0.9947960002497631	0.9954060660313738
ncs2d_elp6d_ribo_YPD1	0.9876454250640408	0.9894328498136523	0.9906039213951346	0.9937266357490517	0.9947660705107767	0.9959529099985456	0.9964471640964986	0.995250827235215	0.9954810562885433	1.0	0.9995538440351097	0.9995017457485003
ncs2d_elp6d_ribo_YPD2	0.9871026738970191	0.9888332234510351	0.9910112245021344	0.9938532356721166	0.9945066385634944	0.9962966597005776	0.9962521321495447	0.9948807958465989	0.9947960002497631	0.9995538440351097	1.0	0.9995740751188159
ncs2d_elp6d_ribo_YPD3	0.9867447920076715	0.9886368415236227	0.9902856083534729	0.993364014421606	0.9939804227344431	0.9960667278404602	0.9965265093331963	0.9948661331617644	0.9954060660313738	0.9995017457485003	0.9995740751188159	1.0
