	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
wt_ribo_YPD1	1.0	0.671000469763785	0.6021131565641175	0.8244058922050403	0.6485664550057041	0.607711956653973	0.6166647578960172	0.5989678597224689	0.6219634434367556	0.6105074088833032	0.5973569706836722	0.5854901202119741
wt_ribo_YPD2	0.671000469763785	1.0	0.9050944680330245	0.8937720299161136	0.9630546775702205	0.8882809472741034	0.8890990645141148	0.8641116389656199	0.8595934829294714	0.8919672210914037	0.8638049112525538	0.8689638339474699
wt_ribo_YPD3	0.6021131565641175	0.9050944680330245	1.0	0.8126552293288545	0.914994069090668	0.9658613212091332	0.9136739884478025	0.9347724163921766	0.8686496121848188	0.9487066136052964	0.9428574682947367	0.9491255020681677
ncs2d_ribo_YPD1	0.8244058922050403	0.8937720299161136	0.8126552293288545	1.0	0.9105789754148632	0.8290783519134349	0.8313385726317475	0.7772995481295069	0.7832452870880638	0.8194411895505938	0.8001237517993123	0.8052547994030341
ncs2d_ribo_YPD2	0.6485664550057041	0.9630546775702205	0.914994069090668	0.9105789754148632	1.0	0.9212646943219767	0.9236222649806108	0.9057693698903474	0.8724378752296232	0.9222153252129844	0.902886392460013	0.912131269650986
ncs2d_ribo_YPD3	0.607711956653973	0.8882809472741034	0.9658613212091332	0.8290783519134349	0.9212646943219767	1.0	0.941643911143527	0.9293181669408288	0.9029145285855998	0.9714025665254684	0.9714085958658488	0.9716887049591678
elp6d_ribo_YPD1	0.6166647578960172	0.8890990645141148	0.9136739884478025	0.8313385726317475	0.9236222649806108	0.941643911143527	1.0	0.9152318923950128	0.9613782894705669	0.9650693745890917	0.9402427864062866	0.9520560979388404
elp6d_ribo_YPD2	0.5989678597224689	0.8641116389656199	0.9347724163921766	0.7772995481295069	0.9057693698903474	0.9293181669408288	0.9152318923950128	1.0	0.8842189791599189	0.9363830977181153	0.9280301568750742	0.9318484784962776
elp6d_ribo_YPD3	0.6219634434367556	0.8595934829294714	0.8686496121848188	0.7832452870880638	0.8724378752296232	0.9029145285855998	0.9613782894705669	0.8842189791599189	1.0	0.9461690250679129	0.9144781498329702	0.921546282483132
ncs2d_elp6d_ribo_YPD1	0.6105074088833032	0.8919672210914037	0.9487066136052964	0.8194411895505938	0.9222153252129844	0.9714025665254684	0.9650693745890917	0.9363830977181153	0.9461690250679129	1.0	0.9803734060204313	0.984510435432569
ncs2d_elp6d_ribo_YPD2	0.5973569706836722	0.8638049112525538	0.9428574682947367	0.8001237517993123	0.902886392460013	0.9714085958658488	0.9402427864062866	0.9280301568750742	0.9144781498329702	0.9803734060204313	1.0	0.980414399016747
ncs2d_elp6d_ribo_YPD3	0.5854901202119741	0.8689638339474699	0.9491255020681677	0.8052547994030341	0.912131269650986	0.9716887049591678	0.9520560979388404	0.9318484784962776	0.921546282483132	0.984510435432569	0.980414399016747	1.0
