Codon	Nucleotide	Frame	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
-15	-45	0	0.17868930800587107	0.16795115560811127	0.17749380924507596	0.182805349843473	0.18689631611017565	0.1748998000496363	0.15241344860582268	0.16077625778914706	0.1915563435002521	0.1494288866642906	0.16589253132960746	0.18204808028816463
-14	-42	0	0.18063306285889358	0.18237189748877503	0.17953899702644835	0.18753570530686836	0.17993415022681486	0.17626343815101755	0.15900948534669856	0.16336705995484624	0.18571000810773688	0.1593591278435136	0.18993255586968247	0.20522652516265624
-13	-39	0	0.15779961577222107	0.1507952764162951	0.1556988230376148	0.14909576203209585	0.14717413271695737	0.1473627670721317	0.15736935771903016	0.13921732048742919	0.1490509113383176	0.21013369677368146	0.1378104860261773	0.14441866585520255
-12	-36	0	0.15018342457769332	0.1409036866422708	0.146551440871178	0.1439076302335332	0.1383049387872847	0.13891666751396425	0.14925161411782653	0.14114876683203784	0.14530043202991164	0.14199740813132603	0.14425226724273885	0.13874068647750432
-11	-33	0	0.1506825989757458	0.1581477960699306	0.15002113755499885	0.14969949603934546	0.14389737420881038	0.14604669774172885	0.15151345077403353	0.15909123735747122	0.14704085053250524	0.14467619690483652	0.16563801128154013	0.1526909925237128
-10	-30	0	0.1377343176202031	0.13489422724536604	0.13550132181361366	0.1381555710655615	0.13201628677742294	0.13595154745630972	0.14236544649696595	0.13227743396645605	0.13499274216595925	0.1597767884587384	0.13911944627338074	0.13858138445087548
-9	-27	0	0.15385160007853338	0.15332454317714572	0.15662475382420626	0.15482128344150708	0.15382602816421187	0.15509004964662532	0.14543846540945662	0.14551117150692977	0.15886834246914502	0.14394169030564816	0.15182120867217005	0.15704904082362947
-8	-24	0	0.16276867000737966	0.16856876725901665	0.16694226830336856	0.16515774040079179	0.15882819299997433	0.16263234255620287	0.15152529285076757	0.1615355160073725	0.16157702196966048	0.16394619356589582	0.17017695213874107	0.17024835160144505
-7	-21	0	0.150954875920138	0.1456681193778266	0.15685878028675135	0.14844558694736548	0.14208872459345906	0.1442020865115659	0.1532187098237393	0.1399565982262277	0.14400124638713047	0.16451507612801228	0.14796704794429316	0.14662613679563033
-6	-18	0	0.13209969752097453	0.13176695555268642	0.13452451570907759	0.13343185004180624	0.12528871561404495	0.12762701253508713	0.13737993219192332	0.12646977461301215	0.1322963191337719	0.14238626456619047	0.13639244575837353	0.12768057434298988
-5	-15	0	0.14556227977148037	0.1015922148941663	0.15656370344267276	0.13565438732124166	0.13476331527270552	0.13034371789985436	0.1334246785627446	0.12603020406561846	0.1405571787869276	0.12763132317661252	0.13461686542304657	0.12582584360438304
-4	-12	0	0.11830433233843374	0.10936627900794357	0.11452034069326589	0.11439764271434293	0.11396762848197131	0.10846208324978353	0.11796484738641876	0.12336614014202031	0.1059816816332894	0.1060209868612766	0.12941132443995496	0.10567413723583878
-3	-9	0	0.12306161561684284	0.10618018715803487	0.10767252289792444	0.11204905108174551	0.10848870663463085	0.11182889515125577	0.14375689051321894	0.12969995212037488	0.1160442421306793	0.1232530877618427	0.13826498611201182	0.11261515411037971
-2	-6	0	0.13408883186472906	0.12552221552686535	0.133486659223008	0.13357780771388858	0.13234169235675391	0.1292284944913604	0.1445266255009334	0.13196440645543328	0.13800783337467776	0.12674559463053245	0.13772564601015486	0.13461021250134306
-1	-3	0	0.11267727548766053	0.10837613969458733	0.11167132288836899	0.11163108138441885	0.10759573318437371	0.10847265408777872	0.11533590635145566	0.10375862966433812	0.10960959625841414	0.11917009519576624	0.10748018029815225	0.10528726088545455
0	0	0	0.20059247553253676	0.18118569098465517	0.19665345398300754	0.19384505740460894	0.19534929360116915	0.19179728458496878	0.18632323533382653	0.20127668958764758	0.2010918758595327	0.13368020105228137	0.20381601849164152	0.18210497386910346
1	3	0	0.12549698161946243	0.12652215819975976	0.12224321395725422	0.1225779067905933	0.12171682181301638	0.12163334739180684	0.16474697152435455	0.1444788467365355	0.1269279860060535	0.17453893089340639	0.13482290546195824	0.11401473620147567
2	6	0	0.12265320020025444	0.11923826206289152	0.12200918749470913	0.12176187071486029	0.1148833046470655	0.11666505353406129	0.14280360333612646	0.12902061581985735	0.11758855714002295	0.12714165211048695	0.13345940520445462	0.1157101649134537
3	9	0	0.12341708829424383	0.12922788543229763	0.1217039355870416	0.11601644598652872	0.1169038462675626	0.11063439045779781	0.12492798850605077	0.11384877177496601	0.11690219491364799	0.11993340597531495	0.10629242007383798	0.1023743095413849
4	12	0	0.15539450276342281	0.16660809535138055	0.15444729021617795	0.16116380773744815	0.15682278652270196	0.15674438579287464	0.1022030432533742	0.1272290328312376	0.1545785785543016	0.09948963896457225	0.14254940692114543	0.16095194047603528
