Position	R_WT_1	R_WT_2	R_WT_3	R_KO_1	R_KO_2	R_KO_3
-20	1.068896478250004	1.0073740311144552	0.9944062255463388	1.0842944289595589	1.0346314238880765	1.0220864753601124
-19	1.0256232240085532	0.9813104569158105	1.0620330205031168	1.0208120801687148	1.0222867829913385	1.0634474690597129
-18	1.0217530575432017	0.9481128240980004	1.0282005727850052	1.0131792646646016	1.0394642071558435	1.0749160899223542
-17	1.0569669293675248	0.991019623331334	1.016551824664865	1.0019493371002508	1.0306656933614438	1.0137593028111345
-16	1.07516894011576	1.0660515466994462	0.9764823512198553	0.9962532810178646	1.0071096066803078	1.0580189878040447
-15	1.0144578222544316	0.9963515926599658	1.0226956806986551	0.9789635137319199	1.0328722312372947	0.9738626044349764
-14	1.0402028444953961	1.0038280844997263	0.9329513976955359	1.0266550801355616	1.0325748143660247	1.0364198141709253
-13	0.9665396755758284	1.014026269836739	1.0219758910782781	1.0263239716212202	1.0014432345252648	0.9426141582823191
-12	1.0224500525446816	0.9805282510802568	0.9686895076703106	0.9728073981494342	0.9343249093497233	0.9752780949387044
-11	0.9366797966859193	0.998548415069504	0.9747434407105008	0.9878609843548102	0.9970204334936142	0.9535904286605231
-10	0.9952759435652985	0.9253174017891866	0.976897562846928	0.9906076288548208	1.0463896254744753	0.9662866752237091
-9	0.935721441565328	0.9815895185142454	0.964683456435413	0.9598862821330659	0.9618596981740473	1.0036041970728797
-8	0.9303901825609853	0.9234131188929429	0.9184645181663067	0.9762591122382565	0.9212427602214538	0.9467974745110735
-7	0.8908586312902694	0.8919462524325497	0.9312200419156411	0.9016567058851465	0.8581658438360888	0.909527806231599
-6	1.1842853373676938	1.1354979675508878	1.1741056455937529	1.1562197328138526	1.1225332137729749	1.129331504303927
-5	1.151164483465293	1.103622692372522	1.1250356863986934	1.0478207456898325	1.0825756106115583	1.0795290721308448
-4	0.9892079208660005	0.9940882898469025	1.0286940924625652	0.9935398029369482	1.0173381958863992	0.9926253728507258
-3	1.0693647755117275	1.1423997952339202	1.0947018211751427	1.1308303450619248	1.087047436285056	1.1020109553902533
-2	1.125069207934229	1.134389858265514	1.085841841872132	1.131870910600726	1.1344129428802878	1.1698976584626701
-1	1.0261235419539556	1.0536537732601945	1.0548881226153621	1.097047593085177	1.0533329615849711	1.062126360412121
0	0.9947318738751809	1.0153023624094193	1.011282406748498	1.016926180635365	1.0064615311400757	1.0270651014515557
1	1.0047125794032314	1.128184054893133	1.090657428075941	1.0829686270033316	1.1283695724485263	1.0887315872421812
2	1.0171150463239966	1.053623550224994	1.0380703130952766	1.0173621420065015	1.0054028098049068	1.0320063630499623
3	0.8595016337219786	0.9282722258800058	0.8835295512766561	0.9584451321831241	0.9162064322561498	0.8693323531954193
4	1.0263712990777292	1.022457773185552	0.984921224208848	0.9135402675311545	0.9994798741626563	1.0200111039892705
5	0.9994083539152899	1.0695845591752806	1.0157835009538771	1.0417569345295703	1.0566422932328952	1.0296293703124162
6	1.0045334789586837	1.002242547288072	0.9972016748776471	0.93935510995987	0.9535988964288195	0.9483923126968207
7	0.9865297974059414	1.0083266213341076	0.9511957107951766	1.019116680493122	0.9762388097074175	0.9939937855653167
8	1.0247347038044194	0.9979952659089865	1.0167928936091204	0.9621376100738269	0.9828114980012287	1.0135649150088777
9	1.0044436508273558	0.9566885071300478	0.9406076694171946	0.9890225741603941	0.9922785107063696	1.0146778082797276
10	0.9608809019617521	0.9597167300493563	1.0018764975646781	0.9720687670107251	1.0049950913314336	0.9428943499087038
11	0.9382357783401991	0.956471738487706	1.0031080713694571	0.9877631471735179	0.9208170251118915	0.9105039911653949
12	1.040265210710047	0.912402423733885	0.9165252593483361	0.9405575540014194	0.9680544221630035	0.9758221527443912
13	0.9457880149666796	0.9243557991760669	0.9563607447101339	0.9552483119100773	0.9084149900945091	0.9512039831737787
14	1.003346888482472	0.9738843127343308	0.998325177388897	0.9414592529489512	0.9486594158047063	0.9549786105109255
15	0.9511807232867674	0.931866922964787	0.9465492833863697	0.9425221000165985	0.9513439361303385	0.9478431425981894
16	0.9166820956302059	0.9452595390573473	0.919293815553801	0.9400907159652907	0.9503495805281881	0.9853695916270226
17	0.9407533200891519	0.9276111333224399	1.0283895074320777	0.95743696975083	0.9124610454787135	0.954383774402569
18	0.922769891369615	0.9899899716114694	0.9826623535344444	0.9872183309629697	1.0226903441405724	0.9542397363603555
19	0.981495185431557	1.0143596460072186	1.02568785792498	1.008713975920829	0.9955370991142262	0.9685038817384765
20	0.9503192854956677	1.0083345519616842	0.9379163566741991	0.9314514165588305	0.9818951964371319	0.941121582944037
