Position	R_WT_1	R_WT_2	R_WT_3	R_KO_1	R_KO_2	R_KO_3
-20	1.0070067724556355	1.0463253743478682	0.9994149577015137	1.062110382697906	1.0390949033380088	1.02834554417364
-19	1.0214320860962043	0.9813892575627051	1.0554080627775069	1.0642638347694404	1.066773073485622	1.0207507806015212
-18	1.0503348355041795	0.9685081655711196	1.0105207550112485	1.0307575239681848	1.0016826711939224	1.0171787710726627
-17	1.0629983197560535	1.0346477724040861	0.9960512583093443	1.0129548491855358	0.9943682972720504	1.0355563654455604
-16	0.9681995919185408	0.9441040281332885	0.9765065517294099	1.0162592370614458	1.0000132764012184	0.9997862593088683
-15	1.008499322484034	0.9781208109610792	1.009945081214911	1.0152572476222497	1.0372847129266274	1.0285652783913075
-14	1.0414644442121632	0.9797733842996185	1.0284788187079177	1.016333629239584	1.0047093173562165	0.9813967044213971
-13	0.9921632190703082	1.014763695436227	0.9848669805936708	1.0317309690997205	1.0074473826054882	1.014409831928041
-12	0.9813495869742529	0.99707357706558	0.979080796673789	0.9843572626375681	0.9792550918551429	1.0036639508831853
-11	0.9796033912401197	0.9687893097417716	0.998188171395393	0.9666266839121378	0.9550031376481899	0.9934646223195231
-10	0.9891187313925737	0.995070796863535	0.9990816329013217	1.0110449010576756	1.0329804993672473	1.0142991446068679
-9	0.9669149811897632	1.003003097015169	0.9854635016585799	1.000328762170845	0.9918243986965937	1.0143858005118391
-8	0.9299057603718301	0.9888428471120367	0.9684281550997202	1.008187344812404	0.9801152549093757	0.9213152467247883
-7	0.9070547786043448	0.920900819091545	0.9169167942716665	0.945719481981515	0.954270453363398	0.9194227947684914
-6	1.1251371588490522	1.118398793440348	1.187821158670218	1.1227996414667083	1.1251166935713603	1.1039918776210715
-5	1.0840851195407295	1.1341287145041672	1.120016422676718	1.0120604731222933	1.1151576438809998	1.1272745808652098
-4	1.043641592448047	1.0583234485464033	1.0101005641263283	1.0413878902433689	1.0557222841665	1.0435427366018453
-3	1.0133795702657205	1.037888601363777	1.013882219698284	1.022540832378773	1.0241363472493052	1.0340609988071519
-2	0.8654271800108567	0.8432555689168716	0.8915090612330686	0.8470246445375401	0.8326496856032611	0.855281722514464
-1	0.8842914744986177	0.8870787486662418	0.8896493337580229	0.8472657916578982	0.8582185218996613	0.8818339048433582
0	0.9350955670938287	0.9530780167663404	0.9212982427494809	0.9438349256349522	0.954438383256631	0.9728221112433666
1	1.0513516506461236	1.0302778715627632	1.0068385108119444	1.021428099576112	1.0436556529837242	1.076990167216413
2	1.1020418858718504	1.1005038616930327	1.1023248706398425	1.0917857559145914	1.0468469437052785	1.0448525558773785
3	0.9723126090861856	1.0204079936322505	0.9799849819610061	1.0073902447215293	0.9807313399340716	1.028660861533029
4	1.133074229596104	1.0854094095894342	1.0974591035131485	1.0480065558040117	1.1257582460467248	1.0988127211868512
5	0.9671342950711411	0.9824879762066582	1.0226982466892702	1.0600628813822148	1.0267411191392113	1.0019572364608722
6	0.9859366432992279	1.0013860654716022	1.0140902829305274	1.0261208166812137	1.0147494392779983	1.0157430423460931
7	1.0547496553432603	1.0233747945529157	1.0317301186939059	1.0161099775932791	1.0012788715709413	1.012622048308229
8	0.9695311156752519	0.9937619121387792	1.0161205587911604	0.9705243995176579	0.9914814848790492	0.9471190978509167
9	1.031086144624368	1.0476210286199945	1.0140407771484137	1.0031005748722988	0.9900113286486663	1.0336538489011562
10	0.9819516933084891	1.0151882738476146	0.9465780502623903	0.9629423337164691	0.9585437523745631	0.9698978683599262
11	1.0183649463704765	0.9781878002645003	0.9527080247874877	0.9694042003089475	0.9867319523639446	0.9506705398179986
12	0.9455317100709214	0.9678502702078887	1.0292879118156177	0.996982026922833	0.9800934805871546	0.9873306784244708
13	1.0012894962593377	1.0070215533034104	0.9864216881753526	0.982715978441455	0.9288555096131701	0.9550116710062415
14	0.9776488588869392	1.0096604685284571	1.0081724695908338	0.9701934053847469	1.0330425328020465	0.9781275979654493
15	1.0237625973122162	0.9810059712854512	0.9995949244177242	0.9686366762567454	0.9594419699297716	0.9934165153734859
16	0.925957583329629	0.9688774835490991	0.9403761503913849	0.9847732997475902	0.9846289333057984	0.9506243477726888
17	0.9694740077813007	0.9717965949754874	0.9602445814626931	1.009422549109691	0.9759565515389131	0.9663163640649998
18	1.0356482422650954	0.9925465960320605	0.9955845584894328	0.9569987883402142	1.000925841346538	1.005058276898851
19	1.0053278736002538	0.9574220082590779	0.9887389045527486	0.9744889580955052	0.9586598143315174	0.9951858216697943
20	0.9907212776249653	1.0117472384697457	0.9643767639169976	0.9760661683551519	1.0016032055740929	0.9765997113109784
