Position	R_WT_1	R_WT_2	R_WT_3	R_KO_1	R_KO_2	R_KO_3
-20	0.9800335095262831	0.9800563804619505	1.0116325112700084	1.0112384611233065	1.0275929292766777	1.0411567970803288
-19	1.0007921605577352	1.0078287720263899	0.9508108042201205	1.0516709461931073	0.9798738893335107	1.015970416829733
-18	0.9805483176554534	0.9785415217214264	0.958148624915797	1.0192535081212424	0.9598189669943048	1.007216812675166
-17	0.9787841776396449	0.9500509336107836	1.0086443809911643	1.0112385895080065	1.0651027011668102	1.041938854245578
-16	1.048524336122353	0.9893334997949448	1.0455804696713176	1.050632784356031	1.019865136020776	0.9972747530194713
-15	0.9743730022119564	0.9795261928953409	1.001398259032762	1.0270882359924798	1.0183008788617134	1.0425510618061289
-14	1.0110420003859986	0.9934803030878542	0.9773823585747448	0.9812445554124264	1.0273529384175972	1.0503317795105824
-13	1.014520058940178	0.9937542301934225	0.983464127087615	1.025898329579174	1.0317137008954416	1.0151584111059253
-12	1.0349652838728336	0.9983564933069407	0.9810885295779445	0.9546395414478953	1.0017556227022781	0.99659395417461
-11	0.9961010675310776	0.9108289506255516	0.9725975859963161	1.0524931892257552	0.9703475594169682	1.0085422326247877
-10	1.0002553342690053	0.9410155775644802	0.9511789632457098	0.9546285300483214	1.0140551445229111	0.9850127475564353
-9	1.02444255952002	0.9663974354525876	0.9838203235017392	1.0076408141151556	0.9753601444999842	1.0459543359436645
-8	0.9979505561743923	0.9759655593370276	0.9741003277581725	1.0067420015789565	0.9844502658264986	1.031027719872708
-7	0.8745295545961076	0.8953221956533753	0.8475943191707922	0.8785561888531527	0.8895312989368692	0.8454831806733533
-6	1.0055944392673446	1.0393215782225473	1.0548083627037006	1.0026745348610988	1.0153517652867174	0.9761616530510678
-5	0.960236879588742	1.086087320777682	1.0446942587915542	1.010182706148961	0.936962785498602	0.9100618969078628
-4	1.160056739321946	1.2110363097130372	1.163598881274884	1.1426184058394655	1.0600669176629176	1.0810893673823576
-3	1.1113981650584388	1.153806702275487	1.1655912155495387	1.0690513170245526	1.0583897368402133	1.068600650410188
-2	1.0556844103692944	1.1673364370535144	1.191979973211214	1.1099776017699519	1.0990710801772692	1.0914105357179809
-1	1.0747581779177928	1.1130163336939585	1.1321265220911019	1.0674716265767572	1.0599426683960942	1.0460607496019452
0	1.053200066162081	1.0821571791568148	1.0354395416314643	1.0022446892848011	0.9788129050678872	0.9936529675734239
1	1.015392398868191	1.0150349277352002	1.080592733144794	1.007570742153836	0.9872125946671599	1.0420626967680375
2	1.0589951193152807	1.0972452682327134	1.0389495150943164	0.9626471013692799	1.0232717324407774	1.0041986170413317
3	1.015075359050499	1.0978703162749541	1.0536540412707487	1.0134993235118925	1.0513456426482677	1.0524834918029937
4	0.770000880604231	0.8992558195877998	0.8725197542946225	0.8119087670582684	0.86196963036064	0.8346969357190474
5	0.8953294375734828	0.8887687524317475	0.9104790877566449	0.9293933518371125	1.0109307752991312	0.968802307489617
6	0.9656327310634969	0.9498617770823943	0.9718333673431742	0.9558079929023922	0.9626109682880972	0.9366325539620249
7	1.0326295323278232	1.02395768394895	0.9862924913087747	1.036414964890033	1.0432540234508882	1.0200226404763801
8	1.037573892480784	0.9774575583572946	0.9691877985344358	1.0241651516879617	1.0209516950792699	1.0193596344655853
9	1.1002430776332812	0.9614947065486498	0.9784281875700516	0.9865600137183043	1.0180389669573042	0.9929133581539847
10	1.0046807358963488	0.9792308492180865	0.9838274049898151	1.0220646515297753	1.01180460698628	0.989369861297408
11	0.9519839151544933	0.9918492485326103	1.0093787179158848	1.0099145546304409	0.9644957723056384	1.0156033711716763
12	0.9765045331735154	0.9418541812812561	0.9467361845233111	0.973590671802451	1.0006905697001387	0.9749545378428656
13	0.9513105866597091	0.9819968537491254	0.9824504916003237	0.9883531571403471	0.9983002149157658	0.9842638130800184
14	0.968055721764973	0.9732082612792822	0.9529470861153101	0.9775652748227834	0.9739364276061498	0.9566299705906783
15	1.0040354495255601	1.008810173379115	1.010087946560702	1.0031329515256675	0.9980914906778314	0.9899333294072282
16	1.000153546231782	0.9373553033945364	0.9343014698563958	0.9722815627739119	0.9249174941963918	0.9700744616268764
17	1.005241756608875	0.9555716337356985	0.938153960623732	0.9266265617381111	1.0018766007252413	0.9790528518454488
18	0.9698688699396733	0.9554979115547109	0.9681113321664845	0.974117562023508	0.9825881513011837	0.9843301376074449
19	0.9765628744449041	0.9828692918430222	0.9983442104796378	0.9808732513253549	0.9971285615722495	1.0028911689726294
20	0.9629387849944123	0.9675895752077325	0.9780438785831743	1.0063258344979678	0.9928650450195566	0.9904733829154144
