	WT_mrna_YPD1	WT_mrna_YPD2	WT_mrna_YPD3	ncs2d_mrna_YPD1	ncs2d_mrna_YPD2	ncs2d_mrna_YPD3	elp6d_mrna_YPD1	elp6d_mrna_YPD2	elp6d_mrna_YPD3	ncs2d_elp6d_mrna_YPD1	ncs2d_elp6d_mrna_YPD2	ncs2d_elp6d_mrna_YPD3
WT_mrna_YPD1	1.0	0.9971004709453577	0.9974886587104856	0.9923237332246453	0.9966245107268764	0.9958101691612691	0.9948922448907774	0.9946538907450589	0.9947476641764333	0.9853748396242193	0.975960334184506	0.9834943716358547
WT_mrna_YPD2	0.9971004709453577	1.0	0.9945471533593818	0.9918713056672912	0.9929343090096849	0.9919206289042987	0.9917543424229707	0.9925743898764664	0.9917036369296562	0.9827700789955528	0.9776233434759604	0.9814030162552994
WT_mrna_YPD3	0.9974886587104856	0.9945471533593818	1.0	0.9944979646212654	0.9958383791160301	0.9971850405097252	0.9971496586698392	0.9962718081222881	0.9956938510935338	0.9886262092255907	0.9818591205221052	0.98830430750758
ncs2d_mrna_YPD1	0.9923237332246453	0.9918713056672912	0.9944979646212654	1.0	0.9946601134357425	0.9935874573535038	0.9967432951259145	0.9975570699610781	0.9954530773597442	0.9937547354344671	0.992592089373485	0.9930963433954116
ncs2d_mrna_YPD2	0.9966245107268764	0.9929343090096849	0.9958383791160301	0.9946601134357425	1.0	0.9972302750865497	0.9973786409368586	0.9971000759488359	0.9964336330823269	0.99311974028795	0.981294977532155	0.9908292989391045
ncs2d_mrna_YPD3	0.9958101691612691	0.9919206289042987	0.9971850405097252	0.9935874573535038	0.9972302750865497	1.0	0.9974907881597211	0.9961258788673714	0.9966761540051057	0.9920519116228843	0.9822361520344197	0.9916772605879707
elp6d_mrna_YPD1	0.9948922448907774	0.9917543424229707	0.9971496586698392	0.9967432951259145	0.9973786409368586	0.9974907881597211	1.0	0.9992583140418922	0.9989163930105883	0.9953634319457446	0.9889932268477817	0.9947457633080679
elp6d_mrna_YPD2	0.9946538907450589	0.9925743898764664	0.9962718081222881	0.9975570699610781	0.9971000759488359	0.9961258788673714	0.9992583140418922	1.0	0.9983393378799474	0.9954789215508961	0.9905584712038231	0.9943071381767311
elp6d_mrna_YPD3	0.9947476641764333	0.9917036369296562	0.9956938510935338	0.9954530773597442	0.9964336330823269	0.9966761540051057	0.9989163930105883	0.9983393378799474	1.0	0.99504834784728	0.9886204304840034	0.9945112137505652
ncs2d_elp6d_mrna_YPD1	0.9853748396242193	0.9827700789955528	0.9886262092255907	0.9937547354344671	0.99311974028795	0.9920519116228843	0.9953634319457446	0.9954789215508961	0.99504834784728	1.0	0.9929973213211932	0.998879900834499
ncs2d_elp6d_mrna_YPD2	0.975960334184506	0.9776233434759604	0.9818591205221052	0.992592089373485	0.981294977532155	0.9822361520344197	0.9889932268477817	0.9905584712038231	0.9886204304840034	0.9929973213211932	1.0	0.9939255057752182
ncs2d_elp6d_mrna_YPD3	0.9834943716358547	0.9814030162552994	0.98830430750758	0.9930963433954116	0.9908292989391045	0.9916772605879707	0.9947457633080679	0.9943071381767311	0.9945112137505652	0.998879900834499	0.9939255057752182	1.0
