	WT_mrna_YPD1	WT_mrna_YPD2	WT_mrna_YPD3	ncs2d_mrna_YPD1	ncs2d_mrna_YPD2	ncs2d_mrna_YPD3	elp6d_mrna_YPD1	elp6d_mrna_YPD2	elp6d_mrna_YPD3	ncs2d_elp6d_mrna_YPD1	ncs2d_elp6d_mrna_YPD2	ncs2d_elp6d_mrna_YPD3
WT_mrna_YPD1	1.0	0.9973784651649971	0.9978144251464196	0.9932914208619062	0.9968429110943057	0.995943470837772	0.9955585425663934	0.9952833450222035	0.9941078297635774	0.9864387361666093	0.9771346105905976	0.984092896827218
WT_mrna_YPD2	0.9973784651649971	1.0	0.9947646053246915	0.9930757076709623	0.9932314094327127	0.9923344457736879	0.9926563972063749	0.9934893822893566	0.9912492593488429	0.9842826361720028	0.9790819474080132	0.9823523771395937
WT_mrna_YPD3	0.9978144251464196	0.9947646053246915	1.0	0.9942776764312251	0.9961549467165196	0.9973363664605317	0.9968603831722517	0.9958728260104133	0.9946302906861848	0.9886474598310554	0.9805257164328764	0.987842518947672
ncs2d_mrna_YPD1	0.9932914208619062	0.9930757076709623	0.9942776764312251	1.0	0.9953194550452543	0.9935667410449252	0.9968060539732255	0.9975186966260852	0.9947943688032322	0.9941712718038676	0.9920818875224339	0.9931723643503584
ncs2d_mrna_YPD2	0.9968429110943057	0.9932314094327127	0.9961549467165196	0.9953194550452543	1.0	0.9974610372753787	0.9975082394620635	0.9970024121799701	0.9956114308764931	0.9936094558236415	0.9816226291378568	0.990783683693227
ncs2d_mrna_YPD3	0.995943470837772	0.9923344457736879	0.9973363664605317	0.9935667410449252	0.9974610372753787	1.0	0.997363516540385	0.9957246280354954	0.9955428827155909	0.9921727678616019	0.9814341839010025	0.9914438278751639
elp6d_mrna_YPD1	0.9955585425663934	0.9926563972063749	0.9968603831722517	0.9968060539732255	0.9975082394620635	0.997363516540385	1.0	0.9991571260654291	0.998851997867571	0.9955192287355109	0.9890056901209537	0.9946829263251543
elp6d_mrna_YPD2	0.9952833450222035	0.9934893822893566	0.9958728260104133	0.9975186966260852	0.9970024121799701	0.9957246280354954	0.9991571260654291	1.0	0.9981428454873192	0.9954113893878466	0.9905769218965153	0.99410245236096
elp6d_mrna_YPD3	0.9941078297635774	0.9912492593488429	0.9946302906861848	0.9947943688032322	0.9956114308764931	0.9955428827155909	0.998851997867571	0.9981428454873192	1.0	0.9949575310404414	0.9889822627021136	0.9944011461515199
ncs2d_elp6d_mrna_YPD1	0.9864387361666093	0.9842826361720028	0.9886474598310554	0.9941712718038676	0.9936094558236415	0.9921727678616019	0.9955192287355109	0.9954113893878466	0.9949575310404414	1.0	0.9929184489366933	0.9988860653220409
ncs2d_elp6d_mrna_YPD2	0.9771346105905976	0.9790819474080132	0.9805257164328764	0.9920818875224339	0.9816226291378568	0.9814341839010025	0.9890056901209537	0.9905769218965153	0.9889822627021136	0.9929184489366933	1.0	0.9942774924878479
ncs2d_elp6d_mrna_YPD3	0.984092896827218	0.9823523771395937	0.987842518947672	0.9931723643503584	0.990783683693227	0.9914438278751639	0.9946829263251543	0.99410245236096	0.9944011461515199	0.9988860653220409	0.9942774924878479	1.0
