Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
R_GR_un_01d_2	40	21	0	0.0001	0.0
R_GR_un_01d_2	41	5	0	0.0	0.0
R_GR_un_01d_2	42	0	1	0.0	0.002
R_GR_un_01d_2	43	6	0	0.0	0.0
R_GR_un_01d_3	24	325838	834	0.86	1.0673
R_GR_un_01d_3	25	555700	1199	1.4667	1.5344
R_GR_un_01d_3	26	941843	2320	2.4858	2.969
R_GR_un_01d_3	27	1688602	3990	4.4568	5.1062
R_GR_un_01d_3	28	3225150	6610	8.5122	8.4591
R_GR_un_01d_3	29	6404379	12065	16.9033	15.44
R_GR_un_01d_3	30	10483459	19320	27.6693	24.7245
R_GR_un_01d_3	31	9651195	20736	25.4727	26.5366
R_GR_un_01d_3	32	3924752	8920	10.3587	11.4153
R_GR_un_01d_3	33	608840	1798	1.6069	2.301
R_GR_un_01d_3	34	71187	323	0.1879	0.4134
R_GR_un_01d_3	35	6539	23	0.0173	0.0294
R_GR_un_01d_3	36	592	3	0.0016	0.0038
R_GR_un_01d_3	37	171	0	0.0005	0.0
R_GR_un_01d_3	38	96	0	0.0003	0.0
R_GR_un_01d_3	39	40	0	0.0001	0.0
R_GR_un_01d_3	40	24	0	0.0001	0.0
R_GR_un_01d_3	41	18	0	0.0	0.0
R_GR_un_01d_3	43	6	0	0.0	0.0
R_GR_in_02d_1	20	12352	20	0.0662	0.0687
R_GR_in_02d_1	21	28269	77	0.1514	0.2645
R_GR_in_02d_1	22	54984	126	0.2945	0.4328
R_GR_in_02d_1	23	99339	201	0.5321	0.6904
R_GR_in_02d_1	24	187694	361	1.0053	1.24
R_GR_in_02d_1	25	416491	727	2.2308	2.4971
R_GR_in_02d_1	26	998736	1508	5.3494	5.1796
R_GR_in_02d_1	27	2279549	3114	12.2096	10.6959
R_GR_in_02d_1	28	4246254	6064	22.7436	20.8285
R_GR_in_02d_1	29	5097446	8324	27.3027	28.5911
R_GR_in_02d_1	30	3573010	5812	19.1376	19.9629
R_GR_in_02d_1	31	1386743	2297	7.4276	7.8897
R_GR_in_02d_1	32	264482	411	1.4166	1.4117
R_GR_in_02d_1	33	22033	62	0.118	0.213
R_GR_in_02d_1	34	2189	8	0.0117	0.0275
R_GR_in_02d_1	35	390	1	0.0021	0.0034
R_GR_in_02d_1	36	99	0	0.0005	0.0
R_GR_in_02d_1	37	29	1	0.0002	0.0034
R_GR_in_02d_1	38	2	0	0.0	0.0
R_GR_in_02d_2	20	14011	20	0.0648	0.0597
R_GR_in_02d_2	21	30910	53	0.143	0.1583
R_GR_in_02d_2	22	53958	114	0.2497	0.3405
R_GR_in_02d_2	23	90565	148	0.4191	0.4421
R_GR_in_02d_2	24	160186	279	0.7412	0.8334
R_GR_in_02d_2	25	333403	531	1.5427	1.5861
R_GR_in_02d_2	26	808735	1120	3.7421	3.3455
R_GR_in_02d_2	27	1939524	2947	8.9743	8.8028
R_GR_in_02d_2	28	4049289	5840	18.7363	17.4443
R_GR_in_02d_2	29	5780858	8781	26.7484	26.2292
R_GR_in_02d_2	30	5097728	8105	23.5875	24.2099
R_GR_in_02d_2	31	2549042	4325	11.7946	12.9189
R_GR_in_02d_2	32	636054	1037	2.9431	3.0976
R_GR_in_02d_2	33	61592	146	0.285	0.4361
R_GR_in_02d_2	34	5080	17	0.0235	0.0508
R_GR_in_02d_2	35	773	12	0.0036	0.0358
R_GR_in_02d_2	36	185	3	0.0009	0.009
R_GR_in_02d_2	37	43	0	0.0002	0.0
R_GR_in_02d_2	38	20	0	0.0001	0.0
R_GR_in_02d_2	39	1	0	0.0	0.0
R_GR_in_02d_2	41	2	0	0.0	0.0
R_GR_in_02d_3	20	29652	83	0.0883	0.1612
R_GR_in_02d_3	21	62770	177	0.1869	0.3438
R_GR_in_02d_3	22	107354	213	0.3196	0.4138
R_GR_in_02d_3	23	184859	289	0.5504	0.5614
R_GR_in_02d_3	24	346587	571	1.0319	1.1093
R_GR_in_02d_3	25	753208	1053	2.2425	2.0456
R_GR_in_02d_3	26	1850216	2659	5.5086	5.1655
R_GR_in_02d_3	27	4682510	6401	13.941	12.4349
R_GR_in_02d_3	28	8633678	11980	25.7047	23.273
R_GR_in_02d_3	29	9378000	15498	27.9207	30.1072
R_GR_in_02d_3	30	5636064	9237	16.78	17.9443
R_GR_in_02d_3	31	1678954	2815	4.9987	5.4686
R_GR_in_02d_3	32	222846	411	0.6635	0.7984
R_GR_in_02d_3	33	17923	59	0.0534	0.1146
R_GR_in_02d_3	34	2560	23	0.0076	0.0447
R_GR_in_02d_3	35	627	4	0.0019	0.0078
R_GR_in_02d_3	36	133	1	0.0004	0.0019
R_GR_in_02d_3	37	26	2	0.0001	0.0039
R_GR_in_02d_3	38	5	0	0.0	0.0
R_GR_in_02d_3	39	1	0	0.0	0.0
R_GR_in_02d_3	41	1	0	0.0	0.0
R_GR_un_02d_1	20	12830	36	0.0522	0.0984
R_GR_un_02d_1	21	28231	83	0.1148	0.2268
R_GR_un_02d_1	22	59119	115	0.2404	0.3142
R_GR_un_02d_1	23	121342	227	0.4934	0.6203
R_GR_un_02d_1	24	210960	314	0.8578	0.858
R_GR_un_02d_1	25	339081	519	1.3788	1.4182
R_GR_un_02d_1	26	597459	1030	2.4295	2.8145
R_GR_un_02d_1	27	1170766	1857	4.7607	5.0743
